輿水幸子,……まだかなあ
白坂小梅,……ご、ごめん、幸子、遅れた
幸子,うわっ！い、背後から音もなく忍び寄らないでくださいよ！
小梅,さ、幸子はカワイイから……脅かしたくなる
幸子,いや、騙されませんからね……って、そのお面なんですか
小梅,ペニーワイズ……なんか売ってた
幸子,何でそんなもんがあるんですか……
小梅,さ、幸子、覚えてる？
幸子,見せられてから一週間ぐらい夢にピエロが出てきましたからね……
小梅,……羨ましい
幸子,ロクに寝られなかったボクへの配慮は無いんですね解ります
星輝子,ヒャッハァー！祭りだ！
幸子,うわっ！だから脅かさないで下さいよ！
小梅,輝子……いらっしゃい
輝子,フヒヒ……親友、こんばんは
幸子,……しかし、二人とも個性的な浴衣の柄ですね
小梅,ド、ドクロ……幸子と一緒でカワイイでしょ？
幸子,リアルな頭蓋骨の柄の浴衣なんてどこで見つけてきたんですか……後できればボクのカワイイの方向は違っていてほしいんですが
輝子,フ、フヒ……キノコ、たくさん
幸子,毒々しい色のキノコがふんだんにちりばめられてますね……どこで買ったんですかそれ
小梅,そう言う幸子は、普通……
輝子,ただの牡丹……
幸子,な、何が悪いんですか！普通で何が悪いんですか！
小梅,アイドル界では個性がないと生きて行けない……
輝子,つ、つまり幸子は死……
幸子,死んでませんから！まだ生きてますよ、ホラ！
小梅,で、でもあの子も言ってる……
幸子,何をですか！出来るだけ穏やかな方向でお願いしたいのですが！
小梅,幸子、幽霊になったら、２対２で丁度いいって……
幸子,御免こうむりますよ！
輝子,さ、幸子……ヒドい
小梅,あ、あの子も落ち込んじゃった……
幸子,え、なにこれ、ボクが悪いんですか
輝子,さ、幸子いじりはここらへんにして出店まわろう
小梅,い、異議なし
幸子,……したたかになりましたよねあなた達も
小梅,だ、大丈夫……幸子にだけだから
輝子,フ、フヒ、気にするな親友……
幸子,まあ、そんな事よりあそこに金魚すくいがありますよ
輝子,最初にはちょうどいい……フヒッ
小梅,だ、誰が一番とれるか勝負する……
幸子,……何か嫌な予感がする
輝子,ほ、ほら幸子も……
幸子,ああ、ぼーっとしてましたすみません、一回お願いします
輝子,フ、フヒ、これで大漁
幸子,……一つ聞いていいですか、何でポイの代わりにキノコを持ってるんでしょう
輝子,よくぞ聞いてくれた親友……これ魚がよくとれるキノコ……本邦初公開
幸子,禁止
輝子,……えー
幸子,そして小梅さんはさりげなくあの子を使わないで下さいよ
小梅,……
幸子,今舌打ちしましたよね！あなたそんなキャラでしたっけ！？
輝子,つ、常に同じキャラだと飽きられてしまう……
小梅,幸子も……気を付けたほうがいい
幸子,あっはい。って！思考停止してる間に二人がかなりとってて残りが居ない！。……おまけで一匹貰ってしまった
輝子,フヒ……結局幸子ビリ……
小梅,あ、後で罰ゲーム……
幸子,罰ゲームって……まあいいですけど次は何しますか？
小梅,……お腹……すいた
輝子,フヒ、夕飯、食べてない……
幸子,それじゃあ何か食べに行きましょう、確か焼きそばの屋台が近くに……って
白菊ほたる,あっ
幸子,白菊さんじゃないですか、焼きそばを買いに来たんですか？
ほたる,う、うん。輿水さん、後ろに隠れてる二人は……？
小梅,……
輝子,……
幸子,背後霊です、ちょっと前から付きまとわれてるんですよ
ほたる,えっ！
輝子,フヒッ！？
小梅,う、うらめしやー
幸子,まあ、それは冗談でこの二人と一緒にお祭りに来てたんですよ
輝子,親友のトモダチ……よ、よろしく
小梅,うらめしやー
ほたる,う、うん。あっ、もうすぐ焼きそば新しいの焼けるみたいだから、輿水さんたちも
幸子,さすがボク、ナイスタイミングです。おじさん、四人分お願いできますか？
ほたる,え、あ、あの……
幸子,向こうにベンチがあったので四人で食べましょう、輝子さんと小梅さんは席取っておいてください
輝子,り、了解した
小梅,うらめしやー
幸子,小梅さん、解りました、背後霊が気に入ったのは解りましたから一旦どきましょう
小梅,……世知辛い
ほたる,さ、幸子ちゃん出来たみたいだから
幸子,ああ、ありがとうございます、ボクが持ちますよ
ほたる,え、あ、ありがとう……
輝子,ヒャッハァー！四百円だ！
小梅,こ、これ私の分……
幸子,……二人ともこういうところは律儀なんですね。はい、ほたるさんこれで三人分です
ほたる,あ、ありがとう
幸子,さ、冷めないうちに食べちゃいましょう。折角出来立てなんですから
輝子,フ、フヒ、幸子のはキノコ入れたらもっとおいしい……
幸子,その毒々しい色のキノコは入れなくていいですから
輝子,コ、コンイロイッポンシメジは食べられる……らしい
幸子,らしいってなんですか！もうちょっと安全なものにしてくださいよ！
小梅,大丈夫……あの子も待ってる……
幸子,待ってなくていいですから！後何十年かは先ですから！
ほたる,……
幸子,な、何笑ってるんですか
ほたる,いや、輿水さん楽しそうだなって……
幸子,代わってくれてもいいんですよ？
ほたる,う、うん、遠慮しとく
輝子,ふ、ふられちまったぜ小梅……
小梅,し、ショック……
ほたる,え、えっ……
幸子,気にしないでいいんですよ、それよりほら、食べましょう
輝子,め、飯だ……ソバだけど
小梅,……
ほたる,い、いただきます
幸子,いただきます、ほら二人も
輝子,フ、フヒ、いただきます……
小梅,ふぃ、ふぃふぁふぁふぃふぁ？
幸子,口に物を入れたまま喋らない！
輝子,フ、フヒ、食べた食べた
小梅,……お腹いっぱい
ほたる,それじゃあ、私はお仕事あるから……
幸子,ああ、頑張ってください、後で見にいきますよ
ほたる,た、ただの撮影だからいいですよ、輿水さんはお祭りを楽しんでて……
幸子,プロデューサーさんもいるんでしょう？挨拶はしとかないと
ほたる,あ、そう、そうだよね。それじゃあまた
幸子,はい、頑張ってくださいね
小梅,……ば、爆発しろ
輝子,フ、フヒ、コミュ障には辛い……
幸子,何言ってるんですか、少し休んだらまた遊びに行きましょう
小梅,できれば派手に脳漿をびちゃっと……
幸子,いいですってそれは！
小早川紗枝,おや、幸子はんに輝子はんに小梅はん、御揃いで
幸子,あ、紗枝さん。こんばんは
輝子,フ、フヒ、こんばんは……
小梅,こ、こんばんは……
幸子,何か探してるみたいですけど、どうされたんですか？
紗枝,いやなあ、プロデューサーはんとはぐれてしまってなあ
幸子,ああ……こっちには来てませんねえ
紗枝,そうどすかあ、ベンチのところに居ると聞いたんやけど……
小梅,あ、あと五分も待てばくるってあの子が言ってる……
紗枝,それじゃあ、ここで待たせてもらいますわあ
幸子,……時々小梅さんが解らなくなります
小梅,プ、プロデューサーさんが迷子になって今川島さんが見つけて怒られてるって……
幸子,……進歩しないなああの人も
輝子,フヒヒ、ま、毎度のこと……
