ついでにホラー系はやり,れ
千早,おはようございます
小鳥,千早ちゃん、おはよう
P,これで役者が揃ったな
千早,？？……プロデューサー、何の話ですか？
小鳥,私も何も聞いてないんですけど
P,いや、昨日の話なんだけどさ、亜美たちとゲームしたんだよ
千早,ゲーム、ですか
小鳥,プロデューサーさん、ゲーマーだったんですか
P,まぁ、昔の話ですけど。で、思い出のゲームが結構好評でして
小鳥,……なるほど！皆でゲームをしようって事ですね！
P,話が早くて助かります。このゲームは千早と小鳥さんが一番楽しめるはずなんで
小鳥,ほほぅ、プロデューサーさんがそこまで言うゲームとは
千早,あの、私ゲームはあまり……
P,アドベンチャーだから見るだけでいいさ。時間はあるだろ
千早,……まぁ、そこまでお勧めされるのでしたら
小鳥,私ももちろんオッケーですよ！
P,よしっ！実は既にノーパソは用意してあるんだ
小鳥,……パソコン？ま、まさか。ダ、ダメですよ。私はともかく千早ちゃんは……っ。はっ！？ここでオトナの階段を上らせようというプロデューサーさんの崇高な――
P,あ、そのネタは響がやったんでもういいです
小鳥,ピヨッ
P,プレイするのはフリゲです
千早,フリゲ？
P,個人作成のゲームだよ。ま、やってみりゃ分かる
小鳥,フリーゲームですか。そっちは全然開拓してないので楽しみです
千早,どんなタイトルなんですか？
P,ぼさのヴぁ.rpgだ
千早,ボサノヴァ……ブラジル音楽でしたか
小鳥,なるほど、千早ちゃんにピッタリそうな……私は？
P,あー……タイトルは正直内容と全く無関係だ
小鳥,え、じゃあどんな内容なんです？
P,凄く簡単に言うと、伝説の勇者アヴィンが魔王を倒しに行く話……かな
小鳥,なんか、いかにも王道なRPGって感じですねぇ
千早,私、楽しめるでしょうか？
P,ま、ストーリーなんざあってないようなもんだ。取り合えずやってみろ
小鳥,アドベンチャーなのにストーリー要らないって……。……本当に王道ファンタジーみたいな始まりですね
千早,混沌の世界を正す勇者……
プロローグ,愛されるよりも愛したい、マジデ☆
小鳥,……ピヨ？
千早,タイトルが……？
小鳥,……
千早,ブフゥッ！
小鳥,……パ、パラパラ講座って。一応、プロローグ終わりましたけど
千早,
P,千早が震えているな
小鳥,これって、まさか
P,まぁ取り合えず一章やってからで
小鳥,……はい
千早,……いきなり魔王の配下と戦うんですね
小鳥,精神的ダメージ祭……？
千早,ククッ……
小鳥,少年ズBって
千早,ブフホォッ
小鳥,あの……
P,そのままラストまで行っちゃいましょう
小鳥,え……
P,と、あっという間に終わりましたね
小鳥,……プロデューサーさん
P,なんでしょう？
小鳥,何故、このゲームを私と千早ちゃんに？
P,説明、要ります？
小鳥,お願いします
P,もうお分かりだと思いますが、このぼさのヴぁ.rpgは純度100％のバカゲーです。ギャグの内容はパロディと時事ネタが大半を占めている。そして公開が2000年……
小鳥,……
P,100％ネタ理解できるのは小鳥さんぐらいだよなぁ、と
小鳥,や、やっぱりそういう基準だったんですね！
P,あと、千早は細かいネタは理解できなくとも十分ツボに入るだろうなと。現に今、過呼吸で会話に入ってきませんからね
小鳥,……何となく想像はしてましたよ、飲んでミスティオなんて春香ちゃんたちには通じないって。プロデューサーさんの言うとおり、大体のネタ理解できてクスリときてしまった自分が憎いです……
P,ところで、作品としてどうでしたか？
小鳥,真面目に語るなら、時事ネタが多くて今の人には楽しめないでしょうね
P,付け加えるなら作者がゲーム内に出てきたり、色々振り切ってますからね
小鳥,フリゲなら許されるネタなんですかね
P,ギャグに関しては割と。ただ、これもう公開してないんですよね
小鳥,え、そうなんですか
P,詳しい事情は知らないんで割愛しますけど、一ファンとしては非常に惜しいです。……話が逸れましたね。小鳥さん、楽しんでもらえました？
小鳥,うーん、悔しいですけど面白かったです。結構、ツボにハマるギャグもありましたし
P,それは良かった
千早,私も、想像とは大きく異なりましたがこれはこれで楽しみました
P,おっ、復活したな
千早,はい。音無さんのように全てが理解できたわけではありませんが
P,それでも楽しんで貰えたなら良かったよ。よし、それじゃ次いこうか
千早,またギャグですか？
小鳥,千早ちゃんの腹筋を鍛えるのが目的ですね。分かります
P,……お望みなら何でも屋セロリーとかシルフェイド見聞録とかCheckmateとかありますけど。ギャグばっかじゃ飽きるでしょう。アクションゲームをちょいと
千早,アクション……ですか
P,あぁ。二人協力プレイだから大丈夫だよ
