崎山雪乃,３６
東京ビッグサイト,東京国際展示場
テロップ,崎山雪乃３６
雪乃,数か月前まで、私はプロの漫画家として少女誌で連載していた……
サイトのタイトルは,崎山雪乃オリオンの彼方トレース検証サイト
書き込み,どう見ても何から何までパクリ
週刊文隆,剽窃騒動の有名少女漫画家複数の過去作にもトレース疑惑
大手出版社,集優社
サルビア編集者,オリオンの彼方だけでなく、先生の過去作も全て絶版にすることを決めました
雪乃,そうですか……。申し訳ありません……
サルビア編集者,今回の先生の盗作問題、我が社の経営陣たちはカンカンに怒っていますよ。だからもう……
雪乃,要するに……。私は今後、集優社を出禁になるということですね
サルビア編集者,そういうことですよ
オタクの男性,あんた、どの面下げてこんな所いるんだ。さっさと消え失せろ！
雪乃,これが、世間一般での私の評価なのか……
展示場。,コミックマーケット2018
女性のオタクたち,ねぇ見て。何、あのおっさん
喪黒,崎山雪乃先生……、ですね！？
雪乃,は、はい……。そうですけど……
喪黒,あのぅ……。先生にいい話があるんですが……
雪乃,あ、あなたファンの方ですか……！？私の作品を購入していただけるというのなら、よ、喜んで……
喪黒,お仕事の話ですよ。先生が再起するための……ね
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
雪乃,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
雪乃,ふーん、そうなんですか……
喪黒,詳しいことは、会場を出てから話しましょう。いい店がありますからね……
BAR,魔の巣
雪乃,私のせいとはいえ……。例の騒動のおかげで、コミケしか新作発表の場がなくて……
喪黒,例の騒動……。先生の作品のトレース騒動のことですね……
雪乃,はい。あのトレース騒動で、私は漫画家として築いたものを全て失うこととなりました
喪黒,オリオンの彼方は打ち切りになった上、先生の作品は全て絶版になりましたねぇ
雪乃,それどころか、私は古巣の集優社を出禁になりました……
喪黒,何しろ、インターネットのサイトでトレース問題が徹底的に検証されましたから……
雪乃,ですが、私は悪気があってトレースをやったんじゃないんですよ！！
喪黒,そりゃあ、そうでしょう……。日本にいる有名漫画家たちは、過去にトレースををやりまくってますから……
雪乃,ええ。私は彼らと似たようなことをやったまでです！それなのに、私だけが悪者扱いされて……
喪黒,昔は著作権に対する規制が緩かったし、パクリに対する認識も今ほど厳しくありませんでしたからねぇ……
雪乃,おっしゃる通りです
喪黒,パクリへの認識が厳しくなり、世間はオリジナリティな作品を求めるようになりました
雪乃,はい。でも、漫画に限らず創作物の世界ってのは、すでにジャンルが出尽くしているんですよね……
喪黒,それに、100％完璧なオリジナリティな作品ってのはこの世に存在しないんですよ
雪乃,そうですよね……
喪黒,だから、先生はトレース騒動で不当に叩かれすぎているのです
雪乃,でも、今回の騒動は漫画家として致命傷に等しいですからね……
喪黒,私が何とかしましょう
雪乃,どういうことです？
喪黒,先生を漫画家として再起させてあげますよ
雪乃,えっ！？
喪黒,もう一度商業誌で連載し、看板作家として復活を遂げる……ということですよ
雪乃,そんなの無理ですよ……。少女漫画の世界では、私は終わったも同然……
喪黒,少女漫画の世界がダメなら、少年誌で連載すればいいでしょう
雪乃,少年誌で連載をするなんて、なおさら無理ですよ
喪黒,最初からメジャーな出版社を相手にする必要はありません
雪乃,……ということは
喪黒,例の盗作騒動があったとはいえ、過去に先生は集優社で売れっ子だった人物……
雪乃,じゃあ、うまくいけば……
喪黒,崎山先生は漫画家として大復活できます
雪乃,ですがね……、いざ本格連載をするとなると一から新作を考えなきゃなりません
喪黒,じゃあ……。この作品でも読んで、息抜きでもしたらどうです
雪乃,これ、なかなか面白い作品ですね……。あなたが描いたんですか？
喪黒,私ではありません。この作品の作者は、この世にいないんですよ
雪乃,どういう意味なんです！？
喪黒,これには、わけがあります。実はですねぇ……
雪乃,では……。この原稿用紙は自殺した漫画家志望の女性のもの……
喪黒,そういうことです
雪乃,も、喪黒さん！！あなたのやったことは泥棒じゃないですか！！
喪黒,ほら……。先生だって、他人の漫画の構図を泥棒したでしょ……。おあいこですよ……
雪乃,うっ……
喪黒,先生はこの原稿を参考にして、これから連載する漫画の新作を作るんですよ
雪乃,こ、これは……。どう見てもあからさまな盗作……、パクリそのものじゃないですか！！
喪黒,死んだ人間が描いた原稿をインスパイアして、それを改良するんだからバレることはありません
雪乃,死んだ人間の原稿を泥棒して、しかも、アイデアまで盗むなんて……
喪黒,100％完璧なオリジナルの作品は、この世に存在しません
雪乃,え、ええ……。理屈としてはその通りですけど……
喪黒,集優社を出禁になったあなたが、集優社の編集部に酷評されて自殺した女性の原稿を使う……
雪乃,言われてみれば、そうかもしれませんね……
喪黒,だったら、崎山先生は私の言う通りにしてください
3階建てのコンクリートの建物。玄関の前は、,崎山プロダクション
雪乃,私は、人間として最低だ……。死んだ人間の原稿を泥棒し、アイデアまで盗んだんだから……
出版社,冥幻社
ルシファー編集者,この作品、なかなかいいですね。よろしかったら、うちの雑誌で連載してみませんか？
雪乃,えっ、私の連載を認めるのですか！？
ルシファー編集者,先生ほどの才能のある人が、このまま埋もれるのは惜しいですからね……
BAR,魔の巣
雪乃,見てください、これ！！
喪黒,漫画家として、見事な復活を遂げましたなぁ……。崎山先生
雪乃,まあ……。前いた集優社と違って、出版社はマイナーですけど……
喪黒,そうです！！その意気！！
雪乃,何もかも喪黒さんのおかげです！あなたには本当に感謝していますよ！
喪黒,これはこれは、実に恐縮です……。とはいえ、あなたの復活に関わった私にも立場がありますから……
雪乃,は、はあ……
喪黒,ゴールデン・ドーンの設定や登場人物のアイデアは、死んだ漫画家志望の女性のものでした……
雪乃,はい
喪黒,だから、これからのあなたは、ゴールデン・ドーンを自らのオリジナルな作品に仕上げてください
雪乃,ええ、分かりました。喪黒さん……。話のアイデアが……、全然思いつかない……。そうだよね……。盗作は絶対ダメだよね……。かけがえのない恩人の喪黒さんと、私は約束したんだし……
ルシファー編集者,そうですか……。じゃあ、とりあえず……
雪乃,はい……
ルシファー編集者,作品は崎山先生名義で発表し、ストーリーはプロのシナリオライターが代筆する
雪乃,なるほど……。これなら私は盗作をしないで済みますから、本当に助かりますよ。これで、問題解決ね……
喪黒,崎山先生……。あなた約束を破りましたね
雪乃,約束ですか！？それなら、きっちり守ってますよ！だって私は……
喪黒,思い出してください。私は、先生にこう言ったはずですよ
雪乃,ええ。きっちり、自らのオリジナルな作品に仕上げてますよ
