うん、,また
ガヴ,だってしょうがないじゃん！生理現象だし！
ヴィーネ,声が大きい！
ガヴ,いたっ！うぅ～……ねぇヴィーネぇ～？いいじゃん～///
ヴィーネ,猫なで声しないでよ……ああもう……おトイレいく？///
ガヴ,トイレじゃゆっくりできないじゃん！
ヴィーネ,……ほ……保健室？
ガヴ,はい♪
ヴィーネ,そこだけいい返事しないで……悲しくなるから
ガヴ,ほら行こう！はやくイこう！
ヴィーネ,今はだめ！授業始まるし……昼休みに……ね？///
ガヴ,ぶいんぐぶいんぐ！
チャイム,キーンコーンカーンコーン
ヴィーネ,あ……それじゃあ後でしてあげるから……ね？
ガヴ,……なんかこのパターン前にもあったようなぁ……
グラサン,え～ここは三進少数展開すると……
ガヴ,…………
ヴィーネ,…………。あーもう！やっぱりガヴってばすっごい勃起してるし！ばれるってぇ///
ガヴ,はぁー……はぁー……♡
ヴィーネ,行かないからね？授業中はもう絶対しないって約束したよね！？
ガヴ,んん♡……はぁ……ヴィーネ……♡
ヴィーネ,やっぱりいじりだすし！授業中だよ！？視姦しないでよぅ……もうやだこの子///
ガヴ,うぅ……はぁ♡
ヴィーネ,うぅ……負けちゃだめよヴィネット！ここは心を鬼にしてガヴの調教をしないと！
ガヴ,ヴィーネかわい……♡
ヴィーネ,――ﾌﾟﾂｯ。――……
グラサン,故にここでカントール関数が現れ……ん？月乃瀬どうした？
ヴィーネ,……消しゴム落としたので拾います
グラサン,ああ……じゃあ続けるぞ～
ガヴ,ヴィーネ！？
ヴィーネ,ガヴ？消しゴム拾うね……
ガヴ,え？あ？えぇ……///
ヴィーネ,ほら……足広げて……？///
ガヴ,いやいやいや流石に教室はまずいよ！
ヴィーネ,すぐだから……ね？♡
ガヴ,これやっちゃったパターンだ……
ヴィーネ,うわっ……ガヴってばパンツの上からシコるからまたパンツはんぺんになってるじゃない……。ちんぽだすね？声出さないでよ？
ガヴ,ふぇえ？///うぅ……うん……
ヴィーネ,うぁ……我慢汁……すごい……どんだけ私を妊娠させたかったのよ……♡。あ……消しゴム消しゴム……あむっ///
ガヴ,～～♡♡
ヴィーネ,――んむっ！むふっ～～///。ガヴの潤滑油全部オイル漏れしてるよぅ！///教室で溺死しそう！こんなに出してたらオイルの価格下がっちゃうよう♡
ガヴ,ふぁ♡
ヴィーネ,けほっ……今日は朝抜いてあげられなかったもんね……ごめんねガヴ……発情サイン知ってたけど♡。ガヴ？おクチマンコでジュポジュポしてあげるから早く出しちゃってね？
ガヴ,んやゃ……ひゃい///
ヴィーネ,んふ……っふぁ……じゅぽ……
ガヴ,うあ///ヴィーネっば……ばれちゃう……///
ヴィーネ,私が……はむ！ぺろぺろしだしたときから……結界はってるの……んむっ///知ってるんだカラッ♡
ガヴ,こんな♡こんにゃの♡結界維持っ！でい！きなくなっちゃ……！声だって漏れちゃ……ふぁっ///
ヴィーネ,あむ……がんばって♡ほら！きもちい？私の舌膣肉きもちい？♡
ガヴ,ふぁっうぐっ///ヴィーネの無手流口技しゅごいいい///
ヴィーネ,んぐっ！変な名前つけないで///もう！///あむっ……。ふぁ///ガヴの天使の蛇口もう壊れそうなくらいパンパンに膨らんでる♡
ガヴ,んふー……んふー……///
ヴィーネ,ガヴ？いいよ？我慢しないで？中出しして？悪魔のお口精液で浄化して？おしおきして？ガヴのオナニーみて欲情しちゃったサキュバスおしおきして？♡
ガヴ,んぎっ！ふぁ///ヴィ……ヴィーネぇ
ヴィーネ,ん……っぷあっ♡ほらガヴ♡さっさと出しちゃって？私の五臓六腑ガヴ汁で妊娠させて？♡
ガヴ,ごじょ///てふぇ……いっちゃうっ///……んん♡
ヴィーネ,あっ♡やぁ///
ガヴ,あっあっあっ……///ふぁ♡
ヴィーネ,やっちょっと///ガヴ出しすぎ……///
ガヴ,あう……ごめんな……しゃい……///
ヴィーネ,うぁ……どうしよ……制服ごとガヴに精子マーキングされちゃった……///
ガヴ,た……体操着あるんじゃん？
ヴィーネ,もー！結界から出ていきなり体操着を着てたら変でしょ！
ガヴ,っていうかこれ私のせい？ヴィーネがいきなりしゃぶってくるから……
ヴィーネ,言い訳しないの！この駄ちんぽ！
ガヴ,えぇ……
ヴィーネ,う～ん、いっそガヴの所有宣言臭したままでも……ううん///だめよね！落ち着けヴィネット！。結界ってもっと広げられないの？時間とめたり空間をねじまげたり……
ガヴ,ゼル姉さんじゃないんだからそんな器用な真似できないよ、さっきも必死だったし
ヴィーネ,…………ガヴなんでパンツはいてるの？
ガヴ,ほらこれ……ヴィーネ自分も勃起しまくってるのわかってる？さっきから目やばいよ？///
ヴィーネ,ふぇ？///ちがっ！え？ちがうのよ？
ガヴ,流石に教室でヴィーネの獣セックスは無理だよ……私のマンコも結界もまともじゃいられないし……
ヴィーネ,～～///
ガヴ,ね？あとで保健室いくんだし我慢しなよ♡
ヴィーネ,う……うん……///
ガヴ,んじゃ……結界とくから席に戻った戻った
ヴィーネ,はぁい……
ガヴ,とくよー
ヴィーネ,ちぇ～結局ガヴだけ気持ちい思いして……。まぁいっか……このコマ終わったら……保健室♡。どうしようサターニャたちも誘おうかな///みんなでやったほうが気持ち良いよね？///。う～ん……
グラサン,月乃……
ヴィーネ,あ～でもガヴのチンポ臭いい匂い……♪やっぱり独り占めしよう！うん！
グラサン,月乃瀬？
ヴィーネ,…………！
グラサン,月乃瀬！
ヴィーネ,は！ひゃい！？
