と、声をかけてしまった後で,しまった
紗枝,あら周子はん、何見てはりますのん？
周子,ん～？ああ、実家から送られてきたアルバムだよー
紗枝,どれどれ～？……あらぁ、ちっこい周子はんもかいらしなぁ
周子,せやろせやろー？ご近所でも評判の美少女だったからねぇ、シューコちゃんは
紗枝,これでもうちぃっと慎み深いお人やったら、文句あらへんのやけどねぇ……
周子,どっこいそうじゃないんだなぁ。残念でしたー
紗枝,人に歴史ありどすなぁ。このおかむろはんみたいな子ぉが、こないなってまうんやから
周子,どないやねん。あたしはこれでも健全に育ってるつもりですけど？。……しかしまあ、こうして改めて見ると、ちょっと変な気分だわ。我ながらイメージ変わったなぁ
紗枝,せやねぇ。昔の周子はんの髪。餡子様みたいに黒ぉて、きれぇやったもんなぁ
周子,ん～～～……。あたしは今の髪も、結構気に入ってるけどねー。大福みたいで
なにしろお殿様に向けた,山吹色の菓子
以上の次第で、昔からやってる和菓子屋には,人じゃない
――この,塩見家三訓
川の水面に映える、小さやかな紗,うすぎぬ
どうにもお狐さんに会ってから、,そういうの
京の風に乗って聞こえたこの言葉を、あたしは,難しいなぁ
変わらない日常の中から,面白きこと
紗枝,もう一年とちょいになるんどすなぁ
周子,まだ一年なのかーって感じだけどね、あたしは
紗枝,あらあら。一年で音ぇ上げとったらあきまへんえ？まだまだ、これからなんやから
周子,はぁ～、人生って長い……。あたしの上がりはいつになるのやら
紗枝,今からそないなこと気にしはるもんやありまへん。周子はんには、息災でいて貰わへんとなぁ
周子,そっか。そうだよねぇ
紗枝,そうどす。だって――。うちは、あんたはんを祟っとるんやから
もう,再現
あたしはつい、初めて見る相手が,何者か
例の,樹の匂いのする女の子
紗枝,――うちはあんたはんを祟っとるんどす。せやから、あんまし勝手なことされてもろたら困りますえ
周子,それ前から言ってるけどさー、全然実感ないんだよねぇ。だいたい祟って具体的に何するん？
紗枝,あら、そんなん決まっとるやない。まずは、またぞろ何処かで逝ってしまわへんよう監視してな？
周子,監視して？
紗枝,それで、あんたはんがヨボヨボに老いさらばえて往生しはる時、枕元で大爆笑してやるんどす♪
周子,うわ地味に嫌
紗枝,そうそうその顔、そないなお顔が見たいんよ～♪
周子,あー来た来た。まったく、乙女二人を待たせて何してたんだか
紗枝,そないなこと言うもんやありまへんえ。おおかた、迷子にでもなってはったんやろ
周子,いやそれも結構酷いこと言ってるからね？――さて、じゃあまあ、昔話はこの辺にしとこか
紗枝,はいな。あいどるのお仕事、始めまひょか～
あいつは,大福
美穂,――それで、この先がレッスンルームで、その向かいがシャワールーム。シャワーはいつでも使っていいから
周子,ほうほう
紗枝,えろうすまへんなぁ、案内までお任せしてしもて……
美穂,ううん、全然大丈夫！わからなかったら何でも聞い……て……
周子,…………
美穂,ど、どうしたの……？
周子,…………いやぁ、やっぱ可愛いなぁと
美穂,えぇえっ！？そそそそんなことないよ！！二人の方がずっと綺麗だし、か、可愛いよ！？
紗枝,あらあら～、真っ赤になってしもて。かいらしなぁ
美穂,あわわわわわ……
周子,お？あの声……
紗枝,美穂はん、呼ばれとるんちゃいます？
美穂,あ、ほんとだ……！ごめんね、私行かなきゃ
周子,おっけおっけ。寮でまた色々教えてねー
美穂,うん！――――プロデューサーさんっ！
周子,う～～む
紗枝,どないしはりました、周子はん？美穂はんとプロデューサーはんのお二人に、そない熱い視線……。…………あぁ～～～～～～♡
周子,いやなんか勘違いしてるっぽいけど、とりあえず違うからね？
紗枝,ええんよええんよ、うち応援しますさかい。周子はんも大きうなってぇ
周子,どういう立場からの物言いかっつの。じゃなくて、美穂ちゃんよ、あの子って多分――
楓,やっぱり気になります？
周子,うわびっくりした。え？あ！ど、どうも？
紗枝,……えらい別嬪はんやなぁ。京にも万に一人おるかおらへんかやない？どちら様どすやろ？
周子,いやいや、高垣楓だって。この事務所の最古参で、今でもトップの稼ぎ頭
楓,ごめんなさい、びっくりさせてしまったかしら
周子,や、そういうわけじゃ。えーっと、高垣楓、さん？
楓,はい、高垣楓です♪あなたたちは、最近ここに来た子かしら？
紗枝,この春からお世話になります、小早川紗枝いいます。不束者やけど、よろしゅうおたのもうします～
周子,塩見周子です。どうぞよろしく
楓,これはご丁寧に。こちらこそ、よろしくお願いしますね。それで、美穂ちゃんのことなんですけど。あなたたちもあの子を見たということは、もう察しているんでしょうけど。あの子――
周子,まさかこの人も、気付いて……？
楓,――プロデューサーに、ホの字なんじゃないかしら？
周子,ホの字て
楓,うふふ、若いって素敵ですねぇ。隠しきれない恋、好意は行為に表れる……ふふっ。あら、もうこんな時間。引き止めてごめんなさい。私も行きますね
周子,いやいや、こっちこそ。行ってらっしゃい～
紗枝,おつかれさんどす～
楓,ぽんぽこ～♪
周子,……おっどろいた。どこまでわかってはんねやろ、あの人……
紗枝,…………
周子,紗枝ちゃん？どしたの変な顔して
紗枝,いやぁ――。ここは退屈せぇへん、ええとこやなぁ思いまして
周子,…………せやね。それにはまったく同意だわ
