モバＰ(以下Ｐ表記),なんて怖い笑顔で言われちゃったし、流石に休日出勤できないよなぁ
Ｐ,先輩にも、マネージャーあがりの時に色々発散しとけって言われてるけど……今が一番忙しい気がするよ。今日どうやって時間潰そう……仕事、全部デスクに仕舞い込まされたし、買いたい物なんて特にない。やばいなぁ……いつからこんなつまらない人間になっちまったんだ……こんな大人にはなりたくないって思ってた筈なのに。……とりあえず掃除しよう。ゴミとか郵便とか溜まってたし、昼はそれから考えよう……。………ピザのクーポンとか要らんな。全部捨てるか……ん？。これ、母さんからの奴だ。封筒の中身は……オペラのチケット？。あぁー…そういやこれで彼女でも誘えって電話かけてきたっけ。いたらオペラじゃなくて映画にでも誘ってるよ。いや、女の子とデートなんて一度もした事無いけど……やめよう、手を動かせ考えるな俺。ってこれ今日開演じゃん。誰か誘って……あ、誘える相手がいないや。……まぁ、とりあえず。掃除終わらせて、スーツのプレスでもするか。ってなわけで、母さんから貰ったチケットを使って一人でオペラを観に来た訳だけど。結構私服の人多いな。ドレスコードとかあったら困るからスーツで来たけど、考えすぎだったかな。まぁ、そこまで浮いてないし問題ないか。どれ。貰ったパンフレットによれば、演目は……カルメンか。へー、これ大学生が演じるんだ。サークル主催の舞台にしては凄い本格的だな……あ、席あそこか。席の前後幅狭いな……すみません、隣の席の者なんですけど、そこ通してもらってもいいですか？
若そうな女性,あ、はい。どうぞ
Ｐ,ありがとうございます。よいしょ……。(この人、えらい美人だな……)。や、どうもすみません。汚いケツを向けてしまって
女性,気にしないでください。ここの劇場は席が狭いから仕方ありませんし、こういう事は頻繁にあることですから
Ｐ,そう言ってくれるとありがたいです。貴女みたいな美人さんに不快な思いをさせたとあっては心苦しい
女性,やだ、私口説かれてる？
Ｐ,職業柄そういう言葉を日常的に使えと教育されているので。気を悪くされたらすみません
女性,ふふっ。フォローの仕方に仕事を含めるのは減点よ？
Ｐ,手厳しい。でも勉強になります
女性,となると、貴方の仕事は女の子を騙しちゃうような事なのね
Ｐ,からかわないでください。芸能プロダクションに所属する一社員ですよ。名刺要ります？
女性,あら、アイドルのお誘いかしら。なるほど、お上手なのね
Ｐ,そういうつもりでは……
女性,ふふふ、ごめんなさい。本気で誘うつもりなら既に手渡してるでしょうからね。お兄さんの反応が可愛いから、からかっちゃった
Ｐ,休暇として来ているので、無粋かと思いまして。仕事として会えた際には改めて名刺を渡させていただきますよ
女性,遠慮しておくわ。お気遣いありがとう、お兄さん
Ｐ,はは、残念です。(お兄さん……？響きになんか違和感を感じる)
女性,お兄さんは、劇場に来るのは初めて？
Ｐ,初めてという訳ではないですけど、全部学校関連でしか来たことないですからね。基本隣は野郎ばかりでしたから、ちょっとそわそわしちゃいます
女性,ああ、確かに初めて一人で来るとなんとも言えない恥ずかしさがあるわよね
Ｐ,誰か誘えれば良かったんですけどね……
女性,私が隣だと嫌かしら？
Ｐ,滅相もない。身に余るくらいですよ
女性,とか言って、本当はここに座っているのが彼女だったらなあとか思ってるんじゃないの？
Ｐ,そ、れは、まぁ……いや、一人じゃなかったらこんな風に美人さんの隣に座れなかったでしょうし、僥倖ってやつですよ
女性,ふふ、ちょっと遅かったわね
Ｐ,ぐ……
女性,まぁ、私も人の事言えないけど……ところで、お兄さんはどうしてここに来たの？出演者に身内でも？
Ｐ,そういう訳ではなく。ただ……なんというか、興味本位というか。母の知り合いにOGが居たみたいで、チケットを譲ってくれたんですよ
女性,なるほどね。お母さんからチケットを送られて、そこまでオペラに興味がある訳ではないけれど、暇だから行ってみるか……と
Ｐ,まぁそうなんですけど……さっきからちょっと人の事虐め過ぎじゃないですか？
女性,やり過ぎたかしら、ごめんなさい。男の人と話しててこんな楽しいの、今まで全然なかったからつい
Ｐ,いや、まぁ……他の人なら不快になるかもしれないと思っただけで。私相手でよければ気を使わなくてもいいですよ
女性,そう言ってくれると思ってたわ
Ｐ,……少しは気を使ってくださいね？
女性,ふふ、冗談よ
Ｐ,それで、貴女は－－－
女性,保奈美
Ｐ,え？
女性,西川保奈美よ。保奈美でいいわ、お兄さん
Ｐ,ああ、そうですか。良い名前ですね。私の名前はモバＰです。お兄さんでも、お好きなように呼んでください
保奈美,わかったわＰさん。それで、なんだったかしら？
Ｐ,保奈美さんはどうしてここに？サークルの関係者とかですか？
保奈美,ううん、全くの無関係よ。偶々オペラの舞台があるって聞いて、観に来たの。私、オペラ好きだから
Ｐ,へえ。詳しいんですか？オペラ
保奈美,そこそこね。オペラ歌手を目指してたから
Ｐ,なるほど。経験者の方でしたか
保奈美,……少し違うわね
Ｐ,……？
保奈美,オペラ歌手を夢見てるだけの、未だ一度も舞台に立った事すらないただのオペラオタクよ
Ｐ,………あまり首を突っ込まない方が良いですかね？
保奈美,そうしてくれるとありがたいけど、別に大したことでもないわよ
Ｐ,？
保奈美,ただ、思ってたより夢と現実の幅が広かったって、それだけのこと
Ｐ,現実との幅、ですか……
保奈美,変な事言っちゃったわね。忘れてくれる？
Ｐ,いや、こんな席で話してもらう事じゃないかもしれないですけど……。話してスッキリするかもしれませんし、良ければ聞かせてもらえませんか？
保奈美,……オペラの前に気分悪くさせちゃうかもしれないわよ？
Ｐ,なら、オペラの後ででも
保奈美,……まだ、時間あるし。軽く話しちゃおうかしらね。私がここに来た理由も、ちょっとだけ関係あることだし
