この外で降っている雨もいわゆる,氷雨
曇った窓をこすり、外を見ると雨の中で寒々とした空が広がっていて、いかにも,冬景色
その冬景色を見ていると、その冬景色の中を,彼女
でも,彼女
去年の萩原さんの誕生日の時には,彼女
それが,彼女
そんな,彼女
私は・・・私が今ここにいるということを、本当に,彼女
そんな景色を見ていると、,彼女
千早,はい
春香,えへへ・・・おはよう、千早ちゃん！
千早,おはよう、春香。ねえ、あなた今日仕事じゃなかった？
春香,実は、スケジュール変更があったの忘れてて・・・。それで事務所に行ったら千早ちゃんもお休みって言うから、千早ちゃんのとこに来ちゃった！
千早,そうだったの
春香,もしかして・・・お邪魔だった？
千早,そんなことないわよ？。今日は家でゆっくりしようかなって思ってたぐらいだから
春香,そっか～・・・ﾃｨﾝ!・・・ねえ千早ちゃん！
千早,なに？
春香,せっかく晴れたんだし、ショッピングに行こうよ！。それにオフなのに一日中家でゴロゴロっていうのも勿体ないよ！
千早,う～ん・・・それもそうね、そうしようかしら
春香,うん！そうと決まったらレッツゴー！
千早,ち、ちょっと待って！まだ準備してない！
春香,あっ、そうだった・・・ごめん
千早,お待たせ、準備できたわよ
春香,それじゃあ行こっか！
千早,ええ！
春香,うう～っ、やっぱりお外は寒いね～！
千早,そうね、さっきも雪が降ってるのかと思った
春香,そうそう！って千早ちゃん、昨日もそのコート着てなかった？
千早,ええ。これしかコート持ってないから・・・
春香,ダメだよー！女の子なんだから、もっとオシャレにならないと！
千早,そ、そうかしら？
春香,そうだよ！・・・よし！今日のショッピングは千早ちゃんのコートを探そう！
千早,・・・いいの？
春香,いいの！。それじゃあ、しゅっぱ～つ！。～♪
千早,春香、何だか楽しそうね？
春香,当り前だよー！だって、こうやって千早ちゃんと2人で遊ぶの久しぶりだもん！
千早,！・・・確かにそうね！
春香,うう・・・やっぱり寒い・・・
千早,そうね・・・ﾃｨﾝ!。こうして手を繋いだら良くないかしら？
春香,！・・・そうだね！えへへ、暖かい～♪
千早,それにこうした方が転びそうになっても大丈夫だし
春香,ええっ！ひどいっ！
千早,冗談よ。あっ、この曲・・・有線かしら？・・・。・・・時はいつの日にも親切な友達か
春香,どうしたの？
千早,いや・・・結構的を得てるなぁって思って
春香,おおっ！何だか哲学者っぽいね、千早ちゃん！
千早,どういうこと？
春香,んー・・・わかんないっ！
千早,何よそれっ
春香,あっ、そうそう！この前ね？・・・
ユーミンの,12月の雨
