鷹富士茄子,ライブ中でも不幸が気になる……！一緒に歌う人を巻き込んでしまうかも……！そんな中でも事務所には幸運の女神が……！しかも歌が上手い
茄子,”他の人とは上手く歌えないけど、この人は違う……！”歌でも私をサポートしてくれる……！声質もなんだか噛み合っているような気がする……！当社比。こんなの一緒に歌うなっていう方が無理じゃないですか！！常識で考えて！！！。どうして……？どうしてほたるちゃんは私にデュエットを申し込んだりレッスン中に”茄子さんと一緒ならなあ”って考えてしまってトレーナーさんに注意されたりお願いシンデレラのわちゃわちゃするところでおもむろに私に近づいてカメラに向かって決めポーズをしようと提案してくれたりしないんですか……！？。絶対おかしいです……どうすれば……。ごめんなさい、今ちょっと運命と向き合っているんです。ですから、今、考え事をしていて……
白菊ほたる,お、お疲れ様です……
茄子,……
ほたる,……
茄子,……
ほたる,……
茄子,……こほん
ほたる,……
茄子,お疲れ様です、ほたるちゃん。今日もレッスン、頑張りましょう〜♪
ほたる,……
茄子,……
ほたる,……
茄子,……いつから
ほたる,すみません……多分……最初から……
茄子,そのような意見もあるんでしょうね
ほたる,真実かと……
茄子,ふぅ……
ほたる,す、すみません……私、いつも間が悪くて……
茄子,ほたるちゃん
ほたる,は、はいっ……
茄子,どうして私とデュエットしてくれないんですか！？
ほたる,前にも思いましたがメンタルの切り替えすごいですね……
茄子,でも、私はわかっています
ほたる,へ……？
茄子,私になかなか依存してくれないほたるちゃんの事ですから、そう簡単にデュエットしてくれるとは思っていません
ほたる,あの……どうして依存とデュエットが同列に語られてるのか私にはわからなくて……
茄子,今回も一筋縄ではいかないと、私の直感が言っています……！
ほたる,別に一緒に歌うくらいなら……
茄子,そこで今日もぷれぜんてーしょんをします！
ほたる,そもそも見つからない想定ならこの資料はなぜ作っているんですか……！？
茄子,まず１つ！
ほたる,初手で出すには各々の感性次第のような……
茄子,かこほたが一緒に歌っているんですよ！？7つもの歳の差を乗り越えて！それだけでもうエモいと思いませんか！？かこほたですよ！？かこほたが歌ってるんですよ！？
ほたる,あまりカップリング名を連呼しないでいただけると……
茄子,そんな言い訳は聞きたくありません！黙って私のソロに乱入して見事なハモリを披露して観客を虜にしていってください！！！
ほたる,要求の難易度が不条理に高い……
茄子,ダメですか……
ほたる,あの……ですから、一緒に歌うくらい……そもそもユニット組んでますし……
茄子,ですが私は諦めません！
ほたる,どうして私の話は聞いてくれないんですか……！？
茄子,その２です！
ほたる,……
茄子,……
ほたる,……
茄子,次です！！！
ほたる,せめて後片付けくらいはご自身で……
茄子,ナスもネタも鮮度が大切ですから♪
ほたる,どういう言い訳なんだろう……
茄子,続いてはこちら！
ほたる,……はい？
茄子,こういう事ですっ！ぎゅーっ♪
ほたる,はわわわわ……！！！！！
茄子,どうですか？どうですか？
ほたる,こ、ここここれはうたとかでゅえっととかかんけいないようなきがしゅるんですが
茄子,あ……
ほたる,か、解放された……
茄子,すみません、これは”ほたるちゃん依存計画２”のプレゼンでした……
ほたる,あれ第二弾も進行してたんですか……！？
茄子,さ、気を取り直して次へいきましょう！
ほたる,で、ですから……
茄子,こちら！
ほたる,実利的……！？
茄子,どうですか？
ほたる,そもそもSRって……？
茄子,次にいきましょう！
ほたる,信じられないテンポ感ですね……
茄子,次！
ほたる,そんな事あります？？？
茄子,いいですか？まず、ライブで私たちのデュエットを聞いたお客さんは感動の渦に呑まれ、寝ても覚めても私たちのことしか頭にありません
ほたる,皮算用がすごい……
茄子,その為す術もない感情がどこに行くと思いますか？そうです。SNSです
ほたる,何も言ってないです……
茄子,ですが、ファンの皆さんには語彙力がありません
ほたる,一度怒られた方がいいかと……
茄子,そこでギリギリ捻出される”かこほた……”というワード。その波はどこまでも広がり、国内外を問わずトレンド入り！
ほたる,国内外は問うべきかと……
茄子,そしてあっという間に流行語の仲間入りです……！
ほたる,全て想像なのにそこまで達成感を出せるの、素直に凄いです……
茄子,やっぱりダメですか……
ほたる,ダメとは一度も言っていないですが……
茄子,わかりました、今日のところは諦めます
ほたる,何も制限されてないのに何を諦めたんでしょうか……？
茄子,そういえば、ほたるちゃんはどうしてこの部屋に？
ほたる,よ、ようやく私の話を聞いてくれるんですね……
