カメラマン,撮影終了でーす
茜,ありがとうございました！
P,いい感じだったぞ、茜
茜,プロデューサーさーんっ！
P,うおっ。茜は仕事やレッスンが終わると決まって俺にタックルしてくる。毎回受け止めるのは骨が折れるが、これも茜が俺に懐いてくれている証拠だ。よしよし
茜,えへへ
カメラ,うわぁ……茜ちゃんとプロデューサーって恋仲だったのか……
P,！？
カメラ,拡散したろ
P,あー！茜のような娘が欲しいなー！俺は茜を娘のように考えているからなー！
カメラ,なんだ。恋仲じゃないのか
P,ふぅ。なんとか誤魔化せたぜ。しかしこれから仕事先で毎回こんな誤解を生むわけにはいかないな……。よし。茜
茜,？なんですか？
P,今日からタックル禁止な
茜,タックル禁止ですか！？
P,お疲れ様。茜
茜,プロデューサーさーんっ！。はうっ！。危ない危ない！ついいつものくせでプロデューサーさんにタックルしてしまう所でした！
P,よしよし。ちゃんと我慢できたな
茜,プロデューサーさんっ
P,！？。お、おい茜！タックル禁止だって言っただろ！
茜,？ですからこれはタックルではありませんよ？ハグです！
P,ハグぅ！？
茜,はい！疲れた時はプロデューサーさんとハグするのが一番です！疲れてなくてもです！
P,なんだそりゃ……まったく、事務所だったからよかったものの。じゃあハグも禁止
茜,！？
P,お疲れ様。茜
茜,プロデューサーさーんっ！。はうっ！。危ない危ない！ついいつものくせでプロデューサーさんにタックルしてしまう所でした！
P,よしよし。ちゃんと我慢できたな
茜,プロデューサーさんっ。はうっ！。危ない危ない！ついいつものくせでプロデューサーさんにハグしてしまう所でした！
P,よしよし。ちゃんと我慢できたな
茜,プロデューサーさんっ
P,！？。お、おい茜！ハグ禁止だって言っただろ！
茜,？ですからこれはハグではありませんよ？くっついているのです！
P,くっつくぅ！？
茜,はい！疲れた時はプロデューサーさんにくっつくのが一番です！疲れてなくてもです！
P,なんだそりゃ……まったく、俺の部屋だったからよかったものの。じゃあくっつくのも禁止
茜,！？。しょんぼり
未央,どうしたの茜ちん
茜,実はかくかくしかじかで……スキャンダルを避けるためにタックルもハグもくっつくのも禁止されてしまったんです……
未央,かくかくしかじかの後で全部説明したね
茜,私はこれからどうやってプロデューサーさんから元気を貰えばいいんでしょうか……
未央,……はぁー。分かってないですなぁ茜ちんは
茜,？
未央,いい？プロデューサーはね？実はスキャンダルが怖くて茜ちんはに禁止令を出したわけじゃないんだよ
茜,なんと！？では一体何のために！？
未央,それは茜ちんにあることをして欲しいから。ほら、タックルでもハグでもくっつくのでもないとしたら……あれしかないよね？
茜,あれ？
未央,キ・ス♡
茜,！？。プロデューサーさん！
P,ん？どした
茜,んっ
P,！？！！？！？！！！？？？！？！！？
茜,もう！プロデューサーさんは恥ずかしがり屋ですね！言ってくれたら、私だって……。あっ、これで本来の目的が達成されたのでタックル等々も解禁ですよね！。えへへ……幸せです！
P,……。茜……可愛い……好き……幸せ……茜……
