美城常務(以下常務にゃあ),昨今は恋愛やプライベートなどを週刊誌に撮られたりする
常務,それによりアイドルのイメージダウンとなりひいてはこの346プロのブランド力低下にも繋がる
モバP(以下Pにゃあ),そのためにアイドルのプライベートを調査する……という話ですよね
常務,その通りだ。優秀な君にしか出来ない仕事だ。アイドル達には申し訳ないがな
P,まぁ仕方ないですよ
常務,では調査結果を教えてほしい
P,了解です。ちゃんと常務にもわかるように動画で撮りました。ではご覧ください。最初は未央からです
常務,彼女はクラスでは男女問わず友達が多いしプロデューサーとの距離が近すぎると聞く、男性絡みがある可能性もあるからな
P,最初にこちらが女子寮で茜と藍子と一緒に料理をしてた時です
常務,ふむ
P,こちらが北海道ロケの様子です。そして先週未央のプロデューサーと一緒に遊園地に行った時です
常務,…….
P,学校内の様子ならこないだ学校で文化祭があったのでその時の様子です
常務,ちょっと待て！さっきから胸しか写してないじゃないか！
P,調査の結果、未央のおっぱいはデカイというのがわかりました
常務,見ればわかるよ！。アイドルの胸しか映ってないじゃないか！調査結果も何の意味もないじゃないか！。胸ばかり映しておいて……セクハラと訴えられるぞ君！だいたい君がそういう破廉恥な人間だとは…
P,…
常務,な、なぜ私の胸を見る！///
P,嫉妬か！
常務,なんで！？なんで頭叩かれなければならないの！？
P,あっ…すいません！常務のおっぱいは垂れてるからてっきり未央のおっぱいに嫉妬してるのかと…
常務,してないわ！というより私の胸は垂れてない！。全く…どうなってるんだ…次は誰だ？
P,次はまゆなんですが……まゆはオフの日まゆPと車で二人きりで出かけてました。それを動画で撮影しました。ご覧ください
常務,佐久間まゆはプロデューサーを溺愛してるからな…プロデューサーが好きでプロデューサーと恋仲になる可能性もある
P,今まゆがまゆPの車に乗りました
常務,走っていったな……立ち止まったが車で追いかけないのか？
P,いえ、撮影当時は車に乗ってないので…
テレビ,ﾊﾟﾗﾗﾗﾗﾗﾗﾗﾗ…！
P,ヘリで上空から撮影しました
常務,ヘリでぇ！？凄いな君は！？。なんで車なくてヘリあるの！？
P,近くにヘリをチャーターしてくれる所があったのでそこでチャーターしました
常務,凄いな…優秀なプロデューサーだな君は
P,あとチャーターにお金かかったんで500万経費でください
常務,500万！？何勝手にお金かかることしてるの！？経費でそんな大金出せないよ！？
P,上空から撮影したのはいいですがまゆの車を見失ってしまいました
常務,意味ないじゃないか！
P,なので次のまゆのオフの日、またまゆPと車に乗って出かけたので車についていって撮影しました。それが今テレビに映してるところですね
常務,ふむ…車との距離が一定に保たれてるな…
