また、モブ,演出家・王子役など
甜花,あれ……？ゆめ……？。うーん……まだ、眠い……。ん……待って、なーちゃん……後30分……。……？。じゃあママ……でも無いよね。声違うし……。えっと……？夏休みだからお昼まで寝ててもいいはずで……だけど、夏休みだからお仕事もあって……。……あ。な、な、な、夏葉さん……！
夏葉,さあ準備しなさい！ランニングに行くわよ、甜花！
甜花,あ、あの……！夏葉、さん……！
夏葉,何かしら？
甜花,な、なんで……！ラ、ランニング……？それも、朝から……！。夏葉さんの家には……その、仕事の……舞台の練習のためで……
夏葉,だからこそよ。練習の前に、まずはしっかりと体を起こさないと。それとトレーニングよ。体力は必要だわ。演劇にも、それ以外のことにもね。体力、知力、精神力。そして、筋力があれば何だって出来るのよ！
甜花,……付いていけるように……甜花、頑張らなきゃ……
千雪,甜花ちゃんに、舞台のお仕事ですか？
P,ちょっと急な話だが、そうだ。二人は、夏葉……放クラの有栖川夏葉は知っているか？
甜花,夏葉、さん……？。うん……事務所で見たことは、何度かあるよ……
千雪,私も同じくです。お話してみたいとは、常々思っているんですけど
P,その夏葉なんだがな。ある劇団の舞台で、主役の仕事をもらえたんだ
千雪,まぁ、それは凄いことじゃないですか
P,本人も大喜びしてたよ。それで、近頃は劇団で稽古に励んでるんだが……。困ったことが起こってな。何でも共演者の方が、大怪我をしてしまったらしい
千雪,お、大怪我……
P,あ、いや、命に別状は無いそうだぞ。交通事故に巻き込まれて、全治半年程との事だが
甜花,でも、怪我したその人は……
P,そうだな。気の毒な話だが、舞台には上がる事は出来なくなった
千雪,それでは……甜花ちゃんの仕事は、その人の代役という事ですか？
P,ああ、そういうことになる。劇団としては、舞台の公演を取り止めにする気は無いみたいでな。良ければ283プロから代役を立ててくれないか、と打診されたわけだ。それで肝心の舞台の内容だが……これは、見てもらった方が早いか。これが、その台本になる
千雪,カボチャの馬車？あ、このお話って……
甜花,シンデレラとサンドリヨン？
P,題名、シンデレラとサンドリヨン。童話のシンデレラをベースにした創作劇だ
千雪,シンデレラ。それで、サンドリヨンというと……。サンドリヨンってアレですよね。あのペローさんの……
P,お、詳しいな。さすが千雪
千雪,ぐ、偶然ですよ。童話とか御伽噺とかが好きで。それで、たまたまです
甜花,ぺろーさん……？
P,この創作劇だが、サンドリヨンという登場人物が出てきている。本来のシンデレラには登場しない人物だな。この追加の登場人物である彼女が、話のキーパーソンになるわけだが……。長々と口で説明してもアレだしな。ともかく、目を通してみて欲しい。二冊あるし、千雪もどうだ？急ぎの用事があるなら、無理にとは言わないけど
千雪,それじゃあ、折角ですので。はい、甜花ちゃん。意外と重いので、気をつけて下さいね
甜花,ありがとう、千雪さん……。あ……。……ページ、余計にめくれちゃった……。……分厚い本は、これだから……。え……。……
P,どうした、甜花。そんな風に固まって
甜花,え……？。あ、うん……な、なんでも……ないよ……？
P,……。そうか
甜花,……プロデューサーさん……今更、なんだけど……
P,なんだ？
甜花,甜花、何の役をすればいいの……？
P,ああ……そういえば伝えてなかったな。確かに今更だ、申し訳ない
甜花,うん……。急な代役を立てるくらいだし、そんなに重要な役じゃ無いとは思うけど……。一番目立ったとしても、義理の姉くらいの……
P,サンドリヨンだ
甜花,え……
P,主役・有栖川夏葉と、キーパーソン・大崎甜花。そういう風になるな
甜花,え……それって、本当に……？なーちゃんの、お仕事じゃなくて……？
P,こんな所で嘘ついてもしょうがないだろ。そもそも、甘奈には日程的に頼めないよ。ま、キーパーソンどうのというのも、甜花が受けてくれればの話だが……。どうだ、やってみないか？必ずいい経験になると思うぞ
甜花,学園ドラマのエキストラ……覚えてる……？。前に、甜花がやった……
P,もちろん忘れてないよ。あの事が、どうかしたのか？
