速水奏,遅いわね
モバＰ,以下Ｐ
奏,何か手はある？Pさん
Ｐ,……最寄りの新幹線の駅を調べてくれないか
奏,嫌よ。私だけ返すつもりでしょう
Ｐ,なら次のPAに入って自分で調べる
奏,その前に下道に降りちゃった方が早いんじゃない？
Ｐ,降りられればいいんだけどな
奏,次のインターまで35kmね
Ｐ,時速15kmくらいで動いてるし、渋滞を抜ければ
奏,あら。渋滞なくても最寄りの新幹線の駅まで1時間半ですって
Ｐ,は？えっ、いま何時だ
奏,午後9時過ぎたわ
Ｐ,……
奏,東京への新幹線は10時が最終みたい
Ｐ,……随分と調べる手際がいいじゃないか
奏,ふふ、ありがとう
Ｐ,含みを持たせたんだけど気づかなかったか。間に合わなくなる時間まで黙ってたろ
奏,気づいたわ。でもそうじゃなくて、新幹線の手段をとって欲しくなくて黙っていただけ
Ｐ,ははは、言いやがったなこの小娘
奏,ふふふ
Ｐ,ははは……どうすんだこれ。だから今日の帰り、ロケバスで帰った方がいいって言ったんだ。それなら直帰できたろ
奏,知り合いいないんだもの。スタッフさんたちはいい人たちだけど、どうせならPさんと帰りたいわ
Ｐ,遠方でのロケだから、奏の仕事終わった後ついでに別の営業しに行くから遅くなるって言ったのに、撤収始まったらさっさとこっちの車に乗ってくるんだもんなぁ
奏,Pさん午後から見に来たじゃない。私、早朝集合で撮影行ったのよ
Ｐ,なおさらロケバスの方が早く帰れたろ
奏,だって……朝一緒に行けなかったのに、帰りも一緒じゃないなんて……
Ｐ,……
奏,私、Pさんとなら……
Ｐ,奏…………演技上手くなったな
奏,でしょう？
Ｐ,いやー、やっぱりフランス帰りは違うわー
奏,鍛えられたわ。楓さんのおかげね
Ｐ,ははは……和やかに話してても解決しないのが辛いところだ
奏,ふふふ。でも、もうどうしようもないじゃない？
Ｐ,奏を今日中に東京に返すのは無理だな
奏,でしょ
Ｐ,……なあ、さっきの新幹線の駅までの経路、本当に最短か？
奏,ん？んー……いいえ？
Ｐ,なんだよ。ちゃんと最短で言ってくれ
奏,逆車線ならひとつ前のインターから、1時間で
Ｐ,……
奏,現地点から検索したらそう出たの
Ｐ,……意地悪
奏,ちょっと拗ねないで、気持ち悪い
Ｐ,え、ひどくない？
奏,ふあ……
Ｐ,可愛いあくびだな
奏,あら、可愛いだなんて
Ｐ,あくびのことだ
奏,むぅ
Ｐ,朝からだもんな、さすがに眠いか
奏,疲れてはいるけど、大丈夫。Pさんが営業行ってるときに車の中で寝てたわ
Ｐ,ああ……。とはいえ、疲れているのは本当だよな。んー……
奏,まだなにか、手を考えているの？
Ｐ,考え続けることが大切だろ
奏,時には感情に身を任せるのも良いものよ
Ｐ,いまはその時じゃないだろ
奏,あらそう
Ｐ,いま感情に身を任せたら、全部放り出して寝てしまいたい
奏,私と？
Ｐ,そういう意味で申し上げたのではない
奏,夜中のドライブと思いましょう？。プロデューサーとアイドルの、長い夜のドライブ
Ｐ,……
奏,ドキッてした？
Ｐ,魅力的な響きではある
奏,でしょ？私としては、Pさんとドライブできて悪くないと思ってるわ
Ｐ,まあ、俺も一人でこれ帰るのはちょっとな
奏,ね。むしろ、二人の時間が長くてうれしいくらい
Ｐ,そうか
奏,演技じゃないわよ
Ｐ,……そうか。……。いや違う
奏,何のこと？
Ｐ,一人でだったら、とっくに諦めてどこかのSAかPAで寝て過ごしたよ
奏,なるほど、そういう手段があるのね
Ｐ,さすがにアイドル連れてそれはなぁ
奏,そうね……Pさんとなら構わないけど、どうせ寝るならベッドかお布団がいいわ
Ｐ,……
奏,俺と？ってやり返すところじゃない？
Ｐ,いやそりゃ……ちょっと思い浮かんだけど、さすがに言葉飲み込んだって。進み始めたな
奏,……
Ｐ,ん？
奏,……すぅ……
Ｐ,寝落ちたか。さて、渋滞は抜けたけど、結局のところなぁ
奏,ん……。車止まった？
Ｐ,起きたか？
奏,ん……あ、ごめんなさい、少し寝落ちてたわ
Ｐ,謝ることは無いだろ
奏,でも、話し相手がいないと退屈でしょ
Ｐ,運転に集中してたらそうでもない。あのあとすぐに渋滞抜けたし
奏,そうなんだ。ここは？
Ｐ,ちょっと休憩にPA寄った。コーヒー買ってくるけど、どうする
奏,一緒に行くわ
Ｐ,うわ、寒いっ。コートとマフラーしてけよ
奏,風、思ったより強いのね
Ｐ,ふー。エンジン切りたくなかったな
奏,そうね。でも待ってるだけなのも嫌だったから。エアコンつけ直しましょう。はいカップ
Ｐ,おう、ありがと……えーと
奏,えーと？
Ｐ,どっちが俺のカップだ
奏,Pさんブラックよね。私がカフェラテだから、飲んで甘い方じゃない？
Ｐ,飲まないと判別できないのか
奏,蓋開けて閉め直すより早いわ。じゃあ、一口飲むわね
Ｐ,ん……あ、おいちょっと待て
奏,ふふっ、待たない。あら。こっちがブラックだったわ
Ｐ,……
奏,はい、どうぞPさん。気にしないでいいからね
Ｐ,……これくらいで気にすると思うか？
奏,そうねえ。私が口を付けたカップが、世間的にどれくらいの価値があるのかは気にしてそうかな
