渋谷凛,あれから……一晩一緒に過ごした日から、私の日常は一変した。見るものすべてがキラキラ輝いて、世界が私を祝福してくれてるようで。それはとても心優しくて
島村卯月,見るものすべてがキラキラ輝いてたら眩しくて大変だね。眼科行こ？
凛,……そんな美しくも穏やかな世界を私にくれた彼はいつも通りの振る舞いで。そのいつも通りという、私だけに分かる照れ隠しがまた心地良くて
城ヶ崎美嘉,いいから。もう、いいから。プロデューサーは照れも何も隠してなくて、ただただニュートラルだから
凛,……もう！現実逃避くらいさせてよ！
美嘉,あんだけ啖呵切っといて、ただ父親と飲み明かされて何も出来なかったとはねー。父親にネトラレるってどんなハードコア？
凛,変な言い方やめてっ！……でも、お父さんとより仲良くなってくれたって考えれば、二人とは雲泥の差か。ポジティブに考えよ
卯月,凛ちゃん……。正直、私達みんな泥だよ。差なんてないよ……
美嘉,異性として意識して貰わないと始まりもしないもんね
凛,ぐっ……
美嘉,ま、アタシは告ってるから、二人よりは雲に近いと思うけどね！
卯月,子供の背伸びだよね！
美嘉,あぁん！？日和ってばっかの子が何を言うか！
卯月,ひ、日和ってないもん！近々どうにかするもん！
美嘉,どうにか～？ふ～ん？……ハッ！
卯月,あ！すっごいイヤな笑い！完全に悪役！顔歪んでたっ！！
美嘉,顔歪んでたは駄目でしょ！
卯月,……ハッ！
美嘉,うわっ！すっごい顔歪んでる！
凛,なにしてんの……
モバＰ,お疲れー。美嘉ー？
美嘉,こっちだよ。コラムの事でしょ？
モバＰ,うん。これが相談メールと葉書な。今回は美嘉がこれと思ったやつを選んで好きに書いてくれ
美嘉,りょーかい。二、三通でいい？
モバＰ,それも任せる。後で添削するけど、一ページに収まるようにな
美嘉,は～い
モバＰ,ん。じゃあ、俺また出るけど、凛も撮影あったよな？送ってくぞ
凛,うん。お願い
モバＰ,卯月は……まだ時間あるか
卯月,はい、もう少しゆっくりしていきます
モバＰ,そうか。んじゃ、行ってきます
凛,行ってきます
卯月・美嘉,いってらっしゃ～い
美嘉,さてさて。恋の初心者ちゃん達の悩みを見てみましょうか
卯月,カリスマギャルが超指南★恋の問題サクッと解決！！恋の初心者あっつまれ～★……か。美嘉ちゃんも恋の初心者なのによく連載できてるよね、これ
美嘉,……占い師が自分の悩みを全て解決出来てると思う？そういう事だよ
卯月,あ、はい。なんか、ごめんなさい
美嘉,ん。え～と……どれにしようかな。そうだ、せっかくだから卯月が選んでみてよ
卯月,いいの？それじゃあ……これっ！
美嘉,ふんふん……。これ川島さん臭がするんだけど、気のせいかな？
卯月,気のせいだよ。それでは、美嘉ちゃんのお手並み拝見！
美嘉,そうだなぁ……
卯月,……ん？。美嘉ちゃん美嘉ちゃん
美嘉,なんだいなんだい
卯月,これ……そんな人って知ってる。ていうか、私
美嘉,あはは
卯月,え？な～にその笑い。……私、警戒されてるの？
美嘉,あはは、卯月は別に超スキンシップしてないじゃん。ヘタレて
卯月,へ、ヘタレ！？……ん？じゃあ、この警戒されてるのって
美嘉,アタシと卯月をフュージョンさせてみた
卯月,……美嘉ちゃん超スキンシップしてるの？
美嘉,……凛が失敗したって聞いてテンション上がっちゃって、こう……ガバッと……
卯月,なんだ、私に隠れて日常的にベタベタしてるのかと思っちゃった。まあ、大概美嘉ちゃんもヘタレだから勢いに任せないと無理だよね
美嘉,そ、そんな事無いし？卯月の見えないとこで、とても口に出来ない様なことしてるし？
卯月,ふ～ん？一つ言えることは……ドンマイだよ！美嘉ちゃんっ！！
美嘉,くっ……！いつか卯月の前でホントにイチャついてやるっ！！
卯月,ふふ。けど、それじゃこれ、占い師が自分の悩みを解決するのと同じ事だよ？どうするの？
美嘉,……こうする
卯月,強調のカッコがイラッとするよ、美嘉ちゃん
美嘉,大事なとこなんだからいいでしょ！
卯月,それでどういう事なの？寝顔って
美嘉,プロデューサーを家に連れ込む算段をしてた時、お母さんがアドバイスしてくれたんだ
卯月,……それどこから突っ込めばいいの？
美嘉,いいからいいから
卯月,全然よくないけど……。ほー……。なんてネ★……じゃないよっ！美嘉ちゃんのお母さん、娘になんてアドバイスしてるの！？
美嘉,好きな人にアピールするには、そのくらいの意気込みがないと駄目でしょ！……って、軽く怒られたよ
卯月,そ、そうなんだ
美嘉,でも、まぁ……。こんな感じであくまで警戒されないためのことだから。……アタシも意識してもらう為に今度試さなきゃ
卯月,……この連載、実は美嘉ママの恋愛相談だったんだね……
美嘉,今回はたまたまだって。いつもはサポートしてくれるだけ
卯月,毎回関わってはいるんだね……。あ、そろそろ行かないと
美嘉,もう時間？
卯月,うん。ごめんね、中途半端になっちゃって
美嘉,いいよ。気をつけて行ってきなよ
卯月,美嘉ちゃんも残り頑張ってね。じゃあ、行ってきます！！
美嘉,は～い。行ってら～
卯月,お疲れさまでーす。……誰も居ない。寂しいなぁ。……あ、これ。美嘉ちゃんプリントアウトしたんだ。ん～……意識してもらう為にか～。……。…………。………………よし！やってみよう！！。日和らないようにちひろさん特製ドリンクを飲んで、少し大胆にいこっ！んっ！！。この足音はプロデューサーさん！ふぅ……少しドキドキするけど、頑張ろうっ！！
モバＰ,ただいまです。晴を家に送ってきました～
島村卯月,おかえりなさい！お疲れさまですっ！
美嘉,……それで、何が言いたいのかな？
卯月,美嘉ちゃんのお母さんのお陰でプロデューサーさんにカワイイって言って貰えた上に、大胆なスキンシップにも成功しました！ありがとう、美嘉ママっ！！
美嘉,……話盛ってるよね？卯月そんなタイプじゃないもんね？
卯月,美嘉ちゃん私は言ったよ？近々どうにかするって
美嘉,くっ……。で、でも、意識してもらえるまではいってないんじゃないかな？まだ、告白してるアタシのほうが……
卯月,告白って感じではまだ言えなかったけど、冗談ぽくならって最後に勇気を出して言ったよ。大好きって
美嘉,な！？
卯月,そしたらプロデューサーさん、面食らって目を泳がせながら、恥ずかしっ！て言ったんだ。これは効果ありでしょ？だから……ありがとう、美嘉ママっ！！
美嘉,プ、プロデューサー！！どこっ！？どこにいるの！？裁判だよ裁判っ！！
モバＰ,な、なんだ……？今、忙しいから後にしてくれ……！！……やめろっ！離せっ！この机は俺んだっ！！
千川ちひろ,女の子にこんなボコボコにヘコんでる机を使わせる気ですか！？ていうか、なんでヘコんでるんですか！？イジメですか！？
モバＰ,違いますって！凛達がちひろさんの机の呪いにかかったんですよ！眠りの状態異常になって寝ビクで蹴り上げた結果です！つまりちひろさんが悪いっ！！
ちひろ,なーにをわけわかんないことをっ！！いいから机を替えてくーだーさーいーっ！！
モバＰ,そんな呪いの机はいーやーだー！！
美嘉,ぐっ……。あっちのほうがテンション高くて入り込めないっ！！
卯月,どっちにしても私が言ってる事は事実だよ？そして、これからはもっと積極的にいくよ！
美嘉,ア、アイドルがそんな事しちゃいけないでしょ！？
卯月,凄いブーメランだね……。私は卒業するまでは決定的なことはしないよ。ただ想い合っていたいの。そして、アイドルのゴールと共にゴールインするの……普通の女の子に戻りますって涙ながらにマイクを置いて……ふふ
美嘉,卯月は元から普通だからそんなの認めないっ！！
卯月,なにおぅ！？
うえきちゃん,あちこちで戦いが起きてる……。人とはなんと愚かな生き物なのだろう
速水奏,……今回は周子なのね
塩見周子,フレちゃん、志希ちゃんときたら次はシューコちゃんでしょー？次は奏ちゃんね
奏,……美嘉に言いなさい
周子,美嘉ちゃんはLiPPSにおける突っ込みだから
奏,私をなんだと思っているのよ
周子,……四代目うえきちゃん？
奏,……麗奈。こっちいらっしゃい
小関麗奈,なによ？
奏,ここに面白いものがあるわよ
周子,あ、まって。この格好動きにくくて
麗奈,……アハッ
周子,……ひゅう
