冷戦,ホワイトデー
千秋,……
智絵里,千秋さん……
千秋,何っ！？
智絵里,あ、えっと、ご、ごめんなさい……
千秋,あ……わ、私こそごめんなさい……どうも気が立ってしまって
智絵里,そうですよね……今日は、ホワイトデーですもんね
千秋,……智絵里は、もうもらった？
智絵里,はい。四葉のクローバーがデザインされた小箱に入ったクッキーを……
千秋,そう……貴方は彼に大事にされてるのね
智絵里,そ、そんな事ないと思います！千秋さんの方が、きっと
千秋,……どうかしら。こんな時間になってもまだもらってないのは私くらいじゃない？
智絵里,いえ……まだ智香ちゃんも、まだもらってないって言ってましたよ
千秋,そう、なの？
智絵里,はい。本人はあんまり気にしていないみたいでしたけど
千秋,智香は今どこにいるの？
智絵里,女子寮の自分の部屋だと思います
千秋,そう……ちょっと話してくるわ
智絵里,わかりました。もしＰさんが事務所に来たら、智香さんの所に行ったって伝えておきますね
千秋,べ、別にいいわよ
智絵里,でも……
千秋,わ、私だって別にお返しなんて気にしてないから。あんな……塩と砂糖を間違えたチョコのお返しなんて……。……ぐすっ。ごめんなさい。ちょっと気分が沈んできたから事務所の端っこで体育座りしてるわ
智絵里,智香さんのところに行くんじゃないんですか！？
千秋,いいの。私の事は放っておいて―――
ぴにゃこら太のぬいぐるみ,ぴにゃー
千秋,……。事務所の端っこで体育座りする事も許されてないのね私は……
智絵里,だ、だからってＰさんの机の下に潜り込まないでください……輝子さんですか……
千秋,そうね。キノコよ。私はキノコなのよ。言うならばベニテングダケかしら
智絵里,なんだか怖いことを言い出さないでください
千秋,ぼっちーぼっちーぼっ千秋ー……ふふっ。惨めね
智絵里,とにかくＰさんの机の下から出てきてください。千秋さんまで住み始めたらＰさんの机の下が更にカオスになってしまいます
千秋,うー……
智絵里,千秋さん。どうしてそんなに自信、ないんですか？
千秋,だって……塩と砂糖よ？そんなベタ過ぎるミスを最後に犯したのよ？私
智絵里,ですけど、Ｐさんはちゃんと食べてくれたじゃないですか
千秋,明らかに無理してるのが見え見えだったし……
智絵里,それでも、Ｐさんは食べてくれたんですよ。千秋さんの心が篭ってるって、知ってましたから
千秋,……
智絵里,それだけ、千秋さんはＰさんに大事に思われてますよ
千秋,そう……かしら……
智絵里,はい。きっとです
千秋,……でもでもでも……
智絵里,もう、いつもの自信満々な千秋さんはどこに行ったんですか
千秋,私だって女の子なのよ？……それに、こんな姿、智絵里と智香にしか見せられな―――
Ｐ,おっと千秋。こんな所にいたのか。探したぞ
千秋,何か私に用かしら
智絵里,切り替え早いですね……
Ｐ,いや、智香を見なかったかと思って
千秋,っ……と、智香なら女子寮の自室にいたわよ。もしかしてチョコのお返し？
Ｐ,ああ。智香は結構凝ったチョコを作ってくれたからさ。俺も頑張って智香に似合いそうなの、探してみたんだ
千秋,ふ、ふーん……そうなの
智絵里,く、崩れてきてますよ千秋さん！
千秋,ならさっさと行って来たらどう？入れ違いになったら二度手間でしょう？
Ｐ,そうだな。そんじゃ渡してくるよ。ありがとな
千秋,……。……智香にはちゃんと渡すんだ智香にはちゃんと渡すんだ智香にはちゃんと渡すんだ
智絵里,次！次は千秋さんですから！
千秋,もう私のチョコなんて、Ｐさんの中ではなかった事にされてるんじゃないかしら
智絵里,そんな事あるわけないです！！
千秋,どうしてそんな事言えるのよ
智絵里,デスクワーク中のＰさん、見た事ありますか？
千秋,いいえ……？
