双葉杏,……うわ、降ってきたよ。めんどいなぁ
杏,レッスンは午前だけだったから早く帰ればよかった……。えっと、天気予報は……、ん、夕方くらいに上がるっぽいね。それまで待ってよっと。あんまり騒がしいアイドルが来ないといいけど。うわ、誰だ？
嬉しい鷺沢文香,こんにちは……、杏さんだけですか……？
杏,あ、文香なら……、ん？？？
嬉しい文香,どうかしましたか……？
杏,え？あ、いや、なんでも……
嬉しい文香,よもや、休息の時を邪魔してしまったということでは……
杏,いやいや、そんなことないけど……
嬉しい文香,それならばよいのですが……
杏,……表情は、いつもの文香だけど
嬉しい文香,？あの……、私の顔に、何か……？
杏,試してみるか……。文香、なんかいいことあったの？
驚く文香,……っ！？
杏,変わった！？
驚く文香,も、もしや表情に出ていたのでしょうか……？お恥ずかしい限りです……
杏,いや、表情というか……、勘？というか……
嬉しい文香,先ほど、贔屓の小説家の方のサイン会に行ってきたのです
杏,なるほどね～戻った……。驚きが消えたってことか……？
反省する文香,しかし……、他人の目に見える程に浮かれていたとは、反省しなくてはなりませんね……
杏,別にいいと思うけどね？ちょっとカワイイな
決意する文香,少し、兵藤さんにポーカーフェイスというものを教わりに行ってきます……
杏,方向性がおかしくない！？
去る文香,では、私は失礼します……
杏,じゃーねーそこもかよ。……。……いや、文香だけ特別って可能性もあるし。……うん、次に来る人はきっと普通！そうであってくれ！
ずぶ濡れ日野茜,ボンバー！！！こんにちは！杏ちゃん！！！
杏,あああああ！！！！もう！！！！
ずぶ濡れ茜,ど、どうかしましたかっ！？そんな大きな声出して！！！
杏,そもそもずぶ濡れなんて見ればわかるって！！！ほら！タオル！
ずぶ濡れ茜,ありがとうございます！！！いやー、ランニングしてたら急に降られてしまいました！
杏,なんで雨宿りしないのさ……
20％乾いた茜,ランニング中に立ち止まるなんてできません！
杏,ん！？
40％乾いた茜,でもこれは流石にシャワーに行った方がいいですねっ！！！
杏,待って何そのペース
60％乾いた茜,ペース？？？ランニングのお話でしょうか！？
杏,何？自然発熱で？ドライヤーいらずなの？
80％乾いた茜,ドライヤーですか！？使ったことないですね！！！
杏,そんな人間いるのか……
80％乾いた茜,みんながドライヤーを勧めてくれるのですが、私には不要ですね！！！
杏,今どき小学生でも使ってると思うけど
80％乾いた茜,そういうものなんでしょうか……！？
杏,……
80％乾いた茜,？杏ちゃん、どうかしたんですかっ！？
杏,早く100％になれよ！！！Windowsアップデートかよ！！！！！
94％乾いた茜,う、うぃんどうず？？？私、ぱそこんはからっきしでして……！！！
杏,刻むな！！！
100％乾いた茜,？？？
杏,あ、ようやくなった……
乾いた茜,杏ちゃん、今日は何を言ってるのかよくわかりません……
杏,よくわかんないのは杏の方なんだよ……
乾茜,？
杏,略すな！！！。はぁ～……、めんどくさいな……。誰も来なければ助かるんだけど、そんなこと言ってると……。やっぱり……
とにかく明るい十時愛梨,こんにちは～
杏,アウトアウトアウト！！！
とにかく明るい十時,？？？よくわからないですけど、この部屋、暑くな……
杏,会話の初手でぶっこんでこないでよ！！！
とにかく明るい十時,あ、大丈夫ですよ～、安心してくださいっ！この下はちゃんと……
杏,わざとだよね！？そのワードチョイス！
とにかく明るい十時,芸能界って、一芸だけで生き残れるほど甘い場所じゃないと思うんです
杏,誰の目線で話してるの！？
とにかく明るいけど10分後からレッスンなのを忘れている十時,ちょっと休憩……
杏,レッスン行け！！！！！。ってかだんだん細かくなってない……？。最初は"嬉しい"だけだったのに……
難事件を抱える安斎都,こんにちは！杏さん、ちょっとお聞きしたいことが！
杏,うわぁ……、もう……
難事件を抱える都,そ、そんな面倒そうな顔をしないでくださいっ
杏,だってさぁ……。まあいいや、なんか事件……？
難事件を抱える都,さすが杏さん！話が早い
杏,手短にね
難事件を抱える都,はいっ！実はみちるさんからの依頼なんですが……
杏,依頼人の時点でもう内容が想像できるよ……
難事件を説明する都,簡単に話しますと、まずみちるさんは25個のパンを机に置いて、食べながら読書をしていたらしいんです
杏,"まず"の時点で常人の理解力を軽く超えてくるよね
難事件を説明する都,ところが、みちるさんによると24回しか食べてないのにパンがなくなったらしいんです！
杏,知らないよ……、数え間違いでしょ？
難事件を説明する都,いいえ、確かに24回しか嚥下していないと
杏,なんで喉を通った回数でカウントしてるんだよ
"嚥下"という言葉の意味がよくわかっていない都,まったくですね！
杏,調べてから来てよもう！！！
杏を頼る都,なにかわかることはないでしょうか……？
杏,そんなこと言われても……
杏ならなんとかしてくれると信じる都,やはり難しいでしょうか……
杏,そんなに期待しないでよ……！
これ以上は杏に迷惑をかけられないと思う都,……それでは、私は捜査を続けるので、なにかわかりましたらご一報を！
