白菊ほたる,ひっ
Ｐ,お前、今回の仕事、また失敗したらしいなぁ？
ほたる,す、すみません……
Ｐ,謝るだけなら、俺が頭下げれば済むんだよ。けどな、相手さんが納得してないから、俺はこうして、聞いてるわけだ
ほたる,はい……すみません
Ｐ,謝るな。謝る前に、失敗した理由を話せ
ほたる,撮影現場で、機材にトラブルがあってらしくて……それが、私のせいだと
Ｐ,そうか。お前がなにかしたのか
ほたる,私の、不幸のせいで
Ｐ,お前が、なにかを、したのか聞いてる
ほたる,……近くにいただけです
Ｐ,ならいい。……嫌なことを、言われたりしなかったか
ほたる,それは、特に
Ｐ,本当だな？
ほたる,は、はい
Ｐ,行っていいぞ。今日は帰れ
ほたる,すみません……お疲れ様でした
Ｐ,ああ、お疲れ。もしもし、今日の機材トラブルの件なんですが。ええ、うちの白菊は、近くにいただけです。はい、確かに、あいつがいるとトラブルが起こりますが。いや、決してそんな奴では……はい、お願いします。それでは。――くそ、一回り二回りも違う子供を、根拠もなく疑いやがって！。白菊、今日はレッスンだ。きっちりやれよ
ほたる,はい。……その、前のお仕事のことは
Ｐ,あれなら、問題ない。誤解も解けた
ほたる,すみません。私の不幸のせいで、プロデューサーさんに、余計な手間を……
Ｐ,白菊！
ほたる,は、はい！
Ｐ,そんなことを、お前が気にする必要はない。さっさとレッスンいけ
ほたる,はい……すいません
Ｐ,……怪我を、しないようにな
ほたる,え、あ、はい。気を付けますね
Ｐ,俺が、しっかりしないと……。疫病神なんて、自称するような子供が、いていいはずがないんだ。周りのことは、俺が見ていればいいんだ。あいつは、自分のことを、一生懸命にすればいい
ほたる,あの、大丈夫ですか。事務所の経営が、悪化してたり
Ｐ,なんでそんなことを、お前が気にするんだ？
ほたる,私が、失敗ばかりするから……もしかしたら、影響があるかも、と思いまして
Ｐ,白菊！
ほたる,な、なんですか！
Ｐ,自意識過剰だ。お前の失敗ぐらいで、事務所の経営は傾かない
ほたる,けど、最近はお仕事も減ってますし……
Ｐ,俺の仕事ぶりに、文句を言ってるのか
ほたる,す、すみません、そうわけじゃ！
Ｐ,ほら、これで文句ないだろ
ほたる,え、これって……
Ｐ,お前の、単独ライブの資料だ。開催は１ヶ月後……レッスンを怠るなよ
ほたる,は、はい。頑張ります。私、頑張りますから！
Ｐ,頑張るのは当たり前だ。さっさとレッスンに行け
ほたる,行ってきます……プロデューサーさん！
Ｐ,……ああ、行ってこい。俺のことより、白菊は。そんな！あいつはあんなに頑張って。……結果を出せば、いいんですか。やってみせます。必ず……あいつを、これで終わりになんてさせません。白菊、そこはもっと素早く動け！そんなんじゃ、曲に合わせれないぞ
ほたる,すみません！
Ｐ,謝る前に、体を動かせ！
ほたる,は、はい……
Ｐ,――そうじゃない。雑にするな！
ほたる,はい！。ご指導、ありがとうございました
Ｐ,ああ、明日はもっと厳しいからな
ほたる,はい……その、気合が入ってますね
Ｐ,当たり前だろ。初めての単独ライブだぞ
ほたる,そう、ですね。私も楽しみです
Ｐ,なんだ、言いたいことがあるなら、はっきり言え
ほたる,え、いや、そんなことは……
Ｐ,白菊！俺はそういう、うじうじした態度が、大嫌いだ
ほたる,すみません……その、ライブが心配なんです
Ｐ,また不幸か
ほたる,そうです
Ｐ,何度も言うが、お前はそんな心配をしなくていい。トラブルが起きても、俺がなんとかする
ほたる,……すみません。プロデューサーさんには、ご迷惑ばかり
Ｐ,そういうのが、必要ないって言ってるんだ！
ほたる,ひっ、すみません！
Ｐ,謝るな！
ほたる,はい……！
Ｐ,絶対に、成功する。白菊は、それに値する、努力をしたんだ。不幸がなんだ。そんなものは、全部偶然だ。あいつの将来を、運なんかで、曇らせてたまるか！
ほたる,す、すごいです、プロデューサーさん。衣装が無事届いてます！
Ｐ,当たり前だろ
ほたる,チケット販売の、不備もありませんでした
Ｐ,当然だ
ほたる,会場のダブルブッキングも
Ｐ,白菊！
ほたる,わ、わ！
Ｐ,喜ぶのは分かるが、落ち着け。浮ついていると、本番で足元が見えなくなる
ほたる,はい……気を引き締めていきます！。私はいつも、みなさんを不幸にしてばかりです……。だから、せめて今日だけは、幸せになってください。そして、その幸せが……ずっと続くよう、私も頑張ります！
Ｐ,無事開演、か。……よかった、本当によかった。これなら、きっと、次の事務所も。え？。どういうことですか、トラブルって！。そ、そんな。しばらくって、時間も分からず、ファンは待ってくれませんよ！？。最後の、ライブなのに。白菊は、ずっと努力して、それが、こんなことで。俺のせい、なのか。俺がしっかり、できてなかったから
ほたる,すみません、すみません……私の、不幸で
Ｐ,白菊のじゃない
ほたる,でも、やっぱり
Ｐ,あれは、俺のせいなんだ。俺がもっとスタッフに、確認をとっておけばよかった
ほたる,そんな、プロデューサーさんは……頑張ってくれました！
Ｐ,……頑張ったのは、お前だ
ほたる,プロデューサーさん……
Ｐ,すみません。最後の、最後に。はい。ほ、本当ですか！。……俺が、また
ほたる,プロデューサーさん。社長から、聞きました……
Ｐ,そうか
ほたる,すみません、私が失敗したから、こんなことに
Ｐ,倒産はライブ前から決まってた。お前のせいじゃない
ほたる,そう、ですか……あの、一緒に移籍、してくれますよね？
Ｐ,一緒に？
ほたる,はい！プロデューサーさんは、怒鳴ったりして、ちょっと怖いけど……。それでも、私を見限らずに、ずっと支えてくれました。だから、これからも
Ｐ,……移籍先の事務所に、凄腕のプロデューサーがいるらしい
ほたる,え
Ｐ,その人なら、きっとお前をトップアイドルにしてくれる
