担任,はい、今回はここまで。気をつけて帰れよー
女子A,速水さん、もしよかったらこれから私達と喫茶店行かない？
女子B,美味しいケーキのお店見つけたの
奏,ごめんなさい、私は早く帰らないといけないから
女子B,そっか……
女子A,じゃあまた今度行こうね！
奏,ええ。それじゃ
女子B,またダメだったね……
女子A,うん、私たちもいこっか
フレデリカ,ねえねえ！。おーい
奏,なあに、フレちゃん
フレデリカ,おー、聞こえてた聞こえてた。フレちゃんの存在を忘れられちゃってるのかと思ったよー
奏,で、要件は？特になければこのまま帰ろうと思うんだけど
フレデリカ,そうそう、この後フレちゃんの友達と会う約束があるんだけどカナデちゃんも来てくれない？
奏,それは魔法少女のこと？
フレデリカ,うん、カナデちゃんにとってもいい話だと思うよ！
奏,じゃあ行こうかしら。帰っても暇だし
フレデリカ,おっけー！フレちゃんに続けー！
奏,ちょっと！フレちゃん！
女子B,ねえ、女子Aちゃん聞いた？
女子A,うん、何もないところに話しかけてたね……
女子B,速水さんっていわゆる不思議ちゃんなのかな……
女子A,どうだろ、でもそうだとしてもなんか似合うね…………
奏,ｸﾁｭﾝ!。風邪かしら……って、フレちゃーん！待って！
フレデリカ,とうちゃーく！
奏,ここは……大学？
フレデリカ,そうそう！ここのカフェテリアで待ってるんだって
奏,私、制服なんだけど大丈夫なのかしら……
フレデリカ,オープンキャンパス？的なあれだよ！
奏,やっぱり目立つじゃない……
フレデリカ,あ！シキちゃん！やっほー！
シキ,やっほーフレちゃん！そっちが魔法少女？
フレデリカ,そうだよー！
奏,フレちゃんと同じ猫……ピンクバイオレットの毛並みね
シキ,あたしはシキ。もう1人魔法少女いるんだけど今は授業中だからいないよ
奏,私は速水奏。よろしく
シキ,よろしくね、で、女王様のことだけど
フレデリカ,結局どうなったの？
シキ,やっぱり体調はなかなか治らない見たい。だからアリスちゃんに王位を譲るんだって
フレデリカ,へー……アリスちゃんはまだ子供でしょ？大丈夫？
シキ,んー、確かにそうだけどそうは言ってられないというか。王女様いないのが1番やばいしね。アリスちゃんもやる気満々だし
フレデリカ,アリスちゃんも女王様が心配なはずなのに必死に頑張ってるんだね……
シキ,いや、アリスちゃんは王女様がもう長くないことは知らないよ？一人前になったと認められたから王女になると思ってるみたい
奏,側から聞いてただけだけど、大丈夫なのそれ？まだ子供なんでしょ？
フレデリカ,子供だからこそこういう手段をとったのかも。どのみち王位継承権をもつのはアリスちゃんしかいないし
奏,魔法王国もなかなか世知辛いのね……魔法なのに
