※,女子高生の無駄づかい
ヤマイ,なんだその名字は……どういうことだよ
マジメ,珍しいですよね、１は２の前の数字だからにのまえなんですよ
ヤマイ,そういうことを言ってるんじゃない
マジメ,？
ヤマイ,お前……一って書いてにのまえって……。かっこよすぎかよ……
マジメ,寒いんですか？。確かにこの部屋、空調がかなり効いてますね……。私の上着でよければどうぞ
ヤマイ,っ！？//。ち、違うよ！そういうことじゃないし！
マジメ,え
ヤマイ,クソっ、何だよにのまえって……ずるいわー……
マジメ,ずるい！？
ヤマイ,シンプルで珍しくて読み方が洒落てて、最高かよ……！
マジメ,は、はぁ……そうですかね？
ヤマイ,僕なんて山本だぞ……山の本でやまもとだぞ……。いや、まあ所詮下界での仮初めの名前に過ぎないわけだが……それでもお前……山本ってお前……
マジメ,嫌なんですか？
ヤマイ,だって山のふもとに住んでるから山本でいっかーって5分くらいで安直に決めた感MAXだろうが！雑かよ僕の仮のご先祖！
マジメ,仮のご先祖って単語初めて聞きました
ヤマイ,もっと考え込めよ！僕ならどんなゲームでもキャラの名前は1時間くらい考えて付けるぞ！
マジメ,もっと別のことに頭使った方がいいのでは……
ヤマイ,でもお前5分だぞ5分！自分の名字に5分！信じられるか！？
マジメ,いや5分は山本さんの想像ですよね？。いいじゃないですか、山本さんって名前。私はいい名字だと思いますよ
ヤマイ,気休めを言うな……同情されると余計につらい
マジメ,気休めなんかじゃ……
ヤマイ,じゃあお前、言ってみろよ
マジメ,え？
ヤマイ,山本って名字の良いところ……十個言ってみろよ！
マジメ,じ、十個！？。そんなに嫌なんですか？山本さんって名字
ヤマイ,だって地味だし……
マジメ,全国の山本さんが怒りますよ？およそ100万人くらいいらっしゃるのに
ヤマト,山本なんて地味ネーム、100万人集まろうが僕の敵じゃないな
マジメ,あなたも山本さんですけどね
ヤマイ,くうぅ……せめて渡辺とかが良かった……欲をいえば天上院てんじょういん
マジメ,渡辺さんにも失礼ですよそれ
ヤマイ,どうにかならないのか賢者マジメよ
マジメ,別に賢者じゃないですけど……。あ、じゃあせめて下の名前でお呼びしましょうか、美波さん
ヤマイ,みっ……！//。い、いいよ山本で！急に気安く呼ぶな！//
マジメ,ええっなんで怒るんですか……
ヤマイ,というかやっぱり一(にのまえ)がいいわ……くれよ
マジメ,いや上げられませんよ……制度的に譲渡できるものじゃありませんし
ヤマイ,じょーと？
マジメ,あっすみません、上げたり貰ったりできるルールはないんです
ヤマイ,なるほど……闘って奪い取る他ないということか
マジメ,いえ全然違います
ヤマイ,マジメ……出来ればお前とは闘いたくなかったが仕方ない。覚悟しろ！
マジメ,うわっ！急に?みかからないでくださいよ！
ヤマイ,よーこーせー
マジメ,だから無理ですってば……というか
ヤマイ,んぎぎぎ……
マジメ,あのー、こんなことしても意味ないですよ？
ヤマイ,ふー……ふー……。お、おいマジメ……降参するなら今のうちだぞ？。ぼ、僕の中のドラゴニアの血が覚醒すれば……もう一つの人格が目覚めてしまうからな……奴は凶悪すぎて僕でも制御しきれない……
マジメ,は、はぁ……。？あ、山本さん脇のところにほこりが付いてますよ
ヤマイ,ふ、そんな初歩的なひっかけに惑わされる僕じゃないぞ！
マジメ,本当ですって、今取りますね
ヤマイ,はぅっ！//
マジメ,あ、取れました
ヤマイ,～～！！//。き、貴様卑怯だぞ！
マジメ,えっ何がですか？
ヤマイ,反則だ！反則負けだ！
マジメ,何のルール違反ですか……
ヤマイ,罰としてあれだ……名字没収だ
マジメ,ですからできないんですってば。というか不便なことも多いんですよ？この名字って。初対面だとまず読み間違えられますし、一ってただの横線に見えるから持ち物に名前書いてても間違われて持っていかれることがたまにありますし。山本さんが言うほど良いものではないかと
ヤマイ,お、お前……そんな恵まれた名字に対して何て言い草だ。もっと自分の名字を愛してやれよ！
マジメ,そのまま返しますよ山本さん。まあ良いところを一つ挙げるとすれば、テストの時に速く名前を書けるということですかね
ヤマイ,そうだろうそうだろう。僕なんて名字が山本のせいで3つ赤点を取ってしまったからな、今回のテスト
マジメ,いや名字のせいでは……3つも！？。数A4点、数Ⅰ8点、英文法6点……これは酷い。ん？というかこのテスト、裏に落書きしまくってるじゃないですか！名字の時間差丸っきり無関係じゃないですか！
ヤマイ,落書きじゃない、必殺技の名前を考えてたんだ
マジメ,休み時間にやりましょうよ……
ヤマイ,お前もワセダと同じことを言うのだな……
マジメ,誰だってそう言いますよ……。というか追試の勉強はいいんですか？
ヤマイ,問題ない、今宵から月が3度死んだ日……それが闘いの刻(とき)だ
マジメ,3日後！？問題大ありですよ！。追試で落ちたらどうなるんです？
ヤマイ,時空の歪みに囚われる……灼熱に焦がされながらも闘いの日が続くことになるだろう
マジメ,……。夏休み中に補習、ですか？
ヤマイ,俗っぽく言うとそうなる
マジメ,じゃあこんなことしてる時間は無いですよ！勉強しましょう！私も手伝うので！
ヤマイ,そ、そうか？
マジメ,ええ！まずは何から始めましょう？
ヤマイ,そうだな……じゃあまずはマジメ、お前の名字をよこせ
マジメ,時間無いって言いましたよね？
ヤマイ,ああ、だから速やかによこせ
マジメ,速やかによこせませんよ
ヤマイ,何故だ！
マジメ,だから制度的に譲渡できるものでは……って堂々巡りですかこれ？。分かりましたよ、名字問題が解決しない限り勉強も手に付かないようですし、真剣に考えましょう
ヤマイ,うむ
マジメ,お譲りすることはできませんが名字を変える方法はなくはないかと思います
ヤマイ,本当か！？
マジメ,……なるほど、一応家庭裁判所の許可が出れば名字の変更はできるみたいですね。ただしその名字であることで生活に支障が出るくらいの深刻な理由がないと認められないようです。大楢おおなら。大工だいく。そのような理由での変更許可事例はあるようです
ヤマイ,山本は？
マジメ,まあ無理じゃないかと
ヤマイ,ぐぬぬ
マジメ,あとは一にのまえ。まあ一番現実的なのは結婚でしょうね
ヤマイ,け、結婚！？
マジメ,そりゃあ名字が変わる一番よくあるパターンですからね
