モバP,以下P表記
千川ちひろ,お疲れ様です、プロデューサーさん
P,お疲れ様です。いやー、デスクワークってホント肩こりますよね……
ちひろ,そうですねぇ。家に帰ってからのストレッチは欠かせませんよ
P,あー、いいですねそれ。俺もやろうかな…
ちひろ,いいやり方教えますよー？
P,おー、ありがとうございます！
ちひろ,ふふっ、事務仕事は私の方が歴長いですから
P,そうですよね。このプロダクションが出来てからずっとですもんね……いつもありがとうございます
ちひろ,いえいえ、いつものことですから
P,いつかしっかりとしたお礼をさせてもらいますね
ちひろ,楽しみにしてます♪でも、プロデューサーさんが事務なんてやっててよかったんですか？みんなの撮影とか、ついて行かなくてよかったんですか？
P,行きたいのはやまやまなんですが、うちも大所帯になってきましたからね、一つ一つの現場には行けなくなってきましたから……そうなると、誰のところに行こうかって悩んじゃいまして
ちひろ,あー、確かに……前に、ジュニアの子たちが言ってましたね。今日はプロデューサーが来てくれた来てくれないって
P,そうなんですよ。先週、ケンカ…とまでは言いませんがけっこうな言い争いになったことがありまして……そしたら大人組の方たちが、協力してくれることになったんです
ちひろ,なるほど。道理で今日は真奈美さん達が車で出勤してたんですね
P,はい。付き添いくらい、私たちに任せてもらおうって言ってくれて。なので今日は皆さんに甘えることにしたんですよ。だから今日は溜まってた書類をいっぺんにやってしまおう思ってます
ちひろ,おー、助かります。プロデューサーさんの方が決算しやすいのもありますからねー
P,でももう挫けそうです……
ちひろ,ええっ！？あとちょっとじゃないですか！しっかりしてくださいよー
P,いやだって、こう…同じような書類とずっとにらめっこですし、ディスプレイ見続けて目も疲れてきたし…
ちひろ,さっきまでの私を労ってくれたプロデューサーさんはどこ行ってしまったんですか……
P,……あー、癒しが欲しい
ちひろ,はぁ
P,いや待てよ……そっか
ちひろ,はい？
P,そうですよ、癒しですよ癒し！癒しがあれば頑張れる！
ちひろ,癒しですか…
P,そうです癒しです。今の俺には、集中してキリッとしていながらも、すんごく可愛いちひろさんの顔をずっと見てるくらいしか癒しがないんですよ！
ちひろ,ええっ！？///
P,あーこんな時に、アイドルの誰かが癒しをくれたらなぁ……
ちひろ,……私は、プロデューサーさんがいてくれるだけで頑張れるんですけど、ね
P,なにかいいました？
ちひろ,いいえっ、なにも！
P,はぁ、なにもないならいいんですけど……でも、考えてみるとおもしろいな
ちひろ,おもしろい？
P,はい。そばに置いておきたいアイドルっていうのを考えてみましてね
ちひろ,そばに置いておきたいアイドル？
P,例えば、この子がそばにいてくれたら癒されるなぁ、とかこの子がそばにいてくれたら仕事が捗る！とか
ちひろ,なるほど
P,よし、軽く考えてみましょうかね！
ちひろ,ええー、仕事してくださいよ。あとちょっとなんですからー
P,休憩ですよ休憩！それに、うまく言えば今度のイベントのヒントになるかもしれないし！
ちひろ,まぁ……癒し系アイドルユニットとかは結構評判になりそうではありますね
P,ですよね！
ちひろ,はぁ。もうっ、少しだけですからねー
P,はーい。よーし、できた！
ちひろ,じっくり考えましたね…
P,発表します！
ちひろ,発表型なんですか！？
P,いやー、せっかく考えたんだから聞いてほしくて
ちひろ,子供ですか
P,まぁまぁ、ちひろさんもちょっと休憩がてら、ね？
ちひろ,……はぁ。まぁ長くなければ
