ガヴリール,おいクソ悪魔、さっきの試験前私のシャーペンの芯全部抜き取ったのお前だろ
サターニャ,まあね
ヴィーネ,えぇ…
ガヴ,危うく私は0点になるとこだった。この絶望がわかるか？
ヴィーネ,どうやって解答したの？
ガヴ,手上げてそのこと伝えたらグラサンが芯3本くれた。それでもギリギリだったんだけどね。このクソ悪魔のせいで
サターニャ,困ったのはそれだけなの？
ガヴ,は？
サターニャ,間違えた解答はどうやって消したのかしら？
ガヴ,あ、そういえば消しゴムもなくって……あっ
サターニャ,ざまあないわね
ヴィーネ,最近手段選ばなくなってきたわね
ガヴ,……。おい
サターニャ,！！
ガヴ,覚悟はできてんだろうな？
サターニャ,な、なによ、私とやろうっての？
ガヴ,ちょうど体が鈍ってたんでサンドバッグが必要だったんだ。ちょっと顔貸せよ
ヴィーネ,喧嘩するなら外でやってよね、私お昼ごはん買ってくるから
サターニャ,ふんっ、アンタの貧弱パンチなんか完全にガードしてみせるんだから
ガヴ,ほぅ、じゃあいくぞ
サターニャ,どんときなさい！。アンタの動作なんてお見通しなのよ！
ガヴ,…
サターニャ,！？。……神速通！？卑怯よガヴリール！。出てきなさいよ！
ガヴ,おう
サターニャ,正面！？。ぐごふぅっ！？みぞおち……！
ガヴ,勝負あったな
サターニャ,ふうううぅっ……おぇっ……うっ……はぁ…はぁ……
ガヴ,おいクソ悪魔、今度やったら背骨いくからな
サターニャ,ふーっ、ふぅ…っ。吐くとこだった…っ。ガヴリールに蹴られた感覚がまだ残ってる…。……。ぐやぢぃ…。自分からガヴリールに挑んで手も足も出ない私、すっごく惨めよね…。……。………ぅ。…………ぁっ……。……くつじょく……屈辱的すぎるわ…………。……ぁぁ……ガヴリール。お腹蹴られて……なのに……っ…こんなことして。…こんなの……知られたら……軽蔑されちゃう……。ダメなのに……ダメなのに………………うっ。…………ふっ……ふぅっ…………うっ…………。…………ふぅ。……またやっちゃった
ガヴ,…おいクソ悪魔、私のホットドッグどこやった
サターニャ,知らないわよそんなの
ガヴ,あっお前それ私の貴重な…！。まだ懲りないみたいだな…？
サターニャ,……！！。き、今日は負けないんだから！
ヴィーネ,また始まった…
ラフィエル,健気ですねぇ♪
ヴィーネ,あ、ラフィいたんだ。何かいいことでもあったの……？
ラフィ,うふふ♪
