283P,以下P表記
P,霧子は朝早いからな。事務所前で待たないように早めにカギ開けてあげないと
幽谷霧子,あ・・・プロデューサーさん・・・おはようございます・・・
P,おはよう、霧子
幽谷霧子,17
霧子,プロデューサーさん、今日もお早いんですね・・・。その、ちゃんと、お休みできていますか・・・？眠れない時は―。も、もしかして・・・帰らないで寝ずにお仕事を・・・！？。だ、ダメですよ・・・！ちゃんとお休みしないと、体調を崩して・・・！
P,いやいや違うって。大丈夫、今来たばっかりだよ。俺、朝の方が仕事はかどる方なんだ
霧子,そう・・・なんですか・・・？。だったら・・・よかったです・・・
P,霧子は心配性だなぁ
霧子,あっ・・・ふふ・・・♪
P,霧子こそ、今日も早いじゃないか。ちゃんと休むのも大事だからな。最近は特に頑張っているだろう？
霧子,！それは・・・はい・・・大丈夫です・・・。寝坊しちゃわないように、寝るのも早くしているので・・・
P,それならよかった。うんうん、偉いぞ霧子
霧子,プロデューサーさん・・・私のこと・・・ちゃんと見ていてくれてるんだ・・・♪。ふふ・・・♪。その・・・事務所のお掃除とか、みなさんが来る前にしたいなって思って・・・
P,それで早く来てくれたのか
霧子,誰かがソファでお昼寝して・・・ほこりが原因で気管支喘息になったりしたら・・・た、大変です・・・！
P,そ、それは心配しすぎと思うが・・・まあ、甜花とかはづきさんはよく事務所で寝てるし、清潔を保つのは大事だよな。霧子は優しいな
霧子,そ、そんなことは・・・！私、これくらいしかできないから・・・
P,これくらい、じゃないよ。霧子の、人を思いやって行動できるところはすごいことだ。だから俺も、みんなも霧子のことが好きなんだ
霧子,はぅ・・・！。あ・・・ところで・・・はづきさんは、まだ来てないんでしょうか・・・？
P,はづきさん？俺が事務所のカギ開けて、すぐに霧子が来たからまだだけど
霧子,それなら・・よかったです・・・
P,？用事があるとかじゃなくて？
霧子,その・・・はづきさん、お仕事頑張りすぎて・・・その場で眠ってしまうことがあるので・・・。も、もし事務所の床で朝まで眠っていたらどうしようって思ったのも・・・早く来た理由で・・・
P,ああ・・・俺が事務所に来た時も床で寝てたんだっけなぁ・・・
霧子,も、もし・・・冬場で同じようなことがあったら・・・。よ、翌朝冷たくなったはづきさんがそこに、なんて・・・！
P,はは、大丈夫だって。はづきさんはしっかりしてるし、俺もちゃんと帰るか気をつけて見ておくから。霧子は心配性だなぁ。そうだ、お茶淹れてくるよ
霧子,あ・・・それなら・・・私が・・・
P,いいからいいから
霧子,あ・・・ふふ・・・ありがとうございます・・・♪。・・・・・・ちらっ
P,はづきさんが寝っ転がってないかソファの裏確認する霧子かわいい。俺のカップは・・・あった。霧子のは・・・どれだっけ？。おっと・・・！なんだ？こんなところをに柔らかいもの、が・・・
七草はづき,すやぁ・・・・
P,ぎゃー！？はづきさんー！？
霧子,プ、プロデューサーさん・・・！どうしました・・・！？
はづき,ふぁ・・・なんですか～？人がせっかく気持ちよく寝ていたのに～・・・
P,は、はづきさん！どうしてまたこんなところで寝ているんですか！？
はづき,ふえ・・・？え～っと・・・あともうちょっとお仕事しようとして・・・コーヒーを淹れようとして・・・ああ、そこで眠気が限界に来ちゃったんでした～
P,あ、危なすぎます・・・！いつか凍死しますよ！？
はづき,そんなまさか～プロデューサーさんは心配性ですね～
P,はづきさん。今日の仕事は俺だけで十分な量ですから、まだ休んでてください
はづき,いえいえそんな～
P,霧子、あれ頼む
霧子,は、はい・・・！。ねーむれー・・・♪ねーむれー・・・♪
はづき,も～子供じゃないんですからそんなので寝るわけ―すやぁ・・・
P,よし。ソファに寝かしておこう。ありがとうな霧子
霧子,いえ・・・あ、プロデューサーさんのカップ・・・
P,ん？あ、割れちゃったな・・・切るといけないからそのままにしていてくれ。燃えないゴミの日、いつだったけな・・・
霧子,・・・
P,はづきさんはあれでよし、と・・・あとは割れたカップを・・・あ、霧子
霧子,あ・・・プロデューサーさん・・・
P,霧子、切ったら危ない。そうじは俺がやるから
霧子,いえ・・・大丈夫です・・・細かいかけらはそんなにないので・・・。よし・・・これで全部・・・♪。あ、あの・・・プロデューサーさん・・・このカップ・・・。私に・・・預けてもらえませんか・・・？
P,？どうするんだ？
霧子,大丈夫だよ・・・カップさん・・・。まずは・・・かけらを、気をつけて洗って・・・。漆を塗って・・・接着・・・。はみ出た漆を削って・・・。金粉を塗ったら・・・できた・・・♪
P,上手いもんだ・・・。すごいな・・・陶器が治せるなんて・・・
霧子,えっと・・・金接ぎって言うそうなんです・・・。いつか・・・こんなことがあるんじゃって・・・
P,用意周到が過ぎる・・・
霧子,や、やっぱり・・・ご迷惑ですよね・・・すみません・・・！
P,いやそんなことはない、すごく嬉しいよ。ありがとう霧子。このカップ、特別な思い入れがあったわけじゃないんだ。事務所に置く用としてたまたま目についた奴を買ってさ。でも・・・大切にするよ。ずっと。簡単に捨てようとしてごめんな？これからも、よろしく
霧子,・・・よかったね・・・カップさん・・・♪
P,霧子は本当に優しいなぁ
霧子,そ、そんな・・・ふふ・・・♪
P,ゴホンっ、うちがよしよししちゃるけん
霧子,あ・・・恋鐘ちゃんの真似・・・上手です・・・
P,鳩さんだってできるぞ。ぽぉっぽるぅ～
霧子,わぁー・・・
P,幽谷霧子が包帯を巻いている理由はケガではない。これはおまじない。自分の悪いところ、弱いところが治るようにって。こんなにいい子なのに自分に自信がなくて心配性なんだ。この子は優しさと思いやりを教えてくれる。俺もならなきゃな、この子にふさわしいプロデューサーに・・・。これからもよろしくな、霧子。・・・しかし見事だよな。割れた食器が綺麗に治って傷跡も模様になってって・・・。こういうの、いくらくらいかかるもんなんだ・・・？。・・・。・・・はっ！？1万円！？
霧子,あ、あの・・・プ、プロデューサーさん・・・！。わ、私のお給料・・・高すぎないでしょうか・・・！？な、なにかの間違いじゃ・・・
