①晴ちんに対しての非合法的な行為,例・ラ○ホに連れてく
Ｐ,ついに来た……今日は7月17日。結城晴の誕生日でございます。晴の誕生日を盛大に祝うことは、私にとって最大の願いでございました。今ここに、今日という日を迎え悲願は達成されました
晴,ったく……一々大げさだなぁ。たかだか誕生日が来たぐらいで……。ま、祝ってくれてサンキューな
Ｐ,今日は誕生日ということで、特別に仕事はなし。一緒に遊びに行こうじゃないか
晴,そんな仕事を休ませることまでしなくてもよかったのに
Ｐ,まぁ、俺なりの祝い方だと思ってくれ。さぁ、早速出かけようじゃありませんか！
晴,出かけるって……どこに連れてってくれるんだ？
Ｐ,それは着いてからのお楽しみだよ。ただ、楽しい所なのは保障するぜ
晴,楽しい所？
Ｐ,ああ。楽しい楽しい所………ね。うっーふふふふぁ～はははははははははッッｗｗｗｗｗｗ。ぐぼほぉぁ！
晴,！？
早苗,そうは問屋が―――
ちひろ,下しませんよ♪
Ｐ,なっ……ちひろさんに……早苗さんだとぉ！？
早苗,セイヤァ！！
Ｐ,クソマァァッ！！
晴,ちょ！？な、何やってんだよ二人とも！！いきなりＰをぶっ飛ばすなんて！！
ちひろ,晴ちゃん、ここは危険よ！急いで避難しなきゃ！！
晴,はぁ！？
早苗,このままだとせっかくの誕生日が台無しになっちゃうわ。さぁ、私達と一緒に行くわよ
晴,えっ、いやちょ―――
Ｐ,ちょっと待てや―――ッッッ！！！！
早苗,ちぃっ！まだ息があったか！
Ｐ,何するんですか二人とも！！いきなり有無を言わせずに俺をシメてきて！！
早苗,けっ、白々しい
Ｐ,な、何なんですかその態度！？お、俺何か悪いことでもしましたか！？
ちひろ,………これからする気だったのでしょう？
Ｐ,な、何の事ですか？
ちひろ,とぼけないでくれます？こちとらいい加減うんざりしてるんですよ！。どうせまた、この後誕生日を祝うとか言いつつ、結局ラブ○に連れて行くんでしょ！？
Ｐ,ら、ラ○ホ……？
早苗,もういい加減カビの生えたオチだし、シメるこっちの身にもなって欲しいわね！
ちひろ,これを読んでる読者のみなさんだってもう飽き飽きしているはずですよ！
早苗,もうこんな誰得なオチはもうこりごりだわ！今すぐ晴ちゃんから離れるって言うのなら、命だけは助けてあげるわよ？
ちひろ,もうこぉ～んな最低なオチは必要ないッ！！この世から消し去ってしまえ―――ッ！！
Ｐ,……………。あ、あの……二人とも頭大丈夫ですか？
ちひろ,言うに事欠いて、私達をバカにする気なんですか………！
Ｐ,いやいやいやいや！どう見てもおかしいのはそちらでしょうが！！晴を○ブホにって……何考えているんですか！？。プロデューサーとして担当アイドルにそんなことするはずがないし！だいたい晴はまだ12歳ですよ！？そんなことするわけないでしょうが！！。それに読者？ＳＳ？一体何を言ってるんですか！？いい加減にしてくださいッ！！
