神崎蘭子,これより第三回円卓会議を執り行う！
晶葉,ああ、今回もよろしく頼む
蘭子,前回の会議にて偽りの衣を以って彼の者に贅を給う、というところまでは決したな？
晶葉,うむ、日出ずる処、その古き装いを以ってな。日常から非日常、その落差が生む価値観の崩壊を観測する・・・と言う意味合いも兼ねているがね
蘭子,此度はその先に至るための議論であるが・・・
晶葉,おや？その顔は何か妙案があるという感じだな
蘭子,さすがの慧眼、貴公にはお見通しか
晶葉,では聞かせてもらおうか
蘭子,玉座へと至る道を切り開くことこそが彼の者の本質にして本懐
晶葉,それは常々自身の口から言っていることだな。・・・ん？まさか・・・。・・・君の言葉を借りるなら、自らを生け贄に捧げる、と言うのか！？
蘭子,然り
晶葉,・・・それは私も考えなかったわけではないが・・・
蘭子,我らはすでに迷える幼子にあらず。初夜の宴よりも技巧を凝らした趣向が出来るであろう。我らの日毎に増す輝きを見せつけてこそ報いとなるのではないか？
晶葉,そうかもしれないな・・・段取りはどうするつもりだ？
蘭子,偽りの衣を脱ぎ捨て、我が真なる姿を披露する
晶葉,なるほど、二段構えと言うわけか。素晴らしい案だ！
向井拓海,なあ、早苗さん
片桐早苗,どうしたの？
拓海,アイツらの話の内容、わかるっすか？
早苗,ん、さっぱり
拓海,アタシもわかんねーんすけど、なんか偽りだとか生け贄だとかあんまり良い意味じゃない言葉が混じってるんすよね
早苗,あの子特有の大げさな表現なんじゃない？
拓海,だったらいいんすけど、こないだもあの二人が話してるのたまたま聞いちまって・・・。ダテンやら供物がどうのこうのとか
早苗,ダテンって堕天使とかの堕天？
拓海,だと思うんすけど、堕天ってつまり天使が悪魔になる、みたいな意味じゃないっすか
早苗,要は良い子が不良になる、って話をしてたのかしら？
拓海,そこまではなんとも言えないっすけど、もしかしたら・・・。不良デビューでもするつもりなのか、不良にカツアゲでもされてんのか、逆にアイツらがしてんのか、ちょっと気になっちまって
早苗,うふふ、あの子たちのこと心配してあげてるんだ
拓海,べ、別にそんなんじゃねーっすよ！。アタシはケンカはするけどカツアゲだとか人様の物をパクったりだとか、そういう筋の通らねーのが嫌いなだけで！
早苗,はいはい、そういうことにしときましょーか
晶葉,君がそうするなら、私はどうするかな・・・
蘭子,我と同じ道を歩むか？否、共に歩んではくれぬか？
晶葉,いや、しかし・・・そういうのは私のイメージには合わないだろう？
蘭子,なればこそ。常識を打ち破らねば革命は起きぬ。そして何より・・・。彼の者の顔が絶望に染まる様、見たくはないか？
晶葉,それは・・・是非とも見たいな！
拓海,っ！
早苗,！？。今の表現はちょーっと聞き捨てならないわね
拓海,何だかキナ臭くなってきちまった
