上記二作の続編ですが、,Pと肇は付き合ってる
P,……なあ、あい
東郷あい,どうした、P君
P,今何月何日だっけ
あい,九月の五日だね
P,そうか。……肇がちひろさんと泊り込みの仕事に出てから何日経ったっけ
あい,かれこれ三日目だね
P,そうか。…………ふうう
あい,……禁断症状かい？
P,まあ、間違っちゃいないかも……
あい,おや、ほんの冗談のつもりだったんだがね
P,もう三日声を聞けてないと思うとな……
あい,電話は繋がらないのかい？
P,電話した時に仕事中かも知れないし寝てるかも知れないし、迷惑かけるかも知れないだろ？
あい,うだうだしてるなりに考えてるんだね
P,これでもプロデューサーだからな
あい,ふふ、そうだね
P,一応メールでは会話してるがな。ほれ
あい,どれどれこれから夜景をバックに写真撮影のお仕事です。……写真も添付されているね
P,ああ、ちひろさんとツーショット及び渾身の照れ顔シングル横ピースか
あい,凄い破壊力だね、これは……
P,正直開いた瞬間逝きかけた
あい,まあ、確かにこれはなかなか……私が男だったら落ちていたかもな
P,だろ？写真眺めてたら返信するの遅くなってさ。南条、その変身じゃない。PaPの所行ってなさい
南条光,はーい
あい,しかし、メールが出来るのなら、メールで聞けば良かったんじゃないかい？
P,何を？
あい,本文に今電話しても大丈夫か？とでも書いてさ
P,……その発想は無かった。ちょっと今送ってみる
あい,…………おや、返信早いね
P,……ごめんなさい、今はちょっと出来ません……
あい,ああ……タイミングが悪かったね
P,…………おう……
あい,しかし、君と肇君は本当にお似合いだね
P,そ、そうか？俺なんかが肇と釣り合って……
あい,そうだよ。どうやら君は自分を過小評価する傾向があるようだ
P,と言われてもな……昔からそうなんだよ
あい,やれやれ……そんなんじゃあ彼女に相応しい男にはなれないよ
P,……ずいぶん俺に世話焼いてくれるんだな、あい
あい,そりゃあ、私もP君の事が好きだったからね
P,そうか。…………えっ？
あい,聞き取れなかったかな？私もP君の事が好きだった、と言ったんだよ
P,ああ、いや、聞き取れなかったわけじゃなくてな……それ、マジの話？
あい,ああ、マジの話だよ
P,……いつから？
あい,いつから……か。分からないね。惚れた腫れただのは、気付いたらそうなっているものだからね
P,ああ、まあそうか…………なんというか、申し訳ないな。せっかく寄せてくれた好意を
あい,気にしないでいいよ。肇君の背中を押したのは、他ならぬ私だからね
P,…………マジに？
あい,ああ。以前肇君が何か悩んでいたようなので、話を聞いてみたのさ
P,あいつがそんな事を……
あい,恐らくは、断られる事が怖かったのかもね。それで、自分を無理矢理納得させようとしたんだ。アイドルがプロデューサーを好きになるなんておかしいだから告白しても断られるのが当然。だったらこの異常な感情は自分の内にだけしまっておこう……とね
P,…………
あい,そして、第三者からおかしいと言ってもらう事で、自分の中でそれを確立させようとした
P,肇が……そんなに悩んでたなんて……
あい,彼女はどちらかといえば溜め込むタイプだ。気付かなくてもまあ無理は無いさ
P,……で、あいは何て答えたんだ？
あい,まず、一つ問うたよ。肇君自身はどうしたいのか。君の本音を聞きたい、とね。そうしたら、俯きながらも答えてくれたよ。まあ、なかなか煮え切らない様子だったがね。だから、ね。少しだけ背中を押してあげたのさ。後は君もご存知の通りさ
P,……なんというか、ありがとうな、あい
あい,なあに。君には私よりも肇君がお似合いだと、勝手に判断したまでだよ
P,それでも、礼がしたいからさ、今度飯でもおごらせてくれよ
あい,構わないけれど、私は意外と食べるから気をつけたほうがいいよ？
P,覚悟の上だよ、こういう職業上な
あい,ふふ、楽しみにしておくよ。……おや、携帯が鳴っているよ
P,ん、メールだな。どれどれ……。肇からだ。あと一時間程で事務所に着きますってよ
あい,そうか、なら肇君とちひろさんが帰ってきたら四人で食事にでも行こうか
P,お、いいな。まあ二人が何も食べてなきゃの話だが
あい,決まりだね。せっかくだからP君におごって貰おう。あのお礼で、ね
P,おい、それ今使うのかよ？
あい,使うタイミングを指定されていなかったからね
P,チクショウ。……あの二人が何か食べてきてますように。お願いします神様仏様鷹富士様……
あい,ふう、ここ一番で格好がつかないねえ彼は。まあ、そこがいいのかもしれないね……
