亀井塔一郎,４９
サースデー,虎ノ門44・高峰姫乃、Vウイング・亀井塔一郎社長とお泊りデート発覚
テロップ,亀井塔一郎４９
雑誌の本文,亀井社長は、ヒルズ系IT長者として成功した経営者だが、一方で彼は遊び人として有名な人物でもある
喪黒,…………
姫乃,あの夜の出来事は、本当に傑作だったよ！亀井のアソコ、フニャフニャなままだったんだから！
テロップ,高峰姫乃２０
アイドルA,えっ、亀井ってEDだったの！？女たらしで知られる亀井がEDって、あいつの面目、丸潰れでしょ！
姫乃,そうだよ。亀井の奴、どんなに頑張っても、アソコが立つことはなかったんだよ！
アイドルB,うわぁーー、ウケるぅーー！！亀井ってマジで情けない奴じゃん！！
アイドルC,亀井のモテモテ伝説の真相って、そういうことなんだろうねぇ！！
一同,ギャハハハハ！！！
亀井,大学病院まで行ってくれ
運転手,は、はい……
医者,亀井様。あなたの症状は、典型的なEDに当てはまるものです。つまり、勃起不全ですよ
亀井,前から、薄々分かってはいましたけど……。医者からそれを直接告げられるのは、精神的にこたえますね
朝美,私、そろそろ亀井社長と別れようと思っていますが……
テロップ,桜内朝美３６
亀井,ど、どうして急にそんなことを！？
朝美,だって、ここのところのあなた……。私を満足させることができませんからね……
亀井,で、でも……。俺のあの症状は、いつか必ず改善するはず……
朝美,立たなくなったあなたは、金を持ってるだけのただのおっさん……。だからもう、あなたに興味はありません
喪黒,あのぅ……、もしかして、あなた……。亀井社長ですか？
亀井,ええ。私が亀井ですけど……
喪黒,私はさっき、あのホテルのレストランで食事をしていたのですよ
亀井,そうなんですか。私もあのホテルにいたんですよ。知り合いとバーでお酒を飲んでいて……
喪黒,そのことなんですけどねぇ……。あなた、どことなく浮かない顔をしているでしょう。何があったんですか？
亀井,い、いや……。別に変わったことは何もありませんよ
喪黒,本当にそうなんですか？もしかすると、付き合いのあった女性にフラれたのでは……？
亀井,そ、そんなことはありません！！
喪黒,それどころか、あなたには重大な悩みがあるようですねぇ。男にとっては極めて深刻な悩み……
亀井,も、もうよしてください！！人のことを何から何まで言い当てて……、あなた一体何者なんですか！？
喪黒,いやぁ……。仕事柄、長年、人間観察を行ってきた賜物ですよ。何しろ、私はこういう者ですから
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
亀井,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
亀井,なるほど。あなたはセールスマンなんですか……
喪黒,どちらかと言うと、ボランティアみたいなものですよ。何なら、私があなたの相談に乗りましょうか？
BAR,魔の巣
亀井,私は、自他共に認める女好きなんですけどね……。よりによって、大事なアソコが立たなくなってしまったんです
喪黒,社長……。EDは、非常に身近な症状ですよ。何しろ、日本の成人男性の4人に1人がED患者ですから……
亀井,4人1人……、そんなにいるんですか！まさか自分がEDになるなんて、夢にも思わなかったですよ
喪黒,亀井社長。勃起不全を改善するために、何かしらの努力はしたでしょう？
亀井,はい。生卵をすすったり、市販の精力剤をあれこれ試したり……。いろいろ手段を試しましたね。それでも……
喪黒,仕方ありませんよ。EDになったことを悲観せず、長期的に症状と付き合っていくべきではないですか？
亀井,そうは言ってはいられません！！私にとっては、人生の一大事ですよ！！
喪黒,社長。あなたは、どうしても男の機能を回復させたいんですね？
亀井,それが私の一番の願いですよ！！あなたも男なら、私の気持ちが分かるでしょう！！
喪黒,……分かりました、社長。そんなあなたのために、いいものがありますよ
亀井,これは……
喪黒,特殊な精力剤ですよ。名前は絶倫ニンニクです
亀井,ニンニクのエキス……、究極の精力剤……。効果は本物なんですか？
喪黒,もちろん、効果は本物ですよ。なぜなら、ニンニクは精力増進の食べ物として有名だからです
亀井,そうなんですか……
喪黒,それだけではありません。ニンニクの成分にあるアルギニンは、成長ホルモンやコラーゲンを分泌してくれます
亀井,ニンニクの栄養分って、思った以上に多くの効果があるんですね……
喪黒,この錠剤を毎日飲み続ければ、あなたのEDは間違いなく治りますし……
亀井,私のEDが治り、身体も前より元気になる……。それが本当なら、まさに夢の精力剤ですよ！
喪黒,よろしかったら、この絶倫ニンニクを無料でプレゼントしますよ
亀井,えっ、いいんですか！？こんな高そうなものを、無料で貰うなんて……
喪黒,構いません。あなたの男としての悩みを何とかしてあげたいという、私からの気持ちですよ
亀井,約束！？
喪黒,そうです。錠剤の服用は、あくまでも1日1粒を限度としてください。いいですね！？
亀井,わ、分かりました……。まずは、錠剤の効果を試してみるか……
経営者A,亀井さん、前半のハーフが42とは……。なかなか、やりますね
亀井,いやぁ、今日のスコアはまぐれですよ
経営者B,それにしても、見事なショットを連発していますねー。亀井さん
亀井,今日の俺は、いつもよりも身体の調子がいい……。もしかすると、絶倫ニンニクのおかげかもしれないな
キャバ嬢A,亀井さん、虎ノ門44のアイドルとお泊りデートをしたそうですね
亀井,ああ、そうだよ。週刊誌があれこれ言ってるけど、後は君たちの想像に任せてくれ
キャバ嬢B,亀井社長って相変わらずモテモテですよねぇ。女性にモテる秘訣は一体何なんですか？
亀井,あえて言うなら、心と身体に若さを保つことかな？思春期のころの中学生のような……
キャバ嬢C,思春期の頃の中学生……。じゃあ、亀井さんのアソコも中学生並みですよね？
亀井,ハハハハ……。まあね……
キャバ嬢A,それなら、私の身体で試してみたらどうですか……？。亀井さんがこんなにすごいなんて……。私、知らなかった……
亀井,俺の男の機能が戻ってきた！どうやら、絶倫ニンニクの効果は本物だったようだな……！
BAR,魔の巣
亀井,喪黒さん！絶倫ニンニクのおかげで、私はEDを治すことができました！
喪黒,それはよかったですねぇ。亀井社長
