亜美真美,ねーねー、おっちゃ→ん
Ｐ,おっちゃん言うなや。んで何の用や
真美,おっちゃんって身長何センチくらいなの？
Ｐ,せやな…１６０とちょっとや
亜美,やっぱ小っちゃ→い！
Ｐ,ちっこい言うなや、気にしとるんやぞ！！
真美,おお…これが噂に聞くヤーさんの洞窟でっか…
亜美,婚活じゃなかったっけ？
Ｐ,恫喝や…あと、ヤーさんと違うで…。おう、やよいちゃん。元気しとるかい？
やよい,！！
Ｐ,そんな驚かんでもええやろがい。ワシのガラスのハートにヒビ入るで
やよい,あわわ！ごめんなさい！いご気をつけます！
Ｐ,あかんわ…ワシのハートはもうボロ雑巾や…
亜美,おっちゃんのメンタルよわ→い
真美,元気出しなよおっちゃ→ん
Ｐ,おっちゃん言うなや…
やよい,うう～…
Ｐ,小鳥ちゃーん。やよいちゃんがワシの顔を見ると脅えるんやけれどどないしたらええんや？あんな顔見よったら一瞬でナーバスやわ
小鳥,うーん。プロデューサーさん、見るからにヤ○ザですもんねぇ…
Ｐ,やっぱ頬傷はまずいかぁ
小鳥,それもそうですけど、サングラスも止めたほうがいいですよ
Ｐ,これはサングラスとちゃう、度付の色眼鏡や
小鳥,一緒です！とりあえず外してみてください
Ｐ,…ほい
小鳥,……あの、なんでそんなに目つきが悪いんですか？
Ｐ,生まれつきや
小鳥,やっぱり付けてる方がいいです
Ｐ,やろ？おまけに眼鏡が無いと周りの人が震えて見えるんやで
小鳥,まあ、そうでしょうね
貴音,あなた様
Ｐ,なんぞ用か？
貴音,その色眼鏡を拝借させて頂きます
Ｐ,あ！何するんや！
貴音,
小鳥,ぶほっ！
貴音,どうです？似合っているでしょうか
小鳥,に…似合ってるわよ貴音ちゃん…くくっ
Ｐ,見えへん
貴音,近いです、あなた様
やよい,ひぃ…貴音さんがガン飛ばされてますぅ…
千早,あの、プロデューサー
Ｐ,なんや？ワシのボロ雑巾ハートでも癒してくれるんか？
千早,いえ、そうではなく
Ｐ,もう駄目や…立ち直れへん…
千早,今日のレッスンの予定なんですけど、お伺いしたいことがあります
Ｐ,流石千早ちゃんや、全然ブレへん…で、聞きたいことはなんや？
千早,それが、このスケジュールのこことここが被ってしまってるんです。調整ミスでは？
Ｐ,あ、ホンマや…。スマン、すぐなおすきに十分待ってや
千早,はい
Ｐ,おーい、りっちゃん
律子,…もう、プロデューサーまでそんな呼び方して。ちゃんと律子って呼んでください
Ｐ,おっちゃんとか呼ばれるより大分マシやと思うで？それでレッスンのスケジュールなんやけど、これ見てみ
律子,どれどれ…あ、ダンスレッスンとボーカルレッスンが被ってしまってますね…
Ｐ,そーなんや。それで提案なんやけど、スケジュールのここを削ってダンスレッスンを繰り上げしたれば…
律子,おお、見事に収まりましたね！じゃあそれで行きましょう
Ｐ,お、ええんやな？
律子,ええ、バッチリです。それにしても…
Ｐ,ん？
律子,プロデューサー殿は意外と有能なんですね。少し見直しちゃいました
Ｐ,ちょっ、何気に酷い言いぐさやな
律子,あはは…ごめんなさい
Ｐ,おう、待ったか？
千早,いえ、まだ５分しか待ってませんよ
Ｐ,待っとるやんか。スケジュールの修正おわったで、ほい
千早,あ…本当にすぐでしたね
Ｐ,やろ？惚れてもええんやで
千早,最初から完璧なスケジュールだったら惚れてたかもしれません
Ｐ,なんやて！？
千早,ふふっ、冗談です
Ｐ,ええー…ワシ今のでもっと傷ついたわー
真,あの、プロデューサー
Ｐ,おん？
真,プロデューサーって歳の割には良い体していますけど、何かスポーツやっていたんですか？
Ｐ,歳のことは言うなや、へこむで
真,あ、すみません
Ｐ,まあええわ…。ワシ実はな、柔道と空手やってたんや
真,へぇ！じゃあ今度組手しましょうよ！ボク、空手だったら負けませんから！
Ｐ,今からでも別にかまわんで？仕事しまいしたし
真,！！じゃあボク、家で待ってますから後から来てくださいね！
Ｐ,おう、ええで。晩御飯はまこくんの家でご馳走になろか
真,あ、ひょっとしてそれが目当てで今からなんて言ったんじゃ…
Ｐ,おっ、バレた？
真,もう、プロデューサ！こうなったら絶対に手加減しませんからね！
小鳥,空手デート…斬新ね
Ｐ,あてて…腰が
春香,あれ？プロデューサーさん、腰がどうかしたんですか？
Ｐ,いやな、昨日まこくんの組手に付き合わされて腰が悲鳴上げよるんよ
春香,あちゃー。私も真の稽古に付き合った次の日は筋肉痛になりましたからねー。サロンパス貼りましょうか？
Ｐ,頼むわ…
春香,！！この背中って…
Ｐ,お、じんましん出とるん教えてなかったわ。すまんな
春香,もう！びっくりしたじゃないですか！
小鳥,あ、入れ墨じゃないんだ
美希,ねぇ、おじさん
Ｐ,おじさん言うなや…
美希,おじさんは甘いもの、スキ？
Ｐ,ああ、スキやで
美希,あはっ☆ミキもなの！
Ｐ,それでなんや、飴ちゃんでも欲しいんか？
美希,おじさんの飴おいしいからまた食べたくなっちゃったの
Ｐ,ほれ、べっこう飴や。噛むんやないで
美希,ありがとなの！
Ｐ,噛むな言うたやないか！
美希,もう一個ほしいの
Ｐ,アホか！…ほれ、次は噛むなや
美希,そーいうツンデレなところがおじさんの可愛い所だって、ミキ、思うな
Ｐ,噛むなや！
伊織,前々から思ってたんだけど、アンタって筋モノ？
Ｐ,どこ情報やそれ。ワシはどこからどう見てもカタギやで
伊織,頬に刃物傷のあるカタギが世にどれだけ居るのよ…
Ｐ,ここにおるで
伊織,はぁ…。もういいわ、それより今日の仕事の話をしましょ
Ｐ,せやな。今日は十時からブーブーエスで竜宮小町の収録があるきに早めに集合な
伊織,そうね。今日持っていく衣装はなんだったかしら
Ｐ,ドラマやったやろ？トランクにドラマって張り紙しとるトランクあるからそれ持っていき。中身ちゃんと確認するんやで
伊織,前々から思ってたんだけどね
Ｐ,なんや？
伊織,アンタ、ルックスの割には仕事はキッチリこなしてるのよねぇ
Ｐ,お前らはワシ苛めて楽しいんか？りっちゃんにも言われたでそれ
伊織,褒めてるのよ
あずさ,あら？ここはどこかしら～？
Ｐ,あずさちゃん、ここワシの家の目の前やで
あずさ,あらあら。プロデューサーさん、こんばんは
Ｐ,はいコンバンワ…で、また迷子でっか
あずさ,そうなんです～。伊織ちゃんについて行ったはずはんですけど～
Ｐ,いつの間にか見失った、と…。ちょいりっちゃんに電話するきん動かんといてや
あずさ,わかりました～
Ｐ,話ついたで。今日はもう直帰でええそうや
あずさ,ありがとうございます、プロデューサーさん
Ｐ,で、りっちゃんが手を絶対に離すな言いよったから手、つないで帰るで
あずさ,あら？あらあらあら～？
Ｐ,あらあら何言いよんや
あずさ,プロデューサーさんの手って、力強いんですねぇ
Ｐ,せやろか
あずさ,そうですよ。プロデューサーさんがもう少し若かったら一生引っ張ってもらって欲しかったですね～
Ｐ,歳の話はやめてや…。お嬢
雪歩,ふぇっ？…あ、おじさんでしたか
Ｐ,せや、ワシや。この後の予定なんやけど…
雪歩,その前に
Ｐ,？
雪歩,皆の前で私を呼ぶときは名前で呼んでくださいって言ったじゃないですかぁ
Ｐ,おお。すっかり忘れとったわ
雪歩,もう…おじさんったら
響,ねぇ、プロデューサー
Ｐ,なんや響ちゃん
響,プロデューサーはなんで雪歩の事をお嬢って呼ぶんだ？
Ｐ,ああ、それな。実はワシ、お嬢の父親、つまり萩原のおっさんの親戚なんや。昔はからかってお嬢て呼んでたんやが、なんか愛着ついてしもてなぁ
響,あ、じゃあ雪歩がおじさんって呼ぶのもそんな理由なんだなー。でもさ、雪歩って男嫌いの割にはプロデューサーと話す時普通にしてるよね。なんで？
Ｐ,あー、なんでやろ？
響,うー、なんだかもやもやするぞー
小鳥,…
Ｐ,小鳥ちゃん、何しょんや？
小鳥,ひゃっ！驚かせないでください、ただでさえ顔が怖いんですから…
Ｐ,今の心にグッサァーって来たで。んで、何やんじょんや？
小鳥,ああ、これを編集してたんです
Ｐ,ん？これは…。ああ、７６５プロに来た初日の映像かぁ。あのでっかいカメラ回ってたんやな
小鳥,あのあと雪歩ちゃんが皆から質問攻めにあって大変でしたよねぇ
Ｐ,せやったなぁ。まこくんにはったおされそうになったし、亜美ちゃん真美ちゃんにはからかわれるし、ホンマおもろい事務所やでここは
小鳥,ええ。何せ、自慢のアイドル達がいますからね。この頃から二人の漫才は絶好調でしたよね
Ｐ,何せ仕込んだのはワシやからな
雪歩,ええ、早朝からみっちりとやらされましたぁ
小鳥,あれ？雪歩ちゃんいつの間に
Ｐ,室温１５度、湿度７０％くらいでな
雪歩,水分は５０％よりすこし少ないくらいで…ってうどんの仕込みじゃないですぅ！
小鳥,か…完璧なノリツッコミですね…
Ｐ,どや！
雪歩,どうですか！
小鳥,うわぁ。雪歩ちゃんは可愛いのにプロデューサーさんのドヤ顔凄く怖い
亜美,おっちゃおっちゃ→ん
Ｐ,おっちゃん言うなや…ワシのハートはもうひび割れまくりや
亜美,おっちゃんこの間より髪うすくなってない？
Ｐ,あーいま完全にワシの心砕けたわー。音を立てて砕けたわー
亜美,いやいや、あいさつ代わりの冗談っしょー
Ｐ,自分はあいさつ代わりに人の心にナイフ突き立てるんか
亜美,ほらほら、ナデナデしてあげるから機嫌直してって
Ｐ,そんなこと言いながらワシを身長の事でイジる気やろ…
亜美,ええっ！なんでバレたの！？
Ｐ,マジやったんか…ハートが粉砕骨折したわ…
亜美,おっちゃん、心臓に骨は無いよ？
真美,おっちゃんおっちゃ→ん
Ｐ,おっちゃん言うなや…ワシは今ハートが粉砕骨折しとるんや…
真美,え？心臓に骨はないよ？
Ｐ,知っとるわアホ
真美,それにしてもおっちゃん、頭の事なんだけど…
Ｐ,減っとらん
真美,ええ！？なんで真美が言おうとしたこと分かったの！？
Ｐ,実はワシＥＳＰ専攻やってん
真美,ＥＳＰ？それってちょーようしょくの事だっけ
Ｐ,何を養殖するんや。超能力や、ちょーのーりょく
真美,ホントに！？嘘っしょ！？
Ｐ,嘘やで
真美,
美希,おーじさん、飴ちょーだい
Ｐ,今日はチョコの気分やったんや…ア○フォートやったらあるで
美希,飴じゃなきゃ、ヤ！
Ｐ,しゃあないな…この秘蔵の落花生飴を開けるか
美希,ラッカセイ飴？
Ｐ,せや。噛んで食ってみいや
美希,じゃあひとつもらうね。……。！
Ｐ,どや！
美希,これすっごくおいしいの！もう一個ほしいの！
Ｐ,ほれ、ちゃんと味わうんやで
美希,はーい！なの
Ｐ,あれ？それ噛む飴やで。舐めてどうすんや
美希,おいしいから長持ちさせるの！
Ｐ,噛めや
美希,噛めとか噛むなとかややこしいの
響,プロデューサー！
Ｐ,お、なんや？飴ちゃん欲しいんか？ほれ
響,うがー！自分美希じゃないぞー！
Ｐ,いらへんのか？
響,…ちょっと欲しいぞ
Ｐ,せや、子供は正直が一番やで
響,自分もう子供じゃないぞ！もう１６歳さー！
Ｐ,ワシから見たら十分お子様や。それとその飴は噛むとうまいで
響,え？。……。！！
Ｐ,どや！
響,これすっごくおいしいぞ！
Ｐ,せやろ！もう一個食ってもええんやで
響,……♪
Ｐ,で、ワシ呼んだんは何の用やったんや？
響,あ、すっかり忘れてたぞ
貴音,あの、おじ様
Ｐ,まさか貴音ちゃんにそう呼ばれる日が来るとは…ワシのハートはもう息しとらんで
貴音,あなた様、心臓は呼吸する器官ではございません
Ｐ,知っとるわ…んで、なんでオジサマなんや。ワシの傷口に塩塗る遊びが流行っとるんか？言っとくけどもう塩漬け状態やからな
貴音,そうではなく…その、じゃんけんで負けたばつげーむでございまして…
Ｐ,あーなるほど。亜美と真美のどっちや？
貴音,いえ、小鳥嬢です
Ｐ,あー。ちょっと眼鏡持っててくれへん？
貴音,？構いませんが…
Ｐ,じゃ、ちょっと席外すで
貴音,！？
真,プロデューサー！今度サイクリング行きましょうよ！
Ｐ,嫌や。ドライブがええ
真,もう、そんな事言ってると益々老けますよ
Ｐ,キミ、無意識に致命打与えるのうまいわー。この間の組手みたいやな
真,え、そうですか？へへっ
Ｐ,褒めとらへん…
春香,プロデューサーさん！クッキーですよ、クッキー！
Ｐ,おー、うまそうやん。ひとつもらうで
春香,おひとつどうぞ…って早っ！
Ｐ,うん、うまいで
雪歩,どうぞ、お茶ですぅ
Ｐ,お、すまんね
春香,おおー、見事なタイミング
雪歩,人生何事もタイミングが大事っておじさんが言ってましたからね
Ｐ,せや。ボケもツッコミのタイミング次第で活きたり死んだりするからの
春香,タイミング次第…？
Ｐ,そう。特にボケとつまみ食いに関しては勢いが大事やな
雪歩,そうですね
春香,あー！また食べましたね！
雪歩,はい、お茶どうぞ
春香,あ、うん…。…。はぅ。はっ！こんなので騙されませんからね！
Ｐ,ちぇ。よし。お嬢、作戦通りに頼むで
雪歩,はい、やってやりますぅ
Ｐ,いい加減やよいちゃんもワシに慣れてや…
やよい,うう、ごめんなさいプロデューサー
Ｐ,せや、飴ちゃんやるわ。べっこう飴と落花生飴あるけどどっちがええんや？
やよい,えっと、じゃあべっこう飴で
Ｐ,ほい
やよい,ひゃ！
Ｐ,いちいちビビりすぎやで…
