塩見周子,お疲れ様～。文香ちゃんいる？
鷺沢文香,あ、周子さん……お疲れさまです……
周子,ごめんごめん、撮影が押しちゃってさ
文香,いえ、問題ありません……こちらこそ、突然お呼び立てしてしまい……
周子,それこそ問題ないって。でも相談って、どしたん？
文香,はい……相談というのは、数日後に迫った、我らが事務所の偉大なる希望の光にして燦爛たる太陽の現身とも呼ぶべき茜さんの誕生日のことなのです……
周子,その北の指導者みたいな肩書きは必要だった？
文香,そこで、何かプレゼントをお渡ししたいのですが……何を用意すれば喜んでもらえるのかわからず……
周子,ふんふん、なるほど。……とは言ってもさ？茜ちゃんだよ？文香ちゃんからもらったモノなら何でも喜んでくれると思うけどねえ
文香,確かに、その考えも理解できます……しかし、それは茜さんの優しさに甘えているだけに過ぎません……！そうして相手の厚意に甘えてこのようなイベントを消費するばかりでは、私は一生私のまま……。このまま地味コミュ障陰キャの枠から脱出できません……！
周子,まったく誰もそこまで貶してないけどね？
文香,そこで、やはり茜さんの欲しいモノを用意したく……
周子,あ、なるほど、それで、シューコちゃんにそれとなく探ってほしいってことかな？
文香,いえ……確かに、私より周子さんの方が会話も上手ですし、そのような調査も向いているでしょう……。しかし、それは周子さんの優しさに甘えているに過ぎず、そうして一生地味コミュ障根暗引きこもり陰キャの枠から
周子,そ、そのくだりはもうわかったから！！！
文香,わ、私は……その……お笑いになられるかもしれませんが、自分で茜さんから欲しいモノを聞き出し、それをプレゼントしたいのです……。ええと……その方がですね……気持ちが……篭るといいますか……向こうに知る由はなくとも……
周子,なるほどねー
文香,し、周子さん……！？
周子,シューコちゃんポイント1個あげちゃう！いやー、文香ちゃんは茜ちゃんが大好きなんだねえ
文香,いえ……その……普段からレッスン等でお世話になっていて……敬愛する指導者と言いますか……
周子,ちょくちょく表現が北なんだよね。じゃ、あたしは何をすればいい感じかな？
文香,その……先ほど勇ましく宣言をしておいてお恥ずかしいのですが、やはり聞き出す自信がなく……。近くで話を聞いていただいて、場合によっては助け船などを出していただければと……
周子,おっけおっけ。シューコちゃんに任しとき～。じゃ、何かあったらスマホでメッセージ送るからさ
文香,ありがとうございます……！
周子,それじゃあ、あたしはあっちで雑誌でも読んでるよ
文香,よろしくお願いいたします……！
周子,それにしても、文香ちゃんも変わろうとしてるんだねえ。おろ？文香ちゃんから？。まだ茜ちゃん来てないけど……よろしく的なアレかな？。なんだそのテンション
文香,///////
周子,照れるならやめときなって！！！
日野茜,こんにちは！！！！！
周子,お、来たね
文香,茜さん……
茜,文香ちゃん！お疲れさまです！！！
周子,冷静にね……！
文香,……
茜,……文香ちゃん？
文香,100兆円が貰えたら何を買いますか……？
周子,あーダメだねこれ
茜,ひ、ひゃくちょう……？
周子,急に国家予算みたいな額を出されても混乱しちゃうでしょって。いや急じゃなくても悪手だけども
文香,！。……！
茜,いち、じゅう、ひゃく、せん、まん、じゅうまん、まんじゅう……まんじゅう？
文香,す、すみません……！
茜,はっ！おはようございます！！！
文香,お、おはようございます……
周子,ちなみに午後4時だけどね
文香,い、今の言葉は忘れていただけると……
茜,はい！！！
周子,素直でよろしい
文香,ええと……本日はお日柄もよく……
茜,はい！雨が続いてましたが、最近は晴れて良かったです！！！
文香,その……明日もきっと晴天に恵まれ……
茜,はい！明日も晴れるって、天気予報で言ってました！！！
文香,ですので……きっと明後日も空は澄みわたり……
茜,はい！来週まで雨は降らないみたいです！！！
文香,よ、よかったですね……！
周子,全然よくないわ。なんで軽く”やりきった”感を出せるのか
文香,！。そう……ですね……、覚悟を決めて……！。あ、茜さん……！
茜,はい！！！
文香,そ、その……茜さんは……ええと……あ、茜さんの好きなものは何ですか……っ！
周子,よし！！！
茜,好きなものですか！！！カレーと！お茶と！そして走ること！動くこと！！あとは……えっと……
文香,あとは……？
茜,そ、その……ふ、文香ちゃん！……な、なーんて……
周子,いちゃいちゃするな
文香,……
周子,し、しんでる……
文香,……はっ！ルーベンスの絵画を見ながら沢山の茜さんに天まで連れて行かれたところまでは覚えているのですが……
茜,だ、大丈夫ですか！！
文香,お気になさらず……。その……では、何か、欲しいモノなどはありますか……？
茜,欲しいモノ……ですか……
文香,はい、何でもかまいません
茜,……！
周子,？
文香,どうされましたか？
茜,も、もしかして私の誕生日プレゼントとかでしょうか！気を遣わなくても、文香ちゃんがくれたものなら何でもとっても嬉しいですよ！
周子,察しが鬼のように良い～～～～！！！！！！。ど、どうするの文香ちゃん！！！
文香,……
周子,し、しんでる……
茜,ふ、文香ちゃん？
周子,いや死んでる場合ちゃうでしょ！どうにかしなきゃって！
文香,！。あ、あの……ち、違います……！
茜,そ、そうだったんですね……お恥ずかしいです……文香ちゃんならくれるかなって……うぬぼれちゃいました……えへへ
文香,え、ええと……ええと……誕生日のプレゼントは……もちろん……！ですが、これはそれとは一切関係が……ないと明言することはできないのですがあくまでアンケート的な……決して何を渡せばいいのかわからないわけではなくて……そ、そういうことなのです……！
周子,もう何言ってるか全くわかんない
茜,わかりました！！！
周子,優しい～～～～！！！
茜,でも、欲しいモノですか……！難しいですね……！
文香,例えば、他の方の持っていたモノにいいなと思ったことは……？
茜,ううん……あ！
文香,何か浮かびましたか……？
茜,ええと……モノとかではなくて……よく、凛ちゃんのハナコちゃんとか、優さんのアッキーちゃんとか、雪美ちゃんのペロちゃんとか、みなさんのペットと遊ばせてもらってるんですが、その……私も飼ってみたいなあ、って、たまに、思ったりはしますね……！
文香,なるほど……！
周子,ペットかー
文香,私は茜さんを飼いたいですけどねペットと暮らすのはとても楽しそうですね
周子,漏れてる漏れてる！！！
茜,？
文香,い、いいえ、何でもありません。で、ですが、生き物を飼うというのは大変なことです……。茜さんにその覚悟と知識はありますか？
茜,か、覚悟はあります！！……ですが、確かに知識と言われると……！
文香,……では、こうしましょう
茜,？
文香,今から私が、茜さんのペットの生育に関する知識を確認します。それに対して茜さんが十分に答えられれば、飼育可能と判断して、共にペットショップへ向かいましょう。……具体的には8月4日に
周子,上手いような上手くないような……。でも勢いで買わせないのは立派だね
茜,最後の方はよく聞こえませんでしたが……わかりました！よろしくお願いします！！！
文香,ではまず、どんな動物がいいですか……？
茜,ワンちゃんがいいです！！！
文香,何チュアダックスフントがいいですか？
周子,一択やんけ
茜,ドーベルマン！！！！！
周子,ゴリ押し～
文香,とはいえ種類は後回しでいいでしょう……
周子,自分から振っておいて
文香,まず、犬の平均寿命はどれくらいだかわかりますか？
周子,10年くらい……だっけ？
茜,100年！！！
周子,バケモンだ
文香,四捨五入すれば
周子,今どこで切り捨てたの？
文香,平均して10年少しのことが多いです。それだけの期間、ちゃんと面倒を見れますか……？
茜,もちろんです！！！
文香,ちなみに私は何十年でも茜さんの面倒を見る準備が
茜,？
文香,……進めましょう
