ウサギ(智絵里),ど…どうしよう……
モバP,智絵里、今日の撮影すごく良かったてカメラさんが褒めてたぞ！ホント最近頑張ってるな
智絵里,えへへ…ありがとうございます…
モバP,今回の衣装はなかなか大胆だったけどちゃんとサマになってたしな、これからはセクシー系で売っていくのもー
智絵里,…っ!////……私そんな、セクシー系なんて……///
モバP,ハハハ、冗談だよ、でもウサギって智絵里のイメージとマッチしててすごく可愛かったぞ
智絵里,/////
モバP,そうそう、智絵里が撮影一発OKだったおかげで時間に余裕が出来たから、さっきの子(ウサギ)たちと遊んでていいってさ
智絵里,ほ、本当ですか！？
モバP,あぁ、あの子たちも智絵里のこと気に入ってたしな
智絵里,えへへ♪
モバP,じゃあ俺はスタッフさんとお話してくるからな
智絵里,いい子、いい子。ウサギさん、私ね、好きな人がいるの。いつも私のこと1番に考えて支えてくれる人で…。いい子、いい子。ウサギさん、私ね、好きな人がいるの。いつも私のこと1番に考えて支えてくれる人で…
ウサギA,やぁ、智絵里ちゃん
ウサギち,ウ、ウサギさんが喋ってます…
ウサギB,そんなに驚かないでよ、今は智絵里ちゃんもウサギになってるから僕らの声が届くんだよ
ウサギち,あ、それで…フフなんか楽しいです
ウサギC,こんな状況にしておいてなんだけど智絵里ちゃんて結構メルヘン？
ウサギA,確かにすごい適応力だね
ウサギち,うぅ…、私ってやっぱり子供っぽいのかな…これでも最近は大人っぽくなろうと唯ちゃんたちに色々教えてもらってるのに…
ウサギB,でも、今回は智絵里ちゃんのそういう夢のあるところが幸運だったんだよ
ウサギち,え？
ウサギC,私たち遊んでくれたお礼に智絵里ちゃんの願いを叶えてあげたくってね
ウサギち,私の願い…？
ウサギB,ほら、智絵里ちゃんウサギになりたいって言ってただろ
ウサギA,だからほんの一瞬、夢のような時間だけどウサギになってもらったんだよ
ウサギC,私たちが遊んでくれたお礼を直接伝えたかったていうのもあるけどね
モバP,お待たせ～智絵里帰ろうか、あれ、智絵里？。トイレかな？とりあえず待ってるか
ウサギB,あれが智絵里ちゃんのさっき話してた好きな人か
ウサギA,たしかに不器用そうだけど優しそうな人だね
ウサギち,……///
ウサギ,智絵里ちゃん、身体が真っ赤ね
モバP,ウサギなんて近くで見たの小学校以来だけど、やっぱかわいいな
ウサギち,Pさぁん……////
モバP,この子かわいいな、なんだか健気で智絵里みたいだ
ウサギち,///
モバP,俺な、好きな子がいるんだ
ウサギABC,！？
モバP,最初はすっごくおどおどしてて、俺ともあんまり目を合わせてくれなかったんだけど、優しくて、ひたむきで、ちょっと負けず嫌いなところがあって…それから次第に…
ウサギB,それって…
ウサギA,智絵里ちゃんのことだよ！
ウサギC,やったじゃない！智絵里ちゃん！
ウサギA,…智絵里ちゃん？
ウサギち,
ウサギB,プロデューサーさんにナデナデされたのが気持ちよくって寝ちゃっみたい
ウサギC,あらら、せっかくのいいとこだったのに勿体ない
ウサギA,そろそろ時間みたいだね、大丈夫、またいつでも聞けるさ
モバP,…ってウサギ相手に独りで何言ってんだ俺、こんなのもし誰か聞か…れ……ア、ア……レ？。申し訳ない、あんなとこで寝るなんてプロデューサー失格だ
智絵里,そ、そんな…Pさんもいつもお仕事大変なんですから気にしないで下さい…
モバP,そういってくれると助かるよ、じゃあ今度こそ帰ろうか
智絵里,あ、あのっ…
モバP,ん？どうした？
智絵里,あのウサギさんたち連れて帰る…なんて、出来ませんよね…？
モバP,う～ん、あの子たちは撮影用に用意された子たちだからな、難しいだろうな
智絵里,Pさん、なんとかなりませんか？
モバP,わかった、なんとかしてみるよ！考えてみたら智絵里がこんなワガママ言うなんて初めてだもんな、任せとけ！
智絵里,ありがとうございます！
モバP,おいおい、まだもらえると決まったわけじゃないんだからな。智絵里～！連れて帰っていいってさ！
智絵里,ホ、ホントですか！？
モバP,あぁ！あの子たちも智絵里に懐いてたしスタッフさんも是非連れて帰ってあげて下さいって言ってたぞ！いぇいっ
智絵里,いぇいっ！
モバP,そうと決まれば早速ちひろさんに電話して事務所で飼えるように…。ちひろさん事務所でウサギを…
ちひろ,だめです
モバP,そこをなんとか
ちひろ,だめです
モバP,だめです
智絵里,そ、そんな…じゃあこの子たちは…
モバP,俺が連れて帰るよ
智絵里,え？
モバP,事務所がだめなら仕方がない。俺のうちで飼うことにするよ、ちひろさんを説得するより大家さん説得する方が楽そうだしな、智絵里もいつでも遊びに来てくれ
智絵里,Pさんの家…ですか、いいんですか私が…///
モバP,あぁ、その方があの子たちも喜ぶだろうしな
智絵里,はい♪じゃあいっぱい遊びに行きますね！
モバP,…っ///……じゃあ今からウサギの飼育本探してから帰るか
