カメラマン,はい、OK！二人とも、いい表情だったよ！
美波,撮影お疲れさま
奏,そっちもね
美波,奏さん、やっぱり綺麗だね。撮影待ってる間、私見惚れちゃった
奏,それは光栄だけど、お互い様だと思うわ。……ねえ。この後、予定空いているかしら
美波,この後？今日はもう帰るだけだけど
奏,そう。ならちょうどいい時間だし、晩御飯はどこかで一緒に食べない？。行きたいお店があるのよ
美波,うん、いいよ。私もお腹空いちゃった
奏,よかった。じゃあ着替えた後、行きましょうか
美波,奏さんの行きたいお店……いったいどんなところなんだろう。ものすごいオシャレな雰囲気だったりするのかな
店員,らっしゃーせー！！。味噌一丁三番テーブル！。塩ネギチャーシュー二丁！
客,すいませーん！
店員,ただいまお伺いいたします！
美波,ラーメン屋……
奏,どうしたの？早く席に着きましょう
美波,あ、うん
店員,ご注文は何にいたしましょう
奏,私は塩チャーシューにするけど、あなたは？
美波,えっと……醤油ラーメン、にしようかな
店員,塩チャーシューに醤油ですね
奏,あと、餃子一皿も
店員,かしこまりました！
美波,………
奏,さっきからどうしたの？鳩が豆鉄砲食ったような顔して。ひょっとして、ラーメン嫌い？
美波,う、ううん。そうじゃないんだけど……ちょっと、意外だったかなって。奏さんの行きたいお店なんて言うから、オシャレなバーにでも連れて行かれるのかと
奏,お酒飲めないのにバーに行ってもしょうがないじゃない。女子高生が選ぶ場所としては、ラーメン屋のほうがよっぽど普通だと思うけど
美波,………
奏,まだ驚いた顔してる。私だって、ラーメン食べたい気分の日はあるのよ？
美波,そうじゃなくて……そういえば、奏さん未成年だったんだって
奏,あなたもそれを言うのね……どうしてあの人もこの人も私の年齢を上方向に勘違いするのかしら。道行く営業の人にはOLだと思われるし。私、まだ学生なのに
美波,そうだよね。学生だよね
奏,そうよ
美波,ちなみに専攻は
奏,高・校・生！
美波,冗談だよ、冗談
奏,まったく……。ところで美波。お酒は飲まないの？
美波,お酒か……どうしようかな
奏,私に遠慮しなくてもいいのよ。二十歳がアルコール口にするのは当たり前なんだし。あなたが酔っぱらっても、ちゃんと家まで送り届けてあげるから
美波,……それじゃ、注文しちゃおうかな。でも、迷惑かけないように飲み過ぎには注意するわ
奏,私は酔っぱらって無防備になった美波が見たいんだけど……
美波,見せません
奏,うふ、お堅いのね。そういえば、あなたお酒はどれくらい飲めるの？
美波,まだ、強いとか弱いとか判断できるほど飲んだことがないかな。この前、楓さんに早苗さん、それと文香ちゃんと一緒に居酒屋に行ったんだけど……
奏,行ったんだけど？
美波,……あの時は、大変だったわ
奏,えらく遠い目で語るわね。何があったの？
美波,二十歳になりたての私と文香ちゃんのために、二人がお酒の楽しみ方を教えてくれるっていう話だったんだけど――
奏,うん
美波,最初の30分で楓さんと早苗さんは早々にできあがっちゃって
奏,容易に想像できるわね
美波,でしょ？そこまでは、私も予想してたからまだよかったんだけど
奏,まだ、ということは、その後さらに何かあったのね
美波,あったの
奏,何があったの？
美波,さて問題です。あの日の居酒屋で何が起こったのでしょうか
奏,え、ここにきてクイズ形式なの？
美波,興味をひいてから問題だしたほうがいいと思って
奏,む……確かに続きが気になる。予想したくなる
美波,ふふ♪
奏,………。早苗さんが唐突に腹踊りを始めた
美波,さすがにそれはアイドルがやっちゃだめじゃないかな
奏,確かにそうね。じゃあ、楓さんがどじょうすくいを
美波,腹踊りとあんまり変わらないよね
奏,そうね。なら、飛び入り参加の川島さんが五郎丸ポーズのモノマネで店内を徘徊。トライトライと叫びつつ
美波,とりあえず一発芸方面から離れよう？
奏,そうね。ちなみにここまでの解答は全部おふざけよ
美波,そうなの？真顔で言うから全然気づかなかった
奏,まだまだ甘いわね、美波。大方答えに予想はついているわ。登場人物の中で、ここまで特に目立っていない人間がポイントね。加えて、あなたが行動の予想をできなかった、意外性を持つ子。……文香の酒癖がものすごく悪かった。これでファイナルアンサーよ
美波,ファイナルアンサー？
奏,もう言ったわよ、それ
美波,言ってみたかったから。こほん……正解！。すごいわね、奏さん
奏,このくらいは、ね
文香,………
美波,ふ、文香ちゃん？さっきから無言で飲んでばかりだけど、大丈夫？
文香,大丈夫です
美波,で、でも相当飲んでるし。そろそろやめておいたほうが
