美城常務,ふむ、全員集まったようだな。前回から少し時間が空いてしまったが、プロジェクトクローネ会議を行う
宮本フレデリカ,どうして空いちゃったのー？
常務,コミケに行っていた
神谷奈緒,正直すぎる
渋谷凛,それで業務が滞るのはどうなの
鷺沢文香,常務の薄い本が……
文香,……。……。厚くなりますね……！
橘ありす,なんで溜めたんですか
常務,最近は天気の変わりが激しいな。皆、体調を崩してはいないか？
北条加蓮,なんだかんだ優しいんだよね
常務,特に死にそうなアイドル筆頭の北条
加蓮,前言撤回
大槻唯,加蓮ちゃん具合悪いの！？
凛,誰も言ってないって
速水奏,救急車は呼んだわ
奈緒,事後報告やめろ
塩見周子,加蓮ちゃんなら手術室まで顔パスかな
加蓮,好き勝手言い過ぎじゃない！？
常務,心配は要らない。我が社の保険に入っていれば、たとえどんな高額なしゅじゅちゅ……
みんな,……
常務,しゅちゅ……じゅ……
みんな,……
常務,ちゅ……ず……ずじゅ……
みんな,……
常務,……ふう。会議に移ろう
凛奈緒加蓮,諦めた！！！！！
常務,何か質問はあるか？
フレデリカ,はーい！
常務,良い質問だ
奈緒,聞いてから言え
フレデリカ,アーニャちゃんはー？
文香,聞くまでもないでしょう……
奏,あまり言いたくないけど、そうかもね
常務,アナスタシアは、今日は連絡が入っていないな
凛,とうとう無断欠席
常務,つまり、今日は来るとみていいだろう
奈緒,ポジティブかよ
唯,来るのかなー？
ありす,これまでの傾向的に来るとは思えませんが……
周子,うーん、でも、今日は……
常務,ああ、アナスタシアの誕生日だからな
文香,プレゼントで釣れば来るかもしれません……
ありす,アナスタシアさんをなんだと思ってるんですか
奏,プレゼントは持ってきてあるけど、この分だと会議では渡せないかしら
唯,何にしたのー？
奏,月見バーガー
加蓮,渡さない方がいいと思う
奈緒,なんで調理済み食品なんだよ
奏,冗談よ
ありす,そう聞こえないから怖いんです
周子,まあシューコちゃんも一応、プレゼントは持ってきてるけど……
唯,ゆいも！
奏,あら……？この調子だと、みんな持ってきてるのかしら？
凛,あ……どうせ渡せないから部屋に置いてきちゃった……
奈緒,あたしもだ
加蓮,ま、どうせ来ないから大丈夫でしょ
フレデリカ,事務所に置いておけば持ってってくれるんじゃないかな～？
ありす,本人に会えないのは変な話ですが……
文香,お忙しいのでしょう……
アナスタシア,みんなからのプレゼント……とっても楽しみですね？
常務,さて、前置きが長くなったな、会議……に……
ありす,……え？
周子,……いやいや
加蓮,……ほ、ほんとに？
奏,……まさかね
周子,……えーっと
凛,……っ！？
奈緒,ウソ……だろ……？
フレデリカ,わーお……
唯,うっそー！！！
アナスタシア,ダー♪アーニャ……ですよ？
奈緒,えっ、ちょっ、い、いつの間に！？
凛,本物！？
唯,ひっさしぶりー！
周子,心臓止まるかと思ったわー……
フレデリカ,元気だったー？
ありす,ど、どういう風の吹き回しで！？
アナスタシア,？会議に出るの、常識……ですね？
加蓮,どの口が言うか
常務,み、皆、落ち着け、こういう時は社歌を歌うんだ
加蓮,社歌なんてあったの！？
奈緒,初耳だぞ！？
常務,さん、はい。あんなこといいな♪できたらいいな♪
ありす,ドラ〇もんじゃないですか！？
アナスタシア,ロシアにこんなコトワザあります……歌を歌うなら音量とJASRACに気をつけろと
凛,JASRACは日本の団体でしょ！？
唯フレアーニャ,HAHAHA!!!!!
奈緒,なんだそのテンション！！！！！
奏,でも、本当に急ね……、流石の私も驚いたわ
アナスタシア,アー、カナデのどこが"流石"ですか？
奏,ごふぁ！！！！！
ありす,奏さん！！！！！
周子,ちょっと切れ味良すぎないかな？
アナスタシア,カナデ！？アーニャ、悪いこと言いましたか！？
奈緒,自覚ないの怖すぎるだろ
常務,と、とりあえずアナスタシア、席に着きたまえ
アナスタシア,ダー♪アーニャの席、丸くて大きなストール……机の、まずジョウムがいて、そこから時計回りにリン、ナオ、カレン、アリス、フミカ、宮本、カナデ、シューコ、ユイが座っている、カレンとアリスの間ですね？
奈緒,なんで急に説明した
アナスタシア,1回も言ってなかったから……ですよ？
凛,1回も来てない人のセリフじゃない
奈緒,そもそも心を読むな！
フレデリカ,というかフレちゃんだけ宮本って呼ばれてたのはおかしいと思うんだけど！！！
アナスタシア,ジョウム？
常務,ど、どうした
アナスタシア,"アナスタシア"だと長くて打ちにく……都合わるいので、"アーニャ"でいいですか？
ありす,はい？
常務,か、構わないが
アーニャ,スパシーバ♪
加蓮,自由か
周子,ちょっと今回ヤバいね？
アーニャ,どうかしましたか？ソルト……あー、シューコ
周子,まずソルトは英語だしそもそもそうやって間違えるなら塩見って呼ばなきゃおかしくない！？
ありす,全方位爆撃ですか
文香,恐ろしいですね……
ありす,普段の文香さん、あんな感じですよ
アーニャ,カレン、アリス、よろしくお願いしますね？
加蓮,う、うん……
ありす,よ、よろしくお願いします……
奈緒,ありす、文香とアーニャに挟まれるのかよ……
周子,南無阿弥陀仏……
ありす,聞こえてますからね
アーニャ,アリス、成仏、しますか？
ありす,成仏しますかって本来生きてる人に聞くものじゃないです
アーニャ,なるほど……スパシーバ。日本語、やっぱり難しいです……
ありす,日本語の問題というか……
文香,常識力の問題ですね
ありす,文香さん
常務,さて、ドタバタして言いそびれてしまったが、アナスタシア、誕生日おめでとう
フレ唯,おめでとー！！！
アーニャ,スパシーバ！とっても嬉しいです！
常務,どうやら、みんながプレゼントを用意しているらしい。今回はそれを渡す会ということにしよう
奈緒,来たら来たで会議しないのかよ
アーニャ,ダー、アーニャは幸せ者ですね
常務,まずは大槻
唯,はーい！
アーニャ,ユイはいつも元気ですね。その金色の髪は、まるで、ズヴェズダ……星のようです
唯,ありがとー♪アーニャちゃん、星、好きだよね？
アーニャ,ダー♪大好きです
唯,そんなアーニャちゃんにコレあげる！ヒトデのでっかいぬいぐるみ！
奈緒,星形だけども！！！
アーニャ,まるで星みたいです。素敵なプレゼント、ありがとうございます
唯,使ってね！
アーニャ,はい。会議で眠くなったら使いますね？
加蓮,どんなメンタルしてればこの場でそれ言えるの
常務,では次、塩見
アーニャ,zzz……
周子,ウソでしょ？
アーニャ,ダー、もちろんウソですよ？
周子,今日のアーニャちゃん見てると、あながち"もちろん"じゃないよねぇ
アーニャ,どういう意味ですか？シュガー……あー、シューコ
周子,調味料のカテゴリ内でミスるのやめない！？やっぱり英語だし！
凛,今日の周子、若干こっち側だね
奈緒,そもそも分かれてるのがおかしいんだからな
周子,ま、いっか、シューコちゃんからはこの和菓子詰め合わせ～
アーニャ,ワガシ……ですか？
周子,そ。あんまり食べる機会ないかなーって。ま、みんなで食べて？
アーニャ,シューコ……食べさせてくれますか？
周子,……はい？
ありす,はい？
りんなおかれん,はい？
周子,いや、後で食べてねーって
アーニャ,……
周子,早っや！
奏,あら、覚悟を決めるしかないんじゃないの？
唯,ほらほら～
周子,いやいや、アタシなんか損な役多くない！？
アーニャ,イヤ……ですか……？
奈緒,あれはズルいな
加蓮,ね
周子,ちょっと、そっちの方も何か言って
ありす,zzz……
周子,ヒトデクッションで寝るな！！！
ありす,はっ！すみません、つい
文香,ここは動物園ですか……？
凛,あながち否定できない状況なのが悔しい
周子,恥ずかしい……
アーニャ,んー♪ナマラウマイ……あー、美味しい、です
周子,ロシア語みたいに言ったけど"なまらうまい"って聞こえたよ！？
常務,次、速水
奏,人数も多いし、アーニャも大変でしょう。短めにさせてもらうわね
アーニャ,カナデはドーヴィリイ……優しい、ですね
奏,ふふ、ありがとう
アーニャ,早く渡しやがってください？
奏,そういうのどこで覚えるの？。はい、ありがちだけど、香水よ
アーニャ,カナデの匂い……ですか？
奏,いえ、私のとは違うものよ。でも、香りは保証するわ
アーニャ,カナデの匂いじゃないのですね……
奏,"カナデの匂い"って連呼するのやめない？
アーニャ,アーニャ、カナデの匂い、好きですよ？
唯,どれどれ～
フレデリカ,出撃～！
奏,ち、ちょっと！
？？,いいスメルだにゃ～
ありす,侵入者ー！！！！！
常務,さて、追い出したところで宮本
フレデリカ,はーい！
アーニャ,フレデリカの髪も綺麗な金色でズヴェズダ……あー、金閣寺みたいですね
フレデリカ,金閣寺！？
凛,ズヴェズダって星じゃなかったっけ！？
奈緒,お前本当にロシア人か！？
アーニャ,パパがロシア人なの
奈緒,登場初期のキャラで返事をするな！！！
フレデリカ,フレちゃんからは、このレターセット！
ありす,レターセットですか……？
