モバＰ,急にどうしたんだ、ほたる
ほたる,すみません、いきなり変なことを言って。でも、私のせいで皆さんに迷惑をかけたくないんです
Ｐ,話が見えてこないぞ
ほたる,す、すみません……決意表明みたいなものでして。きっと、どうにかしてみせますから
Ｐ,おーい、俺に相談があるんじゃなかったのか
ほたる,私、頑張りますから……本当に頑張りますから！
Ｐ,え、おい、ほたる！――ぎゃ。……なんで、こんな所に空き瓶が
ほたる,勢いでプロデューサーさんにああ言っちゃったけど。不幸ってどうやったら良くなるんだろう。……やっぱり分からないな。そうだ、事務所をうろついてれば、誰かに話を聞けるかも
荒木比奈,おや、ほたるちゃん。こんにちわっス
ほたる,あ、おはようございます、比奈さん
比奈,おはよう？――ああ、芸能界でスもんね
ほたる,そうだ、さっそく訊いてみよう。比奈さん、その、ちょっと訊きたいことがあるんですが
比奈,訊きたいことっスか。どうぞ、気兼ねなく訊いて欲しいっスよ
ほたる,えっと……不幸をなんとかしたいんです
比奈,ふ、不幸？
ほたる,はい。すみません……変なことを訊いて
比奈,いや、構わないっスけど。不幸でスか
ほたる,……すみません、分からないですよね。こんなこと
比奈,いや、ちょっと思い当たることがありまスね
ほたる,ほ、本当ですか！
比奈,少し待ってて欲しいっス。……確か、仮眠室の冷蔵庫に一瓶あったような
ほたる,瓶？
比奈,あった、あった。これっスよ
ほたる,なんですか、これ
比奈,これぞ幸運の食べ物、らっきょうでス。ささ、お一つどうぞ
ほたる,は、はい……。甘酢の臭いと味、それから独特な歯ごたえ……普通のらっきょう漬けだ
比奈,どうっスか
ほたる,えっと……ご飯が欲しいです
比奈,バビョーン、って感じになったりしないっスか
ほたる,ば、バビョーン？
比奈,やっぱり、外が曇りだからっスかね
ほたる,晴れてたら、どうなったんでしょうか
比奈,ヒーローになってったっスよ
ほたる,……すみません、そういうのは光さんの方が喜ぶような
比奈,この変身方法は、ほたるちゃんにしか出来ないんでス
ほたる,そ、そうなんですか
比奈,あー……ごめんなさい、分かり難い冗談だったっス
ほたる,え、冗談だったんですか
比奈,ついつい悪ノリを
ほたる,すみません、察しが悪くて……
比奈,こっちが悪いんでスって――むぐぐ
ほたる,比奈さんがお腹を抑えて苦しそうに！？。どうしたんですか！
比奈,お、お腹が急に……
ほたる,誰か連れてきましょうか
比奈,大丈夫っス。ただ、トイレに
ほたる,は、はい。比奈さんはどうやら、私より先に、らっきょうを一粒食べていたらしい。それが運悪くあたってしまったようだ。……これも私の不幸のせいだ。早くなんとかしないと。でも、方法なんて全く見えてこないし
上条春菜,そんなときは眼鏡ですよ！
ほたる,あ、おはようございます。春菜さん
春菜,おはようございます、ほたるちゃん。それで、目が悪くなったんですよね？ならばぜひ、この機会に眼鏡をかけてみましょう！
ほたる,あの……もしかして、口に出てました？
春菜,そんなことはありませんよ。ただ、見えない、という言葉が頭に響きまして
ほたる,確かにそう思ったんですけど、あの、視力のことじゃないんです
春菜,それは残念です。眼鏡っ娘が増えると思ったんですが……。不幸をどうにかする方法、ですか
ほたる,はい、なにか知ってることがあれば、参考にしたいんですが
春菜,んー……ごめんなさい！思い当たらないですね
ほたる,そうですか……すみません、変なことを訊いて
春菜,――そうだ、少しだけ私の話、聞いてくれます？
ほたる,はい、なんでしょう
春菜,私はアイドルになる前まで、ずっと自分の魅力を探してたんです。見た目は地味で、特技らしい特技もないから、どうしても自分の魅力が分からなかったの。でも、アイドルになって気がつきました。魅力はずっと、すぐ近くにあったんだって。それが――眼鏡だったんです。眼鏡と自分を切り離して、眼鏡の魅力は私には関係無いと思ってました。けど違いました。眼鏡の魅力は、かけたその人の魅力でもあったんです。ほんの少し見方を変えるだけで、色んなものが見えてくるの。……だからほたるちゃん、あなたも眼鏡をかけましょう！
ほたる,え
春菜,眼鏡をかけて見方を変えれば、不幸だって不幸じゃなくなります。ちょうどあなたに似合いそうな眼鏡がスペアにあるんです。さあさあ！
ほたる,見方を変えるだけなら、眼鏡はいらないんじゃ
春菜,眼鏡をどうぞ
ほたる,で、では、少しだけ――あっ。受け取り損ねて、眼鏡が床に！
春菜,……あ、ああ
ほたる,落とした眼鏡のレンズにヒビが。さらに春菜さんが膝から崩れ落ちた！？。す、すみません、春菜さんの眼鏡を！
春菜,眼鏡が……眼鏡……
比奈,おや、どうしたんっスか
ほたる,あ、比奈さん、もう大丈夫なんですか
比奈,だいぶ良くなったっスよ。それで、春菜ちゃんはいったいどうしたんでス？
ほたる,すみません、私のせいで、春菜さんの眼鏡を割ってしまって……
比奈,ああ、それで春菜ちゃんが放心、と
春菜,比奈ちゃん、私のジュニファーが……！
比奈,なんで眼鏡に名前をつけてるんっスかね
春菜,それに、今日はジュニファーしかスペアを持ってきてないから、もうスペアが……スペアがないと、私
比奈,大丈夫っスよ。今から眼鏡屋さんに行けば、直してもらえまスから
春菜,でも、スペアがないから、もし途中で眼鏡がなくなったら
比奈,一緒に行ってあげまスから、安心するっスよ
春菜,……ありがとうございます。お礼に似合う眼鏡をプレゼントしますね！
比奈,いや、それは別に良いような
ほたる,あの、本当にすみません。私のせいで
春菜,良いんです、ほたるちゃん。確かにジュニファー――眼鏡が割れたのは不幸だったかもしれない、けど結果的に比奈ちゃんと眼鏡屋を巡れるんです
比奈,え、巡るんっスか
春菜,これは見方を変えれば、幸福なんですよ。ほたるちゃんが気にすることなんて、全くありません！
ほたる,春菜さん……
春菜,それじゃあ、行ってきますね！
ほたる,はい、楽しんできてくださいね
比奈,行くっスよ、行きまスから引っ張らないで
ほたる,見方を変える、か。確かに今回は春菜さんも幸せそうだったけど、普段はどうだろう。私と一番よくいる人……プロデューサーさん。プロデューサーさんは、幸せなのかな
Ｐ,お、戻ってきたか。相談事はどうにかなったか
ほたる,はい。春菜さんが相談に乗ってくれましたから
Ｐ,春菜が？もしかして、眼鏡をかければ解決、とか
ほたる,ち、違いますよ。……その、訊きたいことがあるんです
Ｐ,おう、なんでも訊いてくれ
ほたる,これを訊いて、もしも否定されたら……。いや、不安だけど、訊かなきゃ。プロデューサーさんは――私といて幸せですか
Ｐ,もちろんだ
ほたる,本当……ですか
Ｐ,はっはっは、嘘を吐いてどうするんだよ
ほたる,私といても、不幸なことばかりですし
Ｐ,それはほたるのせいじゃないよ。仮にお前のせいでも、それくらいで一緒にいられるなら、安いもんだ。というか、一々そんなこと気にしてたら、ここのアイドルをプロデュースなんてできないしな
ほたる,……ふふ。ふふふ、駄目ですよ。そんなこと言ったら、皆さんに失礼です
Ｐ,それもそうだなぁ
ほたる・Ｐ,あははは
ほたる,そうだ、私のせいで不幸になる人がいるなら、その人を私が幸せにすれば良いんだ。笑顔にしよう。不幸なんて気にしなくなるくらいに。そのためにも、私自信が笑顔にならなきゃ。今日もレッスン、頑張ります！。プロデューサーさん。プロデューサーさん。プロデューサーさん。――でもやっぱり、ちょっとは不幸もどうにかしたいかも
