【潮,嫌いじゃないけど……生理的に無理―！
曙,クソ提督！アンタまた潮にちょっかいかけたでしょ！？
提督,え、一緒に買い物行っただけなんだけど……
曙,手を握られたって言ってたわよ！
提督,握ったけど……もしかして嫌がってた？
曙,い、嫌がってなくても潮は言えないのよ！それくらい察しなさいよね！
提督,うーん……後で聞いてみるよ。嫌がってたら止めるから
曙,ふんっ！勝手にすればっ！
提督,……はぁ、参ったなぁ。潮ちゃんに嫌われたかなぁ……
【龍驤,胸なんて飾りや！偉い人にはそれがわからないの！
金剛,提督ぅ……他の娘に手を出すって一体どういうことネー！？
提督,いやその、はぐれるといけないからさ
金剛,むーっ……浮気しちゃNO～なんだからネ？
提督,大丈夫だよ。それに潮ちゃんは子供だよ？
金剛,そうですケド……あのおっぱいだけは侮れないデース！
提督,俺はそんなに大艦巨乳主義じゃないよ？
金剛,小さいより大きい方が好きって言ってたよネー？
提督,こ、金剛だって大きいんだから、浮気する理由にはならないって……
【最上,ケツの穴が小さい男は駄目だよね(暗黒微笑)
金剛,あっ……それもそうですネ！
提督,俺には金剛だけだよ。知ってるだろ？
金剛,……ごめんなさい。ワタシちょっと嫉妬しちゃったネー……
提督,いいよ、むしろ嬉しいくらいさ
金剛,テートクは器がLargeですネ……だから大好きデース
提督,じ、時間と場所はわきまえような？
金剛,や！
提督,困った子だなぁ……
【提督,優しいだけの男はモテないぞ
金剛,……こんなに優しい人をクソ提督呼ばわりする子なんて嫌いデース
提督,曙のことか？あいつは素直じゃないからなぁ……
金剛,注意した方がいいと思うヨー？
提督,はは……いいんだよ。あの子はあのままで
金剛,でも……
提督,ありがとな。気持ちだけで十二分に嬉しいよ
金剛,テートク……
【???,それしか言えんのかこの猿ゥ！
曙,話って何ですか？
金剛,はっきり言うヨ。クソ提督って言うの止めるネ！
曙,……貴女には関係ないでしょ
金剛,そんな訳ないデショ！？私の大切な人だヨ！
曙,クソ提督が良いって言ってるんだから放っておいて！
金剛,……Hey,貴女の大切な人は誰デスカー？
曙,それは……姉妹に決まってるじゃない
金剛,姉妹をクソ呼ばわりされても平気なの……？
曙,そんなの……平気な訳ないでしょ！
金剛,そうだよネ？それと同じだヨー！
【黒曙,チッ、うっせーな。反省してま～す
金剛,ワタシは姉妹も大事だけど……提督が大好きだから。好きな人を馬鹿にされるのは辛いネ……。分かってくれるよネ……？
曙,……はぁ、分かったわよ……
金剛,本当デスカー？
曙,普通に呼べばいいんでしょ……分かったわ
金剛,Oh！曙ちゃん、実は素直ないい子ですネー！
曙,ちょ、ちょっと！離しなさいよ！
金剛,嫌だヨ～！素直な子は大好きデース！
曙,あ”～も”～！うざいってば！！
提督,おーおはよう曙お嬢！
曙,誰がお嬢様よ！このっ……まったく、呆れちゃうわね
提督,……どうした！？具合でも悪いのか！？
曙,ち、近いのよっ！離れなさいってば！
提督,すまん……だけどさ！いつものクソ提督はどうしたの！？
曙,……今日はそんな気分じゃないだけよ。じゃあね
提督,そんなバカな……。あの曙がクソ提督と罵ってこないなんて……
【島風,ひとりでかけっこ淋しいわぁ～♪
島風,おっはよーございまーっす！
提督,おはよう……朝っぱらから速いな……
島風,どうしたのー？金剛さんにフラれちゃった？？
提督,縁起でもないこと言うなよ……ん？金剛？
島風,あれ、やっぱり何かあったの？
提督,いや違うんだ。でもありがとうな
島風,えへへ～よく分かんないけど、どういたしまして♪。じゃあね、提督！
提督,おう！周り見て走るんだよ～。……さて、金剛に聞いてみるか
【提督,金剛ちゃんの時報いいよね
金剛,Goodmorning！提督ぅー。朝からかっこいいデース！
提督,おはよう。金剛もいつも通り綺麗だよ
金剛,キャー！提督ったら大胆ネー！
提督,はしゃいでるとこ悪いんだけど、聞きたいことがあるんだ
金剛,何デスカー？や、夜戦ならいつでもOKデスヨ……？
提督,そ、そうじゃなくて……昨日、曙に何か言ったりした？
金剛,……Yes,クソ提督って言わないでってお願いしたヨ
提督,あの子、素直に聞いてくれた？
金剛,私の気持ちを真っ直ぐ伝えたら、聞き入れてくれたネ！
【天龍,怒ってないですよ。俺を怒らせたら大したもんですよ
提督,そうか……金剛は、俺が馬鹿にされるのが嫌なんだよね？
金剛,そうだヨ。私の前で言われたら、流石に黙ってられないデース
提督,……実は、曙も好きで言ってる訳じゃないんだよ
金剛,What's!?どういうことなの……？
提督,他の人に見せると怒られそうだけど……仕方ないな
金剛,……？
提督,ちょっと待ってな
金剛,ケータイいじってどうしたの……？
提督,ほら、これ見てごらん
【曙,LINE交換しなさいよ。いいわよね？。提督、ご飯行きましょ♪
金剛,日付が結構前だネ
提督,金剛に言われる前から反省してたんだよ、あの子。俺の事を認め始めてから、申し訳なくなったんだって
金剛,……それでもクソ提督って言うの？
提督,あの子にも事情があるんだよ
金剛,二人の秘密ってやつデスカー……？
提督,そんなんじゃないよ。ただ、あの子はずっと俺にツンツンしてたから。急に呼び方を変えたら、不審に思われるよね？
金剛,たしかに……勘ぐっちゃいますネ
提督,でしょ？でも周りが騒ぐのを流せるほど大人じゃないんだ
【???,提督さん、待てますか。いいから待てるか答えて下さい
金剛,だからそのままクソ提督と呼んでるのネー……
提督,そういうこと。……だから俺は気にしてなかったんだよ。それどころか逆に嬉しいまである
【???,お前は知りすぎた
金剛,私ったら余計な事しちゃったネー……
提督,いや、俺が先に言えば良かったんだよ。ごめんな
金剛,それは違うと思うヨー？。あの子だってﾍﾟﾗﾍﾟﾗ喋ってほしくないはずデース。だから提督も言わなかったんだよネ？
提督,はは……参ったなぁ
金剛,もー相変わらずなんだから……でも、知っちゃった以上は謝らないとネ！。提督ぅ、曙ちゃんを呼んでくれマスカー？
提督,おっけー
【曙,なんで金剛さんが居るのよ……
曙,失礼します……あっ
提督,急に呼び出してごめんな。金剛が話あるってさ
曙,話……？
金剛,曙ちゃん……。ごめんネ？
曙,えっ……い、意味分かんない。なんで謝るの？
金剛,事情も知らないのに怒っちゃって、ごめんなさい
曙,事情……？
金剛,本当は提督の事、慕ってくれてるんだよネ？
曙,っ！クソ提督！あんた喋ったわね！？
【漣,やーい！ご主人の事好きなんだろ～！
提督,誤解されたままじゃ嫌だったからさ。曙は良い子だって、金剛にも知って欲しかったんだ
曙,……ふんっ！余計なお世話よ！
金剛,私は茶化したりしませんから大丈夫デース！。提督が慕われるのは、嬉しい事だからネー♪
曙,……はぁ。怒る気も失せてきたわ……。まったく、どんだけ提督好きなのよ……
金剛,曙ちゃんに負けないくらい好きだヨー？
曙,は、はぁっ！？あたしはそういうのじゃないってば！
提督,二人が仲良くなってくれて、なによりだよ
【提督,あ゛け゛ほ゛の゛ち゛ゃ゛ん゛か゛わ゛い゛い゛な゛あ゛あ゛あ゛あ゛あ゛
曙,どこをどう見たらそうなるのよ……
金剛,素直じゃないネー！でもそんな所も可愛いヨ～♪
曙,ちょ、ちょっと！顔くっつけないで！
提督,だよな～……ほら、クソ提督って呼んでもいいよ？
曙,あ”～も”～！！！/////
漣,失礼しまーす。ご主人様ー？
提督,やあ漣、何か用かな？
漣,……何してるんですか？
金剛,曙ちゃんを愛でる会デース！
曙,……もうやだしにたい
【比叡,気合い！入れて！止めます！
漣,なんだか、娘を可愛がる親バカって感じですね
金剛,ってことは、私達は夫婦ですネ！？
提督,いやー照れちゃうなぁ……
金剛,提督には夜も頑張ってもらわないとネー！
提督,そ、そういうのは小さい子の前では……
曙,漣、今のうちに逃げるわよ……
漣,えっでもご主人様に用事が……
曙,いいから！バカ夫婦はほっといていいの！
漣,ごしゅじんさまぁ～……
【最上,ボクもホモから逃げ切ったら10万円っていうビデオに出たことある……なんて冗談さ(暗黒微笑)
曙,なんとか逃げ切れたわね……
漣,本気出し過ぎですよお嬢さん……膝がgkbrなのです……
曙,仕方ないじゃない。また捕まりたくないもの
漣,……なんでああいう状況になったの？
曙,……色々あったのよ
漣,ふーん……ご主人と仲良くなったとか？
曙,そ、そんな訳ないでしょ！？誰があんなクソ提督！
漣,はいはい相変わらずですね～
曙,そうよ。クソ提督はクソ提督なんだから！
