石井芳彦,２０
教授,経済分析を正確に行うために用いられる概念が、需要の価格弾力性の概念です
石井,えーーと……。需要の価格弾力性＝－需要量の百分比変化率／価格の百分比変化率……か
テロップ,石井芳彦２０
教授,Rを収入、pを価格、Qを数量とすると、次のような式になります
石井,R＝pQ……か。難しすぎて、何を言ってるのかチンプンカンプンだ。でも、ミクロ経済学は必修だから単位を取っておく必要があるな……。今日の昼食は、このカレーパンだけにしよう。生活のために、金を切り詰めるしかない……。バイトでもして、もう少し生活に余裕を持ちたいな……。とりあえず、アルバイトの求人情報くらいは調べておこう
喪黒,やぁ、もしもし……
石井,な、何ですか！？あなたは……
喪黒,私ですか？私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
石井,……ココロのスキマ、お埋めします？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
石井,は、はあ……。そうですか……
喪黒,アルバイト探しの件で、あなたに役に立つかもしれない話があるんですよ
BAR,魔の巣
喪黒,ほう……。石井さんは、関東経済大学の学生さんですか
石井,はい……。俺がこの大学を選んだのは、学費でメリットがあったからなんですよ
喪黒,学費のメリットとは？
石井,関経大は、英検2級か簿記2級のどれかを持っていると、4年間授業料が免除されるんです
喪黒,なるほど……。コストの良さを踏まえた上で、進学を行ったってことですか
石井,その通りです。俺の実家はあまり裕福ではありませんし……。今の時代、大学を出ていないと就職で不利になります
喪黒,そうですか……。石井さんは、芯のしっかりした人のようですねぇ
石井,でも、親の仕送りが少ないから、生活費を確保するだけでも一苦労ですよ
喪黒,……分かりました。そんな石井さんのために、私はいいアルバイト先を紹介したいのですよ
石井,どんなアルバイトなんですか？それ？
喪黒,治験のアルバイトですよ。私は、あなたに治験のアルバイトをお勧めしたいのです
石井,治験のアルバイト……。まさか、新薬の実験とかその意味のちけんですか？
喪黒,はい。治療の臨床試験の略を意味する、その治験ちけん
石井,うわっ……、やっぱりその意味の治験ですか。もしも、身体に影響とか出たらどうするんですか！？危ないですよ！
喪黒,大丈夫です。治験の参加中に身体に副作用が出た時は、医療スタッフがしっかりした処置を行ってくれますよ
石井,そ、そうなんですか……
喪黒,それに治験の参加中は、規則正しい生活を送ることができます
石井,なるほど……。そういうことなら、治験のバイトに参加してもいいかもしれませんね……
喪黒,そうです！その調子！
石井,とはいえ……。治験バイトは募集したとしても、参加できる倍率が高めらしいですよね。問題はそれですよ
喪黒,心配いりません！石井さんは必ず、治験のアルバイトに参加します！！
石井,うわああああああああああ！！！。おっ、治験の案件が見つかった。申し込んでみるか……。これが事前検診か……。何か緊張するな……
医者,今回の治験は、新薬の有効性や安全性を確認するために行われます
