今日も頑張ってアイドルの原石を見つけに地獄へ赴く。,ｃｖ大塚明夫
P,というわけで今日はここ大学の構内へ来てみた。この間プールで早苗さんの撮影してた時に見かけてた娘がココの大学の水泳部に通ってるって聞いてきたんだが…どうしたものか。やけに騒がしいけど何かイベントでもやってるのかな？。まぁ今はそんなことはどうでもいい。さっそくプールの場所を知るために人を捕まえないと…と思ったやさきにイイ感じの娘発見！。あ、ちょっとそこのお姉さん！
カチューシャ女子大生,はい…なんでしょうか…？
P,この大学の室内プールってどの辺りにあります？
カチューシャ女子大生,それなら…あちらに進んだところに……。
P,お～ありがとう！
カチューシャ女子大生,いえ…それではこれで。
P,あ、ちょっと待って！きみよく見たら可愛いよね良かったらはいこれ！それじゃあ！！
カチューシャ女子大生,え、あっ……行っちゃった…CGプロダクション…私がアイドル…無理かな。
P,ん～なんだろう俺に黄色い歓声が凄いな…いや～俺はプロデューサーなのにこんなに注目集まっちゃってなんだか悪いな～。そんなこと言ってる間に着いちゃったよ。お～ここが例のプールか。以外に本格的だな。よーしじゃあちょっとおじゃまし…
警備員,お兄さんちょっと良いかな？
P,え？はい、どうしました？
警備員,お兄さんここの学生さんかな？もし学生さんなら学生証提示してもらえるかな？
P,学生証？すみません私学生じゃないんです。
警備員,あ～そうだろうと思いましたよ。
P,もういいですか？ちょっと急ぎの用で…。
警備員,ダメですよ。
P,またまたご冗談を～♪
警備員,冗談なんて言ってたら仕事になりませんよ。
P,あーもう一体何なんですか！私が何か悪い事しましたか！？
警備員,あーもうはこっちのセリフですよ！大体君は自分の格好を見てなんとも思わないのか！
P,格好？アナタもおかしな事を言いますね…私の格好の何が変だって言うんですか！
警備員,何って…ブーメランパンツ一枚にネクタイと靴下だけしか身につけてない格好の何がまともだって言うんだ！…どうみたって海パン刑事のなりそこないだろうが！
P,なっ！？海パン刑事とは失礼な！！私は水着の中からバナナなんて取り出しません！
警備員,問題はそこじゃねえんだよいいからさっさと出て行けハゲ！！
P,イテテテ…まったく。ちょっと髪の毛が少ないからってハゲだの海パン刑事だの扱いがゾンザイじゃないか。それにしてもこの格好ってそんなに変かな？。うーん…それにしても困ったな。これじゃあプールの中に入れないやどうしよう…。あ！アレを使おう！。ら～ぶ～だんぼ～る～cv大山のぶ代。この間のガチャの特典で当たったのがあったんだ…やっててよかった課金ガチャ！。それじゃあ早速…。うん！ちょっと大きいけどこれなら絶対バレないな。よ～しそれじゃあ再度突入だ！
警備員,ん？。なんだ気のせいか…。それにしてもさっきの変質者、凄い禿げてたな～。ありゃ周りもハゲにきにｓ…ん～？さっきから人の気配がするんだが…。やっぱり気のせいか。さっきの変質者のせいで色々敏感になってるんだろうなきっと。
P,ふぅ…危うくバレるところだった。さてとプールサイドにお邪魔しようかな。おぉ～コレが花の女子大水泳部。何処を見渡しても競泳水着…濡れて身体に水着が食い込みにけーしょんで…むふふ
櫂,みんなおつかれ～！…ん？あんた見ない顔だねそんなところで何やってんの？あ、もしかして変質者！？
P,えへへ～…お尻と水着がジャストワイビーでビームライフルがゼロカスタムだよ…むふふ
櫂,はっ！？えっちょっと何本当に変質者なの…それじゃあこんなことしてる場合じゃない直ぐに警備員呼ばなきゃ！
P,ちょっ違うんだ俺は変質者なんかじゃないんだよ実は俺はこういうもので。
櫂,なんで海パンから名刺が…なになに、CGプロダクション・・・あんたもしかしてスカウトってやつ？！
P,そうそう俺アイドルスカウトする人。気軽にPって呼んでね！キャハッ☆
櫂,うわぁ…いい年して自分の痛さに気づけ無いって重症だね。まぁ一応スカウトってことは信用してあげるけどココは関係者以外立入禁止だよ！さぁ帰った帰った！
P,やっちょ…そこを何とか！
櫂,何とかって言ってもねぇ。だってさっきそこでヨダレ垂らしながらウチの娘たち見てたようなさっき会ったばかりの変質者を入れておくわけには行かないの！！
P,くぅ～ん…くぅ～ん…
櫂,そんな犬の真似したってダメだよ。だいたい海パン刑事みたいな格好してたらどう考えても怪しむに決まってるでしょ馬鹿でしょアンタ。
P,嫌だい嫌だいアイドルにスカウトするんだい！
櫂,あー駄々こねちゃったよ…はぁ～、ねぇアンタなんでそんなにスカウトしたがるの？
P,お、よくぞ聞いてくれました！
櫂,立ち直り早いね。
P,俺は一目見た時にティンと来たんだよ！この娘ならアイドルとしてやっていける、アイドルというダイヤになるために生まれた原石だってね。
櫂,てぃ…ティンねぇ。でもうちの子じゃなくても他にもダイヤの原石なんてそこら中に居るんじゃない？
P,うんもちろんアイドルになれる素質を持った娘は探せば何処にでも居るよ。さっきココに来るときにも１人声をかけてみたしね。
櫂,へぇ～あんなにココの娘をスカウトする駄々こねてたのに来る途中に１人声かけたんだ…じゃあその娘にアイドルになってもらえばいいやん？
P,その娘とは偶然出会っただけだからまた今度本格的にスカウトするつもり。今回はココの娘！
櫂,アンタも強情だねー。それでアンタがティンときた娘をなんでそんなにアイドルにしたがってるの？
P,あーそれねうん…実は俺はその娘を見たことは一度しか無いし話したことも無かったんだけどね。
櫂,あー…この際一度しか見たことなくて話したこともない相手がなんでここの水泳部だったか分かったのかは聞かないでおくよ。
