闇の深いＰ(以降Ｐ表記),おー、ペイントボール頼むわ
芳乃,頼まれましてー。…外れましたー
Ｐ,エリアどこだ？
芳乃,７でしてー
Ｐ,もうすぐ着くわ。…お、見つけた見つけた
芳乃,そなたー
Ｐ,んー？
芳乃,ペイントボールがー、当たりましたー
Ｐ,おっそ
みく,みく達も到着にゃ！
ありす,４人揃いましたね
Ｐ,よーし、それじゃあ身包み剥がそうぜ！
ありす,物騒すぎますよ
みく,そこは一狩りいこうぜ
Ｐ,橘さんは上位は初めてなんだっけか
ありす,ありすです。…ええ、まあ。このゲーム自体始めて間もないので
みく,最近事務所でブームだもんにゃあ、モンハン
Ｐ,今更ブームっていうのもどうかと思うけどな。今の時期は断然パロディウス
みく,何十年前のブームだにゃっ！？
芳乃,あー、尻尾でびたーん、ってされましたー
ありす,お２人とも、喋っていないで集中してください。芳乃さんがやられてしまいそうです
Ｐ,だってよ、真剣にやれよみく
みく,ありすチャンは今お２人
Ｐ,あとでパロディウスやらせてやるから
みく,求めてないにゃ！
芳乃,うあー、またびたーん、ってされましてー
Ｐ,芳乃さん芳乃さん。太刀ではガード出来ないって言ったじゃん
ありす,粉塵使いますね
Ｐ,よっしゃ突撃じゃあ！
みく,Ｐチャン邪魔にゃあ！今みくが溜めてるのにっ！
ありす,そういうみくさんも私の射線に入らないで下さい！
芳乃,あーうー…またびたーん、でしてー
Ｐ,お前ら仕事ではチームワークいいのにどうして協力プレイだとこんなグダグダになるんだ
みく,そういうＰチャンは何でみくの目の前に大タル爆弾置くのにゃあ！？
ありす,さっきから全然当たりません…みくさんにしか
みく,うぎゃーっ！背後から撃たれてそのまま爆砕されたにゃあ！
Ｐ,あ、でもジンオウガも巻き込んだぞ。怯んだっ、今だ野郎ども！
ありす,この中で野郎はプロデューサーだけですけどね
芳乃,切れ味がー、落ちてますー。砥石はー砥石はー
みく,ジンオウガより味方が恐いってどういうゲームなのにゃ
Ｐ,喰らえっ喰らえっ
みく,Ｐチャンはどうしてさっきからキックしてるのにゃ！それで倒す気かにゃっ！？
ありす,リロード完了です。発射！
みく,そしてみくが撃たれるのにゃあ
Ｐ,お前らがふざけてるうちにジンオウガ起き上がっちゃったぞ
芳乃,間違えましてー、ドリンク飲んでしまいましたー
Ｐ,うぉぉヤバいヤバい帯電モードになりやがった
みく,うにゃああ！バリバリされたにゃあ！
ありす,こっちに来ないで下さい！こっちに来ないでください！
芳乃,うー…追いつけないのでしてぇー
Ｐ,芳乃、武器をしまわないと走れないぞ
みく,うにゃぁー！避けきれないにゃあ！
ありす,尻尾びたーん来ました！
芳乃,そなたー、そなたー、お膝に乗せてくださいましー
Ｐ,はいはい。ちょろコンビがボコられてる隙に回復しような
ありす,やりましたっ！散弾命中してまた怯ませましたよ！
みく,当然のようにみくにも当たってるけどにゃあ？
Ｐ,よーし、畳み掛けるぞ芳乃
みく,はいー、熱血、必中、幸運、努力でしてー
Ｐ,ゲーム違う
みく,みくさっきからフレンドリーファイアばっかりでろくに戦ってないにゃ！
Ｐ,行くぞ芳乃、橘さん、ジンオウガ！みくに集中攻撃だ！
芳乃,はいー
ありす,ありすですっ！
ジンオウガ,頑張ります！
みく,ターゲット向こう！みく仲間！フレンド！
Ｐ,ターゲットの討伐に成功しました
ありす,お疲れ様です
芳乃,お疲れ様でしてー
みく,みくが３乙しただけにゃ！しかも２回は爆破されたし！
Ｐ,３回目に居たっては橘さんが仕掛けた大タル爆弾で吹っ飛んだところを尻尾びたーんだったもんな
ありす,ありすです。良いコンビネーションでしたね
みく,モンスターと息を合わせてどぉーするにゃあ！
芳乃,落ち着いてくださいー。はいー、お茶でしてー
みく,あ、ありがとにゃ。っていつの間にかＰチャンのお膝の上！？
Ｐ,さて、次はどのみくを狩りにいく？
ありす,そうですねぇ…亜種でもいきますか？あ、それはそうと後で私もお膝に乗せてくださいね
芳乃,ここはー、私の特等席でしてー
Ｐ,だ、そうだ
ありす,ぎるてぃ
みく,…あ、もしもし凛チャン？今日って暇かにゃ？うん、ちょっとツッコミが足りなくて…
Ｐ,よーし、亜種いくぞー
みく,ちょっと待つにゃ、今度は武器変えるにゃ
芳乃,ではー、私は今度は狩猟笛でー
ありす,私は別にこのままで…
みく,ありすチャンは射撃系禁止にゃ
ありす,何でですかっ！
みく,お前の罪を数えろにゃあ！
Ｐ,今更数え切れるか
ありす,仕方ありませんね…では今度はハンマーでいきます
みく,みくは操虫棍でいくにゃ
Ｐ,用意はいいか？俺はできている
みく,出陣にゃー！
ありす,あ、コレ終わったらお膝、お願いしますねプロデューサー
芳乃,
Ｐ,だ、そうだ
ありす,じーざす
みく,はよせーや
Ｐ,うりゃあフルバースト！
ありす,流石ですプロデューサー！ダウンさせました！
芳乃,畳み掛けるのでしてー
みく,当然のようにみくも巻き込まれたけどにゃあ
Ｐ,クカカカカ、今宵のガンランスは前川の血に飢えて居るわ
芳乃,前川ー、お覚悟をー
ありす,前川の頭部破壊狙いますっ
みく,オマエラ実はこれ協力プレイと見せかけたイジメだにゃ？そろそろ泣くけどいいのかにゃ？
Ｐ,ほら何やってんだ、今がチャンスだお前も攻めろジンオウガ
みく,みくはみくだよっ！？
ありす,ああっ、起き上がられました！
芳乃,うあー、前足でばちこーん、されましてー
みく,飛び乗り狙うにゃあ！ちよっと退いててにゃ！
ありす,はいっ
Ｐ,おうっ
みく,よーし任せるにゃあって大タル爆弾仕掛けてんじゃねぇにゃあ！
Ｐ,凄ぇ、飛び掛ったと思ったら爆発に吹っ飛ばされた
ありす,戦闘員みたいなやられ方ですね
芳乃,たーまやー、でしてー
みく,ホントすっげぇ吹っ飛んだにゃあ！エリアチェンジしちゃったにゃあ！。今度こそ…っやったにゃ！乗ったにゃ！
Ｐ,よっしゃ今だ集中攻撃だ！
芳乃,いてまえー、やってまえー、でしてー
ありす,この距離ならバリアは張れませんねっ！
みく,お前等ワザとやってるにゃあ！？うにゃあっ！振り落とされたにゃあ！
Ｐ,よーし前川が落ちたぞ。龍激砲構えっ
芳乃,この隙はー、逃しませんー
ありす,前川覚悟っ！
ジンオウガ亜種,頑張りますっ！
みく,仲間とターゲットが足並み揃えて向かってくるんですけどー！むーりぃー！
Ｐ,またみくの３乙か
ありす,みくさん、モンハン暦そこそこ長い筈ですよね
芳乃,びたーんって、バリバリーってされましたー
みく,やぁぁってられるかにゃあ！。何なのにゃっ！何なのにゃっ！？みくが一体何をしたっていうのにゃ！
芳乃,みく殿ー、落ち着いてくださいましー
