緒方智絵里,……あれは、3人でファーストフード店にお昼を食べに行った時の話です
智絵里,わたしたちは、レジに並びながら、メニューを見て何を頼もうかと話していました。”ポテトが安いね””こっちのセットはクーポンで安くなるから”など、軽い意見交換をして、それぞれが何を頼むか決まった、その時です……。メニュー表の端に、朋さんの目が留まったんです。”ハッピーセット”。……そうです、お子様向けのメニューで、量の少ない料理におもちゃがついてくるセットです。……そのおもちゃでした。その日のラインナップは、”開運！レインボーチンアナゴ！全5種。……は？。知っていますか？チンアナゴ。……いえ、とっても可愛いんです。ありすちゃんも水族館のお仕事の時にぬいぐるみを抱えていましたし……。ただ、レインボーです。……なぜ？これくらいの……手に乗るサイズのチンアナゴのフィギュアが、七色に塗られていて……。それが5種……！？違いが全然わからなくて……。ガチャガチャの景品とかならまだしも……。結果的に、わたしとほたるちゃんが止めたので朋さんがそれを頼むことはありませんでしたが……あの目は本気で買おうとしていた目でした……
白菊ほたる,……あれはまた別の日……、いつもは利用しないスタジオでお仕事があって、3人で電車移動をしていた時です
ほたる,慣れない移動でしたし、何かトラブルがあるといけないので、少し余裕を持って、駅のホームで立ち話をしながら、電車を待っていました。その時です。私たちが乗ろうとしている1番線ではなく、反対側の2番線に電車が入ってきました。いえ、それ自体は珍しいことでも何でもありません。目的の電車ではないのですから、気にも留める必要はないのですが。ふと、朋さんを見ると、その電車に目が釘付けになっていて……。どうしたんだろうって、思ったんです。そうして、私もその電車を見てみると……。……よく、企業と鉄道会社がタイアップすること、ありますよね？その場合に何をするかと言えば……そうです、ラッピング車両というものです。その車両は、どうやらどこかの企業のラッピングがされたものだったらしく……航空会社……だったでしょうか？詳細は忘れてしまいましたが……。そうです。虹色に……車両が……。別に、釘付けになっていただけならいいんです。しかし、次の瞬間、朋さんがその車両にふらふらと……！。そしてそのまま、ドアの中に……は、阻止しました。私と智絵里さんで。そのまま乗っていたら逆方向……！遅刻は確実でした……。朋さんは”じ、冗談よ！”と仰っていましたが……そうは見えず……
智絵里,朋さん、普段はすごく頼りになるお姉さんなんです……けど……
ほたる,こういう、運勢がらみの話になったり、ラッキーカラーを全部網羅できる”レインボー”という概念が絡むと……なんというか……ポンコ……お茶目さんに……
智絵里,そこで、わたしたちは考えたんですっ
ほたる,それがこちらです。智絵里さん、フリップを……
智絵里,はいっ。朋さんとずっと一緒にいるわたしたちだからこそ、こういう攻めた検証ができるような気がします
ほたる,はい。どう思いますか？
智絵里,どう思いますか？
ほたるの元先輩で現在はカフェの店員さん,……は？
ほたる,どう、思いますか？
店員,私、あんた達の注文を取りに来たんだけど？
智絵里,やっぱり、先輩さんも同意してくれますか……！
店員,話を聞け
ほたる,私たちの気持ち、わかってくださいましたか？
店員,むしろ注文票を片手に構えてたらいきなり回想が始まった時の私の気持ち、わかる？。もう一度だけ言うわ。ご注文をどうぞ
智絵里,なんと、今日が朋さんの誕生日なんですっ。検証にはぴったりですよねっ
店員,もしかしてあんた達、耳ついてない？
ほたる,こちらの紙袋には、私たちがいろんな場所で集めたレインボーの商品がたくさん入っています
智絵里,この後、ここに朋さんを呼んでいます。そこで、これらのレインボーのものを渡して、どこまでなら喜んでくれるのか、調べますっ
店員,追い出されるのと自分から出てくの、どっちがいい？
ほたる,では先輩に1つだけ先行してお見せしましょう……
店員,別に興味ないし……
ほたる,虹色のトカレフです
店員,序盤からデスゲームの様相を呈すな。銃刀法違反か威力業務妨害かどっちで起訴されたい？
