大学選抜のときにぽつりと,行きたい
しほ,…………
優花里,…………
みほ,あっ
優花里,どうしました西住殿？スマホ見て固まっちゃって
みほ,急用ができました
優花里,えっ
みほ,限定新作ボ…エリカさんが危篤になって最期にわたしに会いたいって
優花里,こんなに誤魔化しがヘッタクソなひと初めて見ましたよ
みほ,大丈夫！一時間くらいだから！パパっと帰るから！
優花里,逸見殿が危篤だって設定はどこに行ったんですか！いくら逸見殿でもはい顔見せましたさようならってパパっと帰られたら泣くと思いますが！？
みほ,一人じゃないからいいでしょ？
優花里,それが問題なんですよおおおおおおお！！！
みほ,ああ、うん。と、とにかくじゃあね！
優花里,西住殿おおおおおおおお！！！！
しほ,…………
優花里,なぜ一言もしゃべらないのですかぁ！。確かに言いましたけど！西住流家元を見てみたいって！でもそれは動物園でパンダを見たい的なものであってパンダと同じ檻に入りたいって意味じゃねえんですよ！。早く帰ってきてくださいいいいいい！！！
しほ,…………。秋山さんといったかしら
優花里,ひゃ、ひゃい！
しほ,……みほは、どうかしら？
優花里,…へ？どう、とは
しほ,ああ、なんといいますか、大洗での生活ぶりについてです
優花里,は、はぁ…。ええと…真面目に学業と戦車道に励んでいますよ
しほ,そんなことはわかっています。私の娘なのですから
優花里,そ、そうですよね…
しほ,…食事はちゃんと摂っていますか？
優花里,え、あ、はい。食事を抜いているところはあまり見ないです。コンビニ弁当が多いですが…
しほ,……コンビニ弁当？
優花里,余計なこと言ったかもしれないです
しほ,そうですか……。…………
優花里,また無言です…これってもしかして、わたしが話題振る感じなのでしょうか。い、家元殿はお若いですよね～
しほ,そう、ありがとう…
優花里,なに言ってんですか私は！うっかり実家の理髪店の癖が！
しほ,今でも夜の生活は欠かさないようにしているからかしらね。ホルモンが出てるのよ
優花里,そ、そうですか…娘の友人に何言ってんですか！
しほ,みほはちゃんと夜寝ているのでしょうか。まさか、彼氏なんてできたり…
優花里,いえ…そのような話は聞かないですね…
しほ,そう
優花里,…もしかしてただ西住殿が心配なだけなんでしょうか？
しほ,みほは…いじめられたりはしていないわよね？
優花里,え、うーん…いじめられたと言えば、いじめられたでしょうか。会長殿と最初に会ったときに
しほ,言い淀んでいるわね
優花里,おわっ！
しほ,正直に言いなさい…
優花里,怖い怖い怖い！。そ、そのぉ～…戦車道をやるかやらないかって話になったとき、ちょーっと、ちょーっとだけ、ゴタゴタがあったかなぁ～、なんて
しほ,わかったわ
優花里,え、なぜ電話を
しほ,私よ。みほが戦車道を履修する際にトラブルがあったらしいわ。徹底的に洗いなさい。以上
優花里,……どちらに電話を
しほ,気にしなくて結構よ。大洗に二十人ほど部下を送り込んでいるだけだから
優花里,。会長殿…ごめんなさい…せめて生きていてください…
しほ,ふう。そういえば、あなたの試合を見たことがあるわ
優花里,え、そうなんですか？
しほ,ええ。一応、全試合に目を通しています。あくまで西住流家元としての務めですが
優花里,あ、ありがとうございます…素直に西住殿が心配だって言えばいいですのに
しほ,…装填は貴方かしら？
優花里,は、はい！ご存知だったのですか？
しほ,いえ、勘よ。この道も長いですから。腕が太いですしね
優花里,あ、確かに…着られる服が少なくなったことがちょっと不満ですかね
しほ,ふふっ。懐かしいわね。私も若い頃は悩んでいました
優花里,そうだったんですかぁ家元殿にもそういう時代があったんだなぁ
しほ,あなた、かなり筋が良いわよ。これからも精進なさい
優花里,！あ…ありがとうございます！！
しほ,…案外、みほの指導が良かったのかしらね
優花里,そりゃあもう…あ、他にも陸自の蝶野教官にも教わりましたね
しほ,あら、懐かしい名前ね。蝶野は昔ここで戦車道を学んでいたのよ
優花里,そうだったんですか
しほ,小さい頃はしほお姉ちゃんしほお姉ちゃんって、トイレにまでついてきてかわいかったんですよ
優花里,へえ、今の姿からは想像つかないです
しほ,蝶野も立派になったわよねえ。あなたから見てどう感じた？ちゃんといい子してますか？
優花里,あはは…いい子ですか…。うーん…豪快なひとって感じでしたねえ。初めて会ったときも、戦車なんてバーッと動かしてドーンと撃てばいいって、いきなり戦車に乗っけちゃうくらいで
しほ,…戦車なんてバーッと動かしてドーンと撃てばいいですって？
優花里,あっ
しほ,成程。とてもよくわかりました。ありがとうございます
優花里,ごめんなさい蝶野教官殿…骨は拾ってあげます…。わ、話題が尽きたぁ～……どうすればいいんでしょう……
しほ,……お茶は冷めていないかしら
優花里,あ、お気遣いありがとうございます。大丈夫です。むしろわたしが淹れます！
しほ,落ち着きなさい。あなた茶葉の場所とかわからないでしょ
優花里,そ、そうでした…
しほ,肩の力を抜きなさい。今の私は西住流家元ではなくみほの母親で、あなたはゲストなのですから
優花里,肩の力を抜けですか……。……わかりました、お言葉に甘えさせていただきます
しほ,どうぞ
優花里,……あの
しほ,なにかしら？お茶のおかわり？
優花里,いえ…。家元殿は西住殿、ああ、みほさんのことが、その…心配なんですよね？
しほ,……親ですからね
優花里,…………部下に見張らせたりするよりもご自分で、その…心配してるということを伝えてもいいのでは？
しほ,……
優花里,！？。い、いえ！あの、で、出過ぎた発言をしてしまいました！まことに申し訳ございません！！
しほ,……いえ、あなたは正しいことを言っています
優花里,へ？
しほ,ですが、西住流の頂点に立ち、西住流を体現し、西住流を背負って立たねばならない私は……母親ということを忘れねばならないときもあるのです
優花里,……
しほ,非常識。母親として失格。自覚はしているのですが、この地位に着くまでに多くの人間を倒しその屍を踏んできました。敵をつくり過ぎました。……隙を見せれば、みほとまほもろとも、何もかも奪われてしまうかもしれないのです。……言い訳ですね
優花里,……はい。言い訳です。みほさんとちゃんと話し合うことくらいは許されるのではないでしょうか…
しほ,うん、そうよね…
優花里,わたしはただの一般家庭の娘です。見える世界は違います。出過ぎた意見であることに変わりはありませんが…
しほ,いいのよ、ありがとう。あなたが友達でみほは幸せね
優花里,あ、ありがとうございます…///
みほ,ただいま～
優花里,あ、みほさんがお帰りですよ家元殿
しほ,そうね。ほら、おばさんはほっといて迎えに行ってあげなさい
優花里,え、でも…
しほ,…後で、後でね。みほとはちゃんと話し合うから大丈夫よ
優花里,は、はぁ…わかりました…
みほ,ごめんね優花里さん、ほっといちゃって
優花里,ほんとですよ。びっくりしちゃいました
みほ,あはは……ねえ、優花里さん
優花里,はい？
