馬渡速雄,４２
テロップ,馬渡速雄４２
支店長,馬渡社長、ありがとうございます。今回も、返済をしっかり果たしてくださって――
馬渡,いえいえ。こちらこそ、支店長には本当に感謝していますよ。毎回、融資の頼みを引き受けてくださって――
支店長,馬渡社長とは、これからも末長くお付き合いしていきたいですね
馬渡,私の方も、望むところですよ
支店長,馬渡速雄、ソニックフュージョン社長。広告やイベントの総合プロデュース業……か
馬渡,はい、馬渡です。今、会場に向かっているところですよ
ステージの後ろのパネルには、スポンサー企業の名前がいくつも記されている。,ソニックフュージョン
馬渡,よし、今日のイベントはうまくいったな……。この間のレース、駒田さんの馬が重賞で勝利したそうですね
駒田,馬主になって12年、待望の初勝利ですよ
テロップ,駒田直人４７
ホステス,駒田社長、おめでとうございます
駒田,ありがとう。重賞の勝利で、競馬の魅力をますます実感しましたよ
馬渡,何と言っても、馬主になると馬への思い入れが増しますからね
ホステス,ところで、馬渡社長も確か馬主でしたよね？
馬渡,ええ。私の馬主歴は3年ですよ。私の馬は、何度もG1レースに出場してはいるんですけど……
喪黒,…………。こんばんは、馬渡社長
馬渡,あなたは一体……
喪黒,私ですか？実はさっき、お店であなたを見たんですよ。実は私、こういう者なんです……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
馬渡,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
馬渡,セールスマン？この私に何を売りつける気なんですか？
喪黒,あなたにいい話があるんですよ。競馬のことで、役に立つかもしれない話が……
馬渡,競馬……。クラブの中で、私の会話を聞いていたのですね
喪黒,はい。いい店を知っていますから、そこでゆっくり話でもしましょう
BAR,魔の巣
喪黒,馬渡社長は、自身の競走馬を所有しているそうですよね？
馬渡,はい。馬主になることは、社会的なステータスと言っても過言ではありませんよ
喪黒,まあ、馬主になる有名人は多いですよねぇ
馬渡,そうです。競馬は本当に面白いスポーツですよ
喪黒,ええ。競走馬は、多くの人たちの想いを乗せて走っているのです
馬渡,おっしゃる通りです。ですが、それだけではありません。競馬の魅力とは、代々受け継がれる血統の魅力にもあります
喪黒,だから、奥が深いスポーツなんですよ。競馬というものは……
馬渡,ええ。馬好きが高じて、私は3年前に馬主にまでなりました。ですが、まだG1レースで1勝もできていないんですよ……
喪黒,馬主として成功をするというのは、非常に難しいですからねぇ
馬渡,そうなんですよ。有名人が馬主になった場合は、レースで結果を残せずに撤退した例が多いんです
喪黒,社長も、馬主としてG1レースを制覇したいですよね？
馬渡,もちろんですよ。馬主になるのは経費がかかりますけど、賞金の大半を手にする権利も得ることができます
喪黒,レースで勝つことができれば、莫大な資金を手にすることだって夢ではありませんからねぇ
馬渡,ええ。一獲千金の夢……。これは、起業家としての魂にも通じますからねぇ
喪黒,私が何とかしましょう
馬渡,えっ！？
喪黒,実はですねぇ、私はある牧場と知り合いなんですけど……。そこには、優秀なサラブレッドの馬がたくさんいるんです
馬渡,……ということは、まさか
