モバマスより小日向美穂,たぬき
Ｐ,フムン
美穂,プロデューサーさーん
Ｐ,ん～～～～…………
美穂,プロデューサーさん？あのー、ぷろでゅーさーさーーんっ
Ｐ,んむむむむむ…………ん？
美穂,あっやっと気付いた。どうしたんですか、考えこんじゃって？
Ｐ,うん、ちょっとな。ケーキのことを考えてた
美穂,ケーキ？
Ｐ,うちの子達の誕生日は毎回事務所で祝ってるけど、みんな色々やってくれてる割に俺だけ何もしてない気がしてさ。なのでここはひとつ、おっさんなりにケーキの一つでも作り方を覚えてこう、当日にお出しするのはどうだろうと考えていたんだ。美穂の誕生日も近いしな。そのへん美穂はどう思う？
美穂,ぇ、あ、いいと思います
Ｐ,そうか、そう言ってくれるか！いやー良かった良かった。……………………
美穂,………………
Ｐ,相談する相手間違えた…………………………！！！！！
美穂,私聞いて良かったのかな…………………………！！！？？
Ｐ,あ！！いや！？うん！！一般論としてな！なんていうかホラ、日本男児たるものケーキ作りは嗜んでおこう的な、な！？
美穂,はっはい、あっえとそうですよねっ、ケーキ作りは基礎教養ですもんねっ！わ、私もちょうど勉強しようと思ってたところでっ！
Ｐ,ははは奇遇だなあ！だよなぁみんなそうだよな！どうせなら一緒に勉強するか！？
美穂,あっあっいいですねっはい！一緒においしいケーキ作りましょうっ！
周子,ほーん。それで美穂ちゃんのバースデーケーキを作る為に、成り行きで美穂ちゃんとお勉強
Ｐ,…………うん
周子,ごめんちょっと言わせて。あほか？
Ｐ,うっうるせーし！そんなん自分でもわかってっし！
周子,んまあ心がけは大したもんやと思うけど。でも流れとはいえ前日デートになるわけだ。やるやんこのこの
Ｐ,そういうんじゃねーしちげーし
周子,そういや美穂ちゃんっていくつになるんだっけ？
Ｐ,ん？１７だろ
周子,……こないだまでの美穂ちゃんっていくつだった？
Ｐ,１７だな
周子,はい先生、こないだ誕生日を迎えた１８歳のあたしですがひとつ質問が
Ｐ,それ以上いけない
――どこかの,夜市
Ｐ,えーと確かこの辺りに……
美穂,あ、あった！あれですあれです！
Ｐ,夜市のどこかにある、メルヘンなテント。うん、間違いないな
美穂,藍子ちゃんがお菓子作りのお勉強なら、やっぱりここが一番ですよ！って教えてくれた夜市のお菓子屋さん……。私は一回、バレンタインの時に来たことがあるけど……
Ｐ,藍子の地図が無ければ迷ってたな。お、あれは――
りす,りすくぼは今日もお菓子の配達……飛ぶのはちょっと楽しいんですけど……
美穂,空飛ぶホウキに乗ってきた……！
Ｐ,おーい、りすさん！
りす,ふぇぇ！？あ、い、いらっしゃいませぇ……
美穂,久しぶりっ。あのね、実は今日も相談があって来たんだけど――。改めて、バレンタイン以来だね
りす,はぃ……話は、だいたい伺いました……。たぬきさんの誕生日ケーキを作るために、たぬきさんがケーキ作りの勉強を……。……な、なにやら矛盾があるような、ないような……
美穂,そこはまあなんというか、成り行きで……
りす,なりゆきとは一体ぃ……。……あ、クロさん、このあいだはお世話になりまして……
Ｐ,いえいえそんな当然のことをしたまでだよ
美穂,え？クロさん？
Ｐ,ああ、夜市での俺のあだ名。着てるスーツが黒いからってだけなんだけど
美穂,なるほどぉ、わかりやすいですね！。…………って夜市に来たことあるんですか！？
Ｐ,あれ言ってなかったっけ。何回かあるぞ俺も。りすさんとはこの間来た時に会ったんだ
りす,迷子になっていたのを、助けてもらいました……
美穂,ど、どうりで歩き慣れてるな～と思ったら、そうだったんですね……！
？？？？,りすちゃん！おかえり～っ
りす,あ、マカロンさん……。ただいま戻りました……
マカロン,大丈夫だった？道、ちゃんとわかったかなぁ……あっ！お客様！
うし,いらっしゃいませ～。今日は何かお探しですか～？
ドーナツ,オススメはドーナツだよっ！あのね、クリスマスアレンジが今日から出るの！
美穂,みんなこんばんわっ。実は、何回も申し訳ないんだけど……
マカロン,なるほど。うん、お菓子作りだったら私達に任せてっ！
ドーナツ,あたし達がお手伝いできることあるー？
美穂,ううん、大丈夫！二人でいろいろ試してみたいの。ね、プロ……じゃなくて、クロさんっ
Ｐ,え？ああ、そうだな。うん……う～ん……？
美穂,クロさん？
うし,？私に何かご用ですか～？
Ｐ,この長身と、ボーイッシュで快活な印象の童顔……そして何より迫力満点の爆乳……。な～んかどっかで見た気がするんだよなぁ～……。…………あ！もしかして他部署の、セクギルの及
うし,え～いっ♪
Ｐ,１０５センチＫカッププレスーッ！？
美穂,クロさーんっ！？
りす,ひぇぇぇぇ……！顔が完全に埋まってるんですけどぉ……！！
うし,表での名前は夜市ではナイショなんですよ～？
Ｐ,もごもごかごがもごもががもごごもがぐごはいすいませんわかりました柔らかい
マカロン,わわわ、その辺にしてあげてぇ～！
美穂,な、なんでちょっと幸せそうなんですかもーっ！
マカロン,おほんっ。えーとそれでは、お菓子作りの練習に来たってことでいいんだよね？
美穂,う、うん。あれ？そういえば、アップルパイさんは？
ドーナツ,厨房！今すっごく集中してるから、出て来られないんだー
Ｐ,それは邪魔できないな。あれ？じゃあ厨房はお借りできないんじゃ……
マカロン,ううん、大丈夫です。副店長としてアレの使用を許可しちゃいますね！
美穂,ア？
Ｐ,レ？
マカロン,ごそごそ……はいっ、これ！
美穂,箱？何か入ってるの？
りす,これは、マカロンさんのお菓子箱といいます……
Ｐ,お菓子が入ってるのか
ドーナツ,んーん、違うよ。そうだけど違うの！
美穂・Ｐ,？？？
マカロン,最初はちょっとびっくりするかもだけど、大丈夫だから。クロさんもいいですか？
Ｐ,あ、ああ……どうすればいいんだ？
マカロン,今からお菓子箱を開けますねっ。そーっとそーっと……
美穂,え！？な、な、なにっ！？
Ｐ,箱の中に吸い込まれ……っ！？
うし,二人とも入っちゃいましたね～
ドーナツ,お部屋の中って片付いてたっけ？
マカロン,りすちゃんの修行の時以来だからえーと……しばらく使ってないかも。どうだったかなぁ
りす,ええと、それじゃあわたしは、アシスタントに入りくぼ……
