モバP(以下P),あー、疲れた……そういや、久しぶりに家に帰ってきた気がする
P,はぁ、明日も朝早いし早く寝よう。おやすみなさーい。ぐぅ……。う、うあっ……な、なんだ？今の嫌な音は……。ひゃぅ！？じ、地震か！？。か、かなり揺れが大きいぞ！？このボロ家じゃ壊れるかもしれん。とりあえず、避難しないと！。ふぅ。いつもの癖でついスーツに着替えてしまったぜ、って……なんじゃありゃー！？
小型神話獣,
市民,に、逃げろー！！バケモノだ！！
P,あれって確か、ニュースでみたやつ…？。海外の話だとばかり思ってたけど、日本でも見れるなんてラッキー！。せっかくだしスマホで撮影しとこう。インスタ映え、インスタ映え。じ、じゃなくて！冗談じゃねぇー！！あんなのに捕まってたまるかよ早くここから逃げないと！
小型神話獣,
P,ち、ちょっと待て！なんかこっち来るぞ！？
小型神話獣,
P,び、ビルぶっ壊してこっちに来てる！？ヤベー、こうしちゃいられん！早く安全な所に逃げなきゃ！。で、でも安全な所ってどこだろう？近くの学校の体育館とか？でもあんな奴が来たら体育館でもヤバイだろ。ええいっ、とりあえず走れ！
小型神話獣,
P,なんかあのデカブツ、俺を追っかけて来てる気がするんだが！？ふざけんな！俺にモンスター趣味はねぇんだよ～っ！！
小型神話獣,
P,はぁ……はぁ……も、もうね、無理。走れないって……限界っす……。デカブツも迫って来てるっていうのに……ちくしょう、足が動かない……。俺……このまま……死ぬのかなぁ……
？？？,……さんっ！！
P,なんだぁ……？どこかで聞き覚えのある声が聞こえる……
？？？,ブロデュサーさん！！
P,この声は卯月だな？……まったく、最後に聴こえる声が卯月って……やっぱり卯月は天使だったのか……
卯月,ブロデュサーさん！！しっかりしてくださいっ！！
P,ええっ、ほ、本当に卯月！？
卯月,はいっ。島村卯月、プロデューサーさんを発見しました！
P,いや、それは嬉しいけど……いったいどこから声が？
卯月,ここでーすっ！！上ですプロデューサーさんっ！
P,上？……な、なんだあのカッコいい飛行機は！
卯月,今そっちに行きますからねっ！
P,卯月！？卯月が乗ってるのかその飛行機に！？
卯月,はいっ、えへへ、助けに来ましたプロデューサーさん！
P,う、卯月……おまっ、飛行機の免許なんて持ってたのか！もう少し早く言ってくれればパイロットアイドルとして売り出したのに！
卯月,あ、あはは……えっと、詳しい事は後で話します！。とりあえず、プロデューサーさん乗ってください
P,お、おう…でもどうして卯月が
卯月,急いでくださいっ！神話獣が迫って来てます！
P,わ、わかったよもう！
卯月,少し狭いので、気をつけてくださいね？あとボタンとかには触れないようにお願いします
P,お、おうっ
卯月,しっかり捕まっててくださいね。それと、この空域を離脱する前にあの神話獣を破壊します！
P,は、破壊する！？ち、ちょっと待って、なにそれ聞いてないよ！？
卯月,ベクターキュート、発進します！
P,卯月、ちょっ、とぉぉぉ！？
卯月,舌を噛むので、あまり喋らない方がいいですっ
P,も、もう噛んだよ……
小型神話獣,
卯月,これ以上、好きにはやらせません！！。照準、セット。えぇいっ！！
小型神話獣,！？！？
卯月,やりましたっ。神話獣撃墜です！
P,す、すげぇ……
卯月,こちら、ベクターキュート島村卯月。神話獣から避難していたプロデューサーさんを保護しました、はい了解です、帰投します！。と、いうわけなので！プロデューサーさん、一緒に来てもらえますか？
P,来てって、どこに？
卯月,プロダクションですっ！
P,まさか事務所の地下にこんな施設が……
卯月,普通の方々には知らされていませんから、ここを知っているのはごく一部の人だけです
ちひろ,その通りです
P,ち、ちひろさん！良かった、無事だったんですね
