モバマスより小日向美穂,たぬき
Ｐ,ちひろさーん。こっちのファイルどこでしたっけー？
ちひろ,そこの棚の一番右上ですー
茄子,神棚のお掃除終わりました～
奈緒,この衣装ってどこに返せばいいんだー？
フレデリカ,うえきちゃんって放置で良かったっけ～？
志希,ひまわり星人はー？
藍子,写真はアルバムにまとめておきますねっ
みく,みんな持てる私物は持って帰ってねー！
Ｐ,……ふ～、事務所の大掃除おしまいっ！
ちひろ,おつかれさまでした♪
Ｐ,うん、これで新年もさっぱりした気持ちで迎えられそうだ
茄子,あとは年末年始のお仕事ですね。任せてくださいっ♪
Ｐ,茄子さんを筆頭に、みんなまだまだ仕事があるからな。ここからが頑張りどころだぞ。帰省の予定がある子は今からでも遅くないから言ってくれよー。融通利かせられるから。綺麗になった事務所のソファは格別だぜ
響子,はいプロデューサーさん、お茶どうぞ
Ｐ,ありがとう響子。うまい
美嘉,響子ちゃん、大掃除大活躍だったね★
美穂,寮の大掃除でも凄かったんだよ。もう助かっちゃって！
Ｐ,お、寮も終わらせてたのか。さすがだな
響子,えへへっ……年に一度の大切なお仕事ですから！
Ｐ,そうか、感心感心。今年の汚れは今年のうちにって言うしな
響子,はい♪プロデューサーさんは、おうちの大掃除終わってますか？
Ｐ,あっ
美穂,あっ……？
美嘉,プロデューサー？
Ｐ,あ……ああ、俺んちね。俺んちの大掃除はえっと………………してま………………すん
響子,……してませんね？
Ｐ,ウッ図星
響子,もうっ、どうしてサボっちゃうんですか！今年の汚れは今年のうちにってさっき言ったじゃないですか！
Ｐ,いやでもほら、ほぼほぼ寝に帰ってるだけみたいな部屋だし、わざわざ掃除する必要も……
響子,ありますっ！
Ｐ,でもですね……
響子,あ！り！ま！すっ！
Ｐ,ふぇぇ……
美嘉,め、目の色変わってる……
美穂,響子ちゃん、家事のことになると本気だから……
まゆ,話は聞かせてもらいましたぁ
美穂,わぁ！？まゆちゃん！？
まゆ,んもぅプロデューサーさんったら、だらしない人。でもそんなとこも素敵……♡。おほん、ともかく。聞く限り、プロデューサーさんはご自分で大掃除をすることはないでしょう
美嘉,というと？
まゆ,つまり……まゆ達がおうちにお邪魔して、代わりにお掃除をしてあげるべきなんですよぉ！
Ｐ,待て待て待て
美穂,ぷ、ぷ、プロデューサーさんの家に……！？
美嘉,確かに、放っておくと大掃除どころか普段のお掃除もしないかも……
Ｐ,ちょっとちょっとちょっと
まゆ,そう、彼のおうちはまゆが管理してあげるべきなんです
Ｐ,いくらなんでもそれは
響子,行きましょうっ。善は急げです！
Ｐ,準備するの早くない！？ま、待て！そればっかりはマズいぞ！
美穂,こ、ここが、プロデューサーさんの……！
美嘉,意外と普通っぽいじゃん
まゆ,ふふ、うふふ、そうなんですねぇ。ここが彼のハウス……うふふふふふふ……っ
響子,まったく！全然お掃除してないだなんて
美穂,あれ？そのプロデューサーさんは今どこにいるの？
響子,先に戻ってお部屋に立てこもってますっ
Ｐ,やらせはせん！やらせはせんぞぉ！！
美穂,ど、どうしちゃったんですかプロデューサーさん！？
Ｐ,どうもこうもねぇよ！お前達を部屋に入れるわけにはいかねぇーッ！
