――東京都内、橘宅,玄関
ありす,いってきます。はい、もしもし？。当たり前です。もう登校時間なんですから。わかっています。放課後に用事も入れていませんし、スケジュールは空けているので心配しないでください。そうですか、楽しみにしています。それじゃあ学校に行く途中なので、また連絡します。朝からＰさんと電話しちゃった……。あっ……おはようございます。文香さん
文香,……ありすちゃん、おはようございます。今日も……お元気ですね
ありす,はいっ。文香さんも、朝から大変ですね
文香,いえ、これくらいは……お店の前を掃いてから、私も学校に行きますので……
ありす,来月は卒業式ですよね。文香さん、春からは大学生ですね
文香,はい……無事に、受験も終わったので……少し、落ち着きました
ありす,それじゃあ文香さん、いってきます
文香,はい、いってらっしゃい……
――通学路,横断歩道前
ありす,家を出るの、ちょっと早かったかな……。え？あっ――。そんな……横断歩道で信号待ちをしている私の目の前に、トラックが突っ込んで来るなんて……。しかもトラックの運転手の様子を見ると、どうやら眠っているようです。長距離運送による疲労でしょうか、あいにくこの道は平坦な一般道です。段差舗装でもされていれば車体が揺れて運転手も目が覚めたかもしれませんが。ああ、だけど今の私は目の前に迫るトラックを見て何も反応出来ず立ち尽くすだけです。逃げることもできませんし、次の瞬間には私はトラックに跳ねられ、新聞の片隅に女子小学生、通学中にトラックに跳ねられ死亡。居眠り運転が原因かと記事が作成されることでしょう。ごめんなさい、お母さん、お父さん。私は先に死んでしまいます。親不孝者です。Ｐさん、私はもっとあなたの傍でアイドルをしていたかったです。文香さん、大きくなったらあなたみたいな女性になりたかったです。やっぱりトラックに跳ねられたら痛いのでしょうか。それとも痛みを感じる前にショック死してしまうのでしょうか。目の前のトラックが激しいエンジン音を上げて――。……ってあれ、何だかんだと１分くらい色々頭の中で考えていましたけど、中々跳ねられませんね？。え……トラックの車体が、浮いてる……？
？？？,ふー……
ありす,ん？
？？？,ギリギリ間に合いましたね。あと少し遅かったら女の子がトラックの餌食になってましたねぇ。いやー、それにしてもナイスタイミングです！さすが、普段からサイキックパワーで周囲の状況を察知しているユッコです！。まあ本来の仕事とは違いますけど、人知れず困っている人間を助けるのもカッコいいですからね、これくらいは朝飯前です！。あーっはっはっは！
ありす,……
？？？,はっはっは……
ありす,……
？？？,は……
ありす,……
？？？,……あの、もしかして、ユッコのこと、見えてます
ありす,はい
？？？,でえええええええええ！？
ありす,うわっ！？
？？？,ま、まさかまさか、ホントにユッコの姿が見えるんですか！？
ありす,え、ええ……というか、それだけ大声を上げていれば嫌でも分かるというか……
？？？,いえ、普通の人間にはユッコの姿は見えません。ということは、あなたは……！！
ありす,？
？？？,アタリじゃないですか！さすがサイキックパワーに導かれしユッコです！早くもお仕事のノルマを１つ達成してしまうとは！
ありす,あのー……
？？？,はっ！？おっと……自己紹介がまだでしたね。コホンッ！
ゆっこ,私はさすらいの妖精、ユッコです！サイキックパワーを身に纏い、魔法世界のマジカルランドからやってきました！。うごふっ！？
ありす,よく動くオモチャですね……どうやって飛んでるんでしょうか？ドローンとは違いますし……
ゆっこ,いひゃいひゃいもほぉひゃみぇてぇくしゃあしゃあい
ありす,おっと……す、すみません……いえ、オモチャに何を言っているんでしょうか私は……
ゆっこ,だーかーらー！オモチャじゃないです！ユッコはれっきとした妖精です！よ、う、せ、い！
ありす,はあ、妖精……確かに２等身のそのお姿は、ゲームや漫画でよく見る妖精ですね
ゆっこ,そうです！魔法の国、マジカルランドから来た妖精です！
ありす,いやあの、今時ファンタジーの世界設定でマジカルランドなんて直球な名前の国なんて……
ゆっこ,まあそこはですね、国の歴史とか、分かりやすいほうがいいとか、親しみやすいほうがいいとかあるじゃないですか
ありす,なんでもいいですけど……
ゆっこ,がくっ……ま、まあそれは置いといて、あなたがそこのトラックに轢かれそうになっていたのを偶然見かけたので、ユッコのサイキックパワーで助けてあげたんですよ！
ありす,そ、そうだったんですか……ありがとうございます。おかげで辞世の句を詠まずにすみました……ところで
ゆっこ,はい？
ありす,さっきから魔法だったりサイキックパワーだったり、実際はどちらなんですか？
ゆっこ,あ、そっち……まあユッコはサイキックパワーです。さすらいの妖精たる者、こういう力の１つや２つは身に着けておきませんとね
ありす,はあ……それで、その……マジカルランド、の妖精さんが、どうしてこんなところにいるんですか？
ゆっこ,そうです！本題はそこです！単刀直入に言います。あなた、魔法少女になりませんか！？
ありす,すみません、この後学校があるので……
ゆっこ,待ってくださあああああい！
ありす,いえあの、勧誘とかはお断りしているので
ゆっこ,どうしてわざわざ人間の世界まで足を運んで宗教勧誘みたいなことをしなければならないんですかユッコは！少しくらいお話しを聞いてくださいよぉ！
ありす,うーん……わかりました。先ほども助けてくださったみたいですし
ゆっこ,ありがとうございます！それじゃあ場所を移動して……あ、あそこに浮かせっぱなしのトラックは安全運転義務違反をしたので、おしおきしましょう
ありす,トラックがサッカーボールくらいの大きさになるまで潰されていった……
ゆっこ,よし、サイキックパワーのおしおき完了！さて、いきましょうか
ありす,は、はい……。ここなら落ち着いてお話しできますね。学校もありますので、手短にお願いします
ゆっこ,はい！わかりやすく纏めますね！。１、マジカルランドが魔物に襲われて大ピンチ！。２、現状を打破するにはマジカルランドの伝説になっている魔法少女の力が必要！。３、なので国の妖精みんなで魔法少女を探しにいこう！。というわけです
ありす,そうですか。頑張ってください
ゆっこ,だから待ってくださいいいい！！！！
ありす,は、離してくださいっ！つまりユッコさんは、私に魔法少女になってその魔物と戦えって言いたいんですよね！？嫌ですよそんなの！
ゆっこ,あ、いえ、そこはまたちょっとお話が変わるんですけど……
ありす,違うんですか？
ゆっこ,ちょっと難しいお話なんですけどね、まず魔物についてはマジカルランドだけではなくて、色んな世界を侵略しようとしているんです。もちろん、この世界も狙われているはずです
ありす,そういうのは自衛隊とか、国に任せたほうが早いと思います
ゆっこ,そして魔物の勢力はとても強大なんです。あなたのように、妖精が見える人間は魔法少女の素質があるので戦えるんですけど……
ありす,無視された……
ゆっこ,やっぱり危ないお話ですし、王国側としてもより高い素質のある人間に魔法少女になってもらうよう、お願いするってお話になっているんです
