モバP,……おはようございます
ちひろ,おはようございます………なんか今日暗いですね
P,そんなことないですよ……
ちひろ,そうですか
P,………………
ちひろ,……………
P,……はぁ………
ちひろ,…………あの…何かあったんですか？
P,あ……やっぱり分かりますか？。実は昨日なんですけどね…アイドル達の評判が知りたくて某掲示板を見てたんですよ
ちひろ,またですか…
P,はい……そこで”幸子をいじめるとかニワカすぎワロタｗｗｗ”ってスレがありまして……。そのスレで愛でることで本当に輝けるんだって知ったんですよ…
ちひろ,そうですか…
P,なのに俺ときたら幸子をいじめる事しか考えてなくて……。なんて最低なプロデューサーなんだ！！
ちひろ,たしかに最低ですね
P,てなわけでこれからは幸子をこれでもかってくらい愛でて甘やかそうかと思いまして…
ちひろ,いいんじゃないですか？幸子ちゃんきっと喜びますよ
P,でも……それだけじゃダメなんだ……
ちひろ,……はい？
P,それだけじゃダメなんです……やっぱり幸子はいじってこそ輝く部分も必ず持ってるんです！
ちひろ,は、はあ……
P,だから二日間は思いっきり愛でて、次の日は冷たくして…そしてまた愛でる………ってのを繰り返そうかと
ちひろ,…鬼ですか貴方は
P,あぁぁ……早く幸子こないかなぁ……
幸子,おはようございます
P,おう、おはよう幸子
幸子,あ、プロデューサーさん！可愛いボクが来てあげましたよ！嬉しいですか？
P,ああ、こんな可愛いアイドルと時間を一緒にできるなんて幸せだよ
幸子,っ！ふ、ふふーん！当たり前ですよ！
P,あぁ～、幸子は可愛いなぁ
幸子,～っ！い、いきなり何するんですか！！
P,あ、ごごめん！いやだったか！？
幸子,あ、そういうわけじゃなくて……少しびっくりしただけって言いますか……
P,そ、そうか！よかった～びっくりさせてごめんな幸子～
幸子,べ、別に気にしてませんっ
P,幸子は優しいなぁ～
ルキトレ,はい！今日はここまでにします！お疲れさまでした！
幸子,はぁ……はぁ……お疲れ様でした…
P,幸子～！お疲れ！はい、これスタドリ
幸子,あ、ありがとうございます………ふぅ……
P,いやぁ～今日の幸子すっごく良かったよ！歌もダンスも凄く良くなってる！
幸子,ほ、ホントですか！？…あ……そ、そんなの当たり前じゃないですか！なんたってボクは完璧ですからね！
P,あぁ！幸子はホントにすごいな！
幸子,あっ///や、やめてくださいっ
P,あ、すまん！嫌だったか！？
幸子,そうじゃなくて……今日はいっぱい汗書いたから……その………
P,そんなの気にしないぞ？それに幸子いい匂いするし…
幸子,ひゃぁ///ぷ、プロデューサーさん！！
P,あ……すまんっ！
幸子,も、もう……プロデューサーさんったら……
P,今日もお疲れ様幸子。あ、ちょっと待ってくれ！
幸子,……？何ですか？
P,いや……最近幸子頑張ってるから何かご褒美あげようと思ってな……なんか欲しいものあったりするか？
幸子,え！そ、そんないいですよ！
P,じゃあ、して欲しいこととかでもいいぞ！俺の出来る範囲ならなんでもするぞ！
幸子,な、なんでも……ですか？
P,あぁ！
幸子,………じゃ、じゃあ……明日買い物行こうと思ってたんで…プロデューサーさんも来て……下さい……
P,か、買い物…か？
幸子,は、はい！あ、でも急に明日と言われても無理ですよね………
ちひろ,明日なら大丈夫ですよ～
P,え！？本当ですか！？
ちひろ,はい、仕事もたいして溜まってないので……楽しんできてください
P,あ、ありがとうございます！やったぞ幸子！行けるぞ！
幸子,本当ですか！………あ、明日はプロデューサーさんはただの荷物持ちですよ！！
P,ああ……それでも幸子と出かけられるなんて嬉しいよ
幸子,…っ！ふ、フフーン！当たり前です！ボクはかわいいですからね！
P,おう、じゃあ待ち合わせはどうする？車で家まで迎に行こうか？
幸子,い、いや！歩きで行ける距離なので大丈夫です！えっとじゃあ…〇〇駅前に10時に集合ということで！
P,分かった、楽しみにしてるよ
幸子,は、はいっ
P,おーい幸子！
幸子,…！ぷ、プロデューサーさん！
P,すまんすまん…まさかこんなに早く来てるとは……待ったか？
幸子,いや！今来たばっかりですよ！
P,そうか、それは良かった………お、今日は大人っぽい格好だな…凄く似合ってるよ
幸子,～～っ！あ、当たり前ですよ！ボクはどんな服でも似合いますからね！それより早く行きましょう！
P,おう
幸子,プロデューサーさん…
P,ん？
幸子,これとこれ……どっちがいいでしょうか…？
P,ん～？んー……どっちも似合うけど…俺はこっちの方がいいと思うぞ
幸子,そ、そうですか！じゃあこっちにします！
P,大体決まったか？じゃあお会計してくるからそれ貸して
幸子,え！？だ、ダメですよ！お金はボクが払います！
P,え…でもなぁ……
幸子,駄目です！
P,…………わかったよ…でも昼飯くらいは奢らせてくれよ？
幸子,…………分かりました……ホントにプロデューサーさんはお節介なんですから…
P,はは…すまんな。次はどこの店にいくんだ？
幸子,次はあそこのお店ですね！
P,…？幸子？どうかしたか？
幸子,あ、なんでもないですよ！次行きましょう！
P,…………。だいぶ回ったな～
幸子,はい！おかげで色々買えました！
P,てか本当に送っていかなくて良いのか？荷物も結構あるのに…。あ！待ってくれ！
幸子,……？
P,これ……幸子にプレゼント…
幸子,…なんですか？……あ……これ……
P,幸子あの時凄く欲しそうに見てたから…こっそり買っといたんだ……
幸子,プロデューサーさん……
P,………迷惑だったか？
幸子,そんな！その……えっと……ありがとうございます……
P,ああ……じゃあまた明日な
幸子,はい！さようなら！。おはようございます！
P,…………
幸子,あの…！プロデューサーさん！おはようございます！
P,……あぁ幸子か…おはよう……
幸子,昨日はボクと出かけられて楽しかったですか？！どうせならまた一緒に買い物付き合ってもらってもいいですよ？
P,……あぁ………考えとくよ……
幸子,ぷ、プロデューサーさん…？もしかして具合悪かったり……？
P,ん？そんなことないぞ？
幸子,そうですか……それよりこれ見てください！
P,んー？
幸子,昨日の髪留め付けてみたんですけど……どうですか？
P,あーー、似合ってるんじゃないか？
幸子,…む！ちゃ、ちゃんと見てくださいよ！
P,うるさい！
幸子,ひっ…！
P,こっちは仕事してるんだ！見て分からないのか！？
幸子,え……え………で、でも…
P,まったく……もう少し常識があるこだと思ってたが…がっかりだよ……
幸子,あ……ぷ、プロデューサーさん…？
P,………
トレーナー,…はいそこで回ってー………幸子ちゃん？
幸子,ﾊｯ…！な、なんですか！？
トレーナー,……幸子ちゃん大丈夫？具合悪いなら今日は……
幸子,だ、大丈夫ですよ！続きお願いします！
トレーナー,はい終わりです！お疲れ様でした！
幸子,お疲れ様でした……
P,おい、幸子
幸子,あっ！プロデューサーさん…
P,お前さっきのレッスンはなんだ？やる気あるのか？
幸子,あ……その……少し考え事を……
P,考え事だァ？あのなぁ、アイドルがそんなんでいいと思ってるのか？んなことしてんならやめろ
幸子,…っ！そ、そんな言い方！大体全部プロデューサーさんのせいなんです！
P,あ゛？
幸子,
P,なんで俺のせいなんだよ？あ？
幸子,それは……その……うっ………うぅぅ
P,あーあー！そうやってすぐ泣く！これじゃまるで俺が悪者じゃねーか！
幸子,うぅ……ぐすっ……ごめんなさぁいぃ………
P,っち……もういいよ
幸子,うぅぅぁぁぁぁあ……プロデューサーさぁぁん……
トレーナー,…はいそこで回ってー………幸子ちゃん？
幸子,ﾊｯ…！な、なんですか！？
トレーナー,……幸子ちゃん大丈夫？具合悪いなら今日は……
幸子,だ、大丈夫ですよ！続きお願いします！
トレーナー,はい終わりです！お疲れ様でした！
幸子,お疲れ様でした……
P,おい、幸子
幸子,あっ！プロデューサーさん…
P,お前さっきのレッスンはなんだ？やる気あるのか？
幸子,あ……その……少し考え事を……
P,考え事だァ？あのなぁ、アイドルがそんなんでいいと思ってるのか？んなことしてんならやめろ
幸子,…っ！そ、そんな言い方！大体全部プロデューサーさんのせいなんです！
P,あ゛？
幸子,
P,なんで俺のせいなんだよ？あ？
幸子,それは……その……うっ………うぅぅ
P,あーあー！そうやってすぐ泣く！これじゃまるで俺が悪者じゃねーか！
幸子,うぅ……ぐすっ……ごめんなさぁいぃ………
P,っち……もういいよ
幸子,うぅぅぁぁぁぁあ……プロデューサーさぁぁん……。うぅぅぅ……やだよぉ……プロデューサーさん…。……おはよう……ございます…
P,うあぁぁぁぁぁぁああぁぁぁあ！！幸子ぉぉぉ！ごめんよぉぉ！！
幸子,…っ！
P,昨日はごめんよぉ幸子ぉぉぉ！！俺が間違ってたよぉぉ！！
幸子,や、やっ！
P,おわっ！さ、幸子……？
幸子,な、なんなんですか！今度はなんなんですか！最近のプロデューサーさんはおかしいです！！
P,さ、幸子ぉ…
幸子,やめてください！近寄らないでくださいっ！
P,…………。分かった……幸子……全てを話す…
幸子,……え……。……おはよう……ございます…
P,うあぁぁぁぁぁぁああぁぁぁあ！！幸子ぉぉぉ！ごめんよぉぉ！！
幸子,…っ！
P,昨日はごめんよぉ幸子ぉぉぉ！！俺が間違ってたよぉぉ！！
幸子,や、やっ！
P,おわっ！さ、幸子……？
幸子,な、なんなんですか！今度はなんなんですか！最近のプロデューサーさんはおかしいです！！
P,さ、幸子ぉ…
幸子,やめてください！近寄らないでくださいっ！
P,…………。分かった……幸子……全てを話す…
幸子,……え……
P,俺は……本当に好きなものに……どうしても酷いことをしたくなっちゃうんだ……
幸子,酷いこと…？
P,あぁ、それが昨日幸子にやったようなことだ……その欲求は突然やってきて…殴りたいとさえすら思う……
幸子,………
P,治さなきゃいけないってのはわかってる……てかそもそも俺は誰かを愛してはいけないのかもしれない……。でも……俺は……幸子を………輿水幸子を愛してしまった……
幸子,プロデューサーさん……
P,……ふっホント最低なプロデューサーだよな………アイドルを愛した挙句に危害まで加えてしまうなんて……ホント……最低だ……。こうなった以上はもう俺は幸子のプロデューサーをやめるしかない……すまん……
幸子,そ、そんな！そんなの嫌です！ボクのプロデューサーはプロデューサーさんだけです！
P,そんなこといってもどうしようもないんだ！おれは幸子といると……危害を加えてしまう…！
幸子,だったら！ボク我慢します！
P,え……
幸子,ボクどんなプロデューサーさんのすることも我慢します！だから……うぅぅ
P,………幸子…どうしてそこまでして…
幸子,ボクも、プロデューサーさんが好きになっちゃったんです！！
P,………幸子……
幸子,うっ…うぅぅ……
P,…………
幸子,あ………
P,すまん……そしてありがとう……こんな俺を好きになってくれて……
幸子,ぐすっ……
P,こんな駄目な奴だけど……よろしくな…幸子……
幸子,…はい………Pさん……
P,幸子ぉぉ！なんださっきのライブはぁぁ！！
幸子,っ！
ちひろ,ちょ！何してるんですかプロデューサーさん！
P,…ｯﾁ
ちひろ,……幸子ちゃん大丈夫！？まったくプロデューサーさんは一体何を考えて……
幸子,…………Pさんは悪くないんです
ちひろ,……え？
幸子,Pさんはホントはすっごく優しいんです……でもたまに愛情の裏返しでああなっちゃうんです……
ちひろ,幸子ちゃんなにいって……ひっ！
幸子,Pさんは私を本気で愛してくれてるんです……私なしでは生きていけないんです…
ちひろ,あ………あ……
幸子,ふふ……Pさん………大好きです…
