姫川友紀,ラジオネーム清宮ハム太郎さんからのお便りだよ
向井拓海,可愛くねえ…
友紀,8回表まで8-0で勝っていたので、風呂入ったんですよ。風呂上りにウキウキでビールを飲もうかなと思ったら8-9になってました
拓海,あっ…
友紀,私は心に深いトラウマを負いました。たくみんは責任をとってセクシーショットを披露すべきだと思います
拓海,アタシに責任ねえだろ！？？
友紀,やー、これは拓海ちゃんが悪いわ
拓海,理不尽だろうがァァァァァ！！！！！
友紀,姫川！
拓海,向井の
友紀,はい、というわけで今日も始まりました。ちょっと小粋な野球コミュニティラジオ
拓海,何だその前口上
友紀,ちょっと即興で考えてみた
拓海,割とソレっぽいじゃねえか
友紀,冒頭のお便りだけど、あたしその試合は全部見てたんだよねー
拓海,アタシは平井が3ラン打たれた時点でチャンネル変えたわ
友紀,まあその時点で普通負けたと思うよね
拓海,そしたらあの展開だろ？
友紀,ありえない打線爆発だね
拓海,嬉しいを通り越して困惑したぜ
友紀,2イニングで8点差を逆転……パワプロかな？
拓海,お、そうだな
友紀,今日のゲストはね、神奈川のオンナだね！
拓海,いや、確かに神奈川出身だけどな？
友紀,拓海ちゃんとデキてるとかデキてないとか噂の
拓海,デキててたまるか
友紀,じゃあゲストさん、自己紹介どうぞ！
相葉夕美,みなさんこんにちは、相葉夕美だよ。よろしくねっ
友紀,はーい、今日のゲストは夕美ちゃんだよー
拓海,オウ、昨日振りだな。夕美
夕美,そうだね、昨日振りだねっ。ふふっ
友紀,なに、昨日振りってどゆこと？
拓海,昨日、夕美と一緒に神宮球場行ったんだよ
夕美,筒香選手のホームラン、凄かったよ！
友紀,イチャイチャしやがってこの野郎大変仲がよろしいようで
拓海,逆ゥゥゥ！？
友紀,そんなベイスターズファンの夕美ちゃんだけど、ベイスターズでは誰が好きなのかな？
夕美,今は宮崎敏郎選手が好きかなっ
友紀,ああ、ハマのプーさんね
拓海,プーさんだな
夕美,熊さんみたいで可愛いのにとっても頼りになるよねっ♪
拓海,なー
夕美,あとは引退した選手だと、三浦大輔さんが好きだったよ
友紀,番長は根強い人気だね
拓海,アタシも番長のユニは持ってるぜ
夕美,柳田選手にバックスクリーン直撃のホームランを打たれた後の打席で、真っ向勝負を挑んだのはカッコ良かったよねっ
友紀,あれはあたしも見ててシビれたなぁ
拓海,番長は逃げねえんだよ
夕美,これぞプロだなって思ったよ
友紀,そんな感じで、CM挟んだ後はお便りを読んでくよ
拓海,アタシはまだ番長の魅力について語りてえんだけど
夕美,私も語り足りないよっ♪
友紀,それは番組終わった後でお願いします
夕美,えー
拓海,えー
友紀,はい、というわけで一旦CMでーす。……はーい、お便りのコーナーです
拓海,何でそんなにテンション低いんだよ
友紀,あなたたちのポジオーラに気圧されてるからだよ
