緒方智絵里,この前、DJのお仕事をさせていただいたんですけど
藤居朋,あ、見たわよ！いつもとは違ったイメージでよかったね～
白菊ほたる,はい！かっこよかったです！
智絵里,えへへ……。ありがとうございます。その時に、持ち前のセンスとフィーリングを駆使して前衛的なリリックとライムを紡いでフロアをアゲ↑アゲ↑にしてたらスタッフさんに声を掛けられまして……
朋,ごめん、発言者と内容のギャップに脳が追い付かない
ほたる,よ、YO！
朋,下手か！
智絵里,何でも、もうすぐラジオ番組の改編期らしくて、１か月間、空きが出る時間帯があるらしいんです
ほたる,なるほど……
朋,そこで番組をやらないか……ってこと？
智絵里,はい。お悩み相談系の特別番組ということだけは決まっていて、お便りも集めているそうなんですが、MCだけ決まってないみたいなんです
朋,へぇ～……
ほたる,よかったですね！
朋,あの……もしかして、このパターンは……
智絵里,そこで、２人にはゲストとして一緒に出演してほしいんです！
朋,やっぱり！！！
智絵里,そのスタッフさんが、前に３人で出演したほたるちゃんのコーナーも見ていたらしくて
ほたる,次回はどこに行くんでしょうね
朋,それも気になるけど一旦置いといてほたるちゃん
智絵里,あの不幸な娘とツッコミ上手も一緒にどう？と……
朋,認識に悪意がないかなぁ！？
ほたる,不幸な娘なんて……そんな……照れます……
朋,脳のどこでエラーが起きたらその反応になるの？
智絵里,ダメ……でしょうか……？
朋,う、ううん！そんなことない！
ほたる,私も、この３人でまたお仕事ができて幸せですよ？
智絵里,ほたるちゃん……
朋,ほら、ほたるちゃんが幸せって言ってるんだよ？一緒に頑張ろ？
智絵里,……はいっ！
朋,……でも後で胃薬買っておこうかな
智絵里,まあ収録なので、最悪の場合は［ﾋﾟｰｰｰｰｰ］とか［ﾊﾞｷｭｰｰｰﾝ］とかで誤魔化してもらいましょう
朋,アイドルのラジオよね！？。いやぁ～、でもテレビと違ってカメラがないから、ちょっとは気が楽ね
ほたる,そうですね
智絵里,あと、お客さんがいないのもわたしにとっては安心です……
ほたる,智絵里さん、緊張しいっていう設定
朋,行間
智絵里,あまり長い番組でもないので、落ち着いて、1つ1つお悩みを殲滅していきましょう！
朋,そのワード本番なら規制だからね
ほたる,駆逐してあげます……１つ残らず！
朋,ほたるちゃんはどうしたの！？
智絵里,どうせ大した悩みなんて送られてきませんし
朋,智絵里ちゃん！！
スタッフ,本番２秒前でーす！
朋,あなたこの前の撮影にもいませんでした！？
智絵里,こんばんはっ。DJ智絵里のお悩み相談ラジオの時間です！。この番組では、皆さんのお悩みをDJ智絵里がズバッと一刀両断しちゃいます！
朋,なんで切り捨てる前提なの
智絵里,そして、今回はゲストにもお越し頂いているんです！。朋さん、ほたるちゃん、よろしくお願いしますね
藤居朋,こんばんは！藤居朋です！短い間だけどよろしくね！
白菊ほたる,こんばんは。白菊ほたるです。皆さんが少しでも幸せに近づけるように頑張りますので、よろしくお願いしますね
智絵里,それでは、CMを挟んですぐに１通目のお便り、行っちゃいます！YO！
朋,とってつけたようなDJ要素
