藤居朋,………………
朋,………………。買いにくいでしょ……。しっかし、だいぶ寒くなってきたわね……。そろそろ雪とかも降ってくるのかな。……植木鉢とかは降ってこないよね。あ！智絵里ちゃん、おはよ！今日は寒いね～
緒方智絵里,寒いですね……、四葉のクローバーを探すのも一苦労です……
朋,基準はそこなんだ……。ち、ちなみに、昨日は見つけられたの？四葉のクローバー
智絵里,はい！。昨日は7時間と46分03秒で見つけられました！
朋,よかったね思考停止
智絵里,そういえば、見ましたか？ほたるちゃんのCM
朋,ああ、この前言ってた宝くじのやつでしょ？昨日見たんだけどさ……なんというか……ねぇ？
智絵里,はい……。とっても面白かったですよねっ！
朋,智絵里ちゃん！？あのCMのどこからその感想が！？
智絵里,ほたるちゃんに後で言ってあげなきゃ
朋,そういう感想は求めてないと思うけど……。！？
智絵里,あ！噂をすれば、ほたるちゃんかな？
朋,植木鉢の落下音で判断するのやめよう！？
白菊ほたる,あ、おはようございます、朋さん、智絵里さん、今日は一段と冷えますね……
朋,マジ！？
ほたる,？
朋,いや、なんでもない……
智絵里,ほたるちゃん！CM見たよ！面白かったよ～
朋,言っちゃった！
ほたる,ありがとうございます……！とっても楽しい撮影で、終始笑顔でいられました……
朋,絶対ウソだよ……、宝くじ当ててる茄子さんを親の仇のように睨んでたもん……。もしくは相当な女優だよ……。ってかなんで誰も落ちてきた植木鉢に何も言わないのよ……！？
智絵里,ああいうみすぼらしい恰好、よく似合うね！
朋,智絵里ちゃん！！！
ほたる,ありがとうございます。案外、智絵里さんも似合うかもしれませんよ？
朋,ほたるちゃん！？
智絵里,冗談だけどね
ほたる,冗談ですけどね
智絵里＆ほたる,ふふふ……
朋,。よ、ようやく着いた……。いつもよりも遠く感じたわ……
ほたる,あの……
朋,ど、どうしたの？
ほたる,実は、今日はバラエティの収録があるんですけど……
智絵里,わぁ……ほたるちゃん、最近すごいね……
朋,ホント！どんどん売れてっちゃって～
ほたる,そ、そんなことないですよ。えへへ……
朋＆智絵里,かわいい
ほたる,それで、トークの練習をしたいな……って
朋,なるほど、いいよいいよ！……でもほたるちゃん、結構しゃべるのうまいと思うんだけど
智絵里,私もそう思うな……
ほたる,いえ……話す内容が決まってないとあたふたしちゃうので……。どんな話をするかあらかじめ決めておきたいんです
智絵里,私も、話を振られたら全部杏ちゃんにパスする癖、直さないとなぁ
朋,杏ちゃん……
ほたる,ちょっと紙に書き出してきたので、どれが面白そうか選んでもらっていいですか……？
朋,うん！どれどれ……。全部めっちゃ気になる！！！！！！！。ってか詐欺っぽいの混ざってるよ！？
智絵里,あれ……？この前話してた歌鈴ちゃんとマジックショーのお手伝いをしたら……は？
ほたる,あ！忘れてました！
朋,お願いだからこれ以上私の好奇心を刺激しないで！！！！！！。ど、どれを話しても面白いと思うから、好きなのを選ぶといいんじゃないかな……
ほたる,そうですか……
智絵里,うんうん
ほたる,お仕事まで少しまだ時間がありますね……
朋,じゃあちょっとテレビでも見よっか。？
先ほど、○○区上空で飛行していた旅客機と、,HELEN
朋,え！？ここの区じゃない！！！？？？。植木鉢150個！！！！？？？？。軽く言ってるけど大事件よ！？
智絵里,わくわくしますね！
朋,智絵里ちゃん！！！！！！
ほたる,ちょっと外に散歩に行ってきますね
朋,この状況でよく言えるね！？ダメに決まってるでしょ！？
ほたる,でも私がここにいると事務所に当たって被害が出てしまいますし……。外で私が喰らってから戻ってきた方が……
朋,発想が女子中学生と思えないくらい男らしい！！！
ほたる,でも……
朋,ダメよ！行かせない！
智絵里,暴走したトロッコが線路上を走っており、このままでは5人の作業員を轢き殺してしまいます。彼らを助ける唯一の方法は、切り替えスイッチを押して、トロッコを別の線路に誘導することです。切り替え先の線路には1人の作業員がおり、この一人を犠牲にする代わりに5人の作業員は助かります。5人の命を救うために1人の命を犠牲にするこの行為はすべきでしょうか？
朋,緒方ァ！！！！！！！
茄子,おはようございま～す。あれ？なんだか騒がしいですね……？
朋,
茄子,？
朋,か……。茄子さん～～～～！！！！
茄子,え？ええ？？？と、とりあえずよしよししてあげますね～
ほたる,では、そろそろお仕事にいってきますね
朋,いってらっしゃい……。まあ、何事もなくてよかったかな……。…………ほたるちゃん！！！！！！！！！！！！！！！！！
