橘ありす,さて、始まりました、新番組リトル・マーチング・ファンド・ガールズ。司会は橘ありすと
佐城雪美,佐城雪美……です
ありす,続いて、ゲストの紹介になります。龍崎薫さん
龍崎薫,はい！よろしくお願いしまー！
ありす,福山舞さん
福山舞,よろしくお願いしますっ
雪美,古賀小春……さん
古賀小春,よろしくお願いします～
雪美,日下部若葉……さん20
ありす,年齢は言わなくてもいいです
日下部若葉,はいっ！！！
ありす,うわぁ元気
雪美,以上の……4人が……ゲスト……
ありす,では、この番組の説明をさせていただきます。みなさん、そもそも、ファンドという言葉をご存じですか？
舞,わからないです……
薫,かおるもー！
ありす,まあ、そうですよね。では若葉さんは？
若葉,もちろん知ってますよ～！あの川相の
ありす,ここボケるとこじゃないんですけど
若葉,じゃあイギリスの通貨……
ありす,ポンドでもなくて！
若葉,木工用……
ありす,ボンドでもなくて！！！。最年長がふざけると進まないんですから
雪美,小春は……わかる……？
小春,ファンドとは、複数の投資家から集めた資金を用いて投資を行いそのリターンを分配する仕組みをいう。投資信託として組成されることがあるが、一方で、いわゆる投資事業組合として組成されることもあり、文脈によってはいずれか一方のみを指すことも多い
ありす,小春さん！？！？
小春,出典：hyoupedia
ありす,ヒョウさん！？
薫,ヒョウくんすごーい！！！
雪美,流石……ヒョウさん……
ありす,いやいやいやいや
若葉,負けてられないですね……！
舞,なんで対抗心を燃やしてるんですか……？
ありす,ま、まあいいです。ファンドというのは、みんなのお金を誰かに集めて、受け取った人がそのお金で手に入れたものを、お金を出した皆さんで分ける。というシステムです
薫,……？
舞,うーん……
ありす,あまり腑に落ちてないみたいですね……
雪美,まかせて……
舞,何かいい例えがあるの？
雪美,みんなが……ガチャを回せば……そのお金で……ゲームがアップデートされる……
ありす,ちょっと生々しくないですか！？
若葉,なるほど～
ありす,この場で回さない！！！。まったく、どこまで説明したのか忘れてしまいましたよ
舞,ファンドの説明が終わったとこだよ！がんばって！
ありす,なんで開始5分で励まされているんでしょうか……
雪美,今回は……この4人がお金を出す人……
小春,私たちですか～？
ありす,はい。そして、様々なアイドルがやってきて自分にお金を出せば、こんなことをしてあげるよ！というプレゼンをします
雪美,それに……いくら出せるのかを……1人1人が決める番組……
舞,なるほど……
薫,でも、かおる、ものの値段とかよくわかんないよー？
ありす,大丈夫です。なるべく、“普通に買ったら○○円くらい”という情報はお教えしますから
小春,レイナサマバズーカ50円程度
ありす,そこまで悪意のある値段設定ではないですけどね？。なお、我々LMBGは司会の2人を抜いて12人です。1回につき4人がゲストなので、3回で皆さんが来ることになりますね
雪美,つまんなかったら……打ち切り……
ありす,いや流石に3回くらいはやらせてくれますよね！？
若葉,最初に出れてラッキーですね！
舞,初回で打ち切られる前提で進めるのはちょっと……
薫,かおる、つまらないからクビなの！？
ありす,ほらあらぬ誤解を招いてるじゃないですか！！！。ちなみに、上限は1万円ですのでご注意を
雪美,では……最初のプレゼンター……お願い……
柳清良,こんにちは～
ありす,最初のプレゼンターは、柳清良さんです！
清良,よろしくお願いしますね
雪美,じゃあ、早速……お願い……
清良,はい♪私のプレゼンはこちらです
若葉,30万！！！
ありす,上限は1万円って言ったじゃないですか！！！
若葉,た、足りませんか！！？？
舞,足りすぎてるんです……
