モバP,かな子がノーブラノーパンで雨に濡れてたから襲った
かな子の私服は［クリーミィトライフル],特訓前
かな子,うっ嘘だよね……。どうしよう……替えの下着忘れた。そうだ！。うぅっ……ちょっとスースーする……。……事務所までは近いし、大丈夫だよね……
Ｐ,ではトレーナーさん、今日の三村のレッスンは、ハードにお願いします
かな子,美味しいから大丈夫だよ
志希,おっはよ～♪キミは今日もいい匂いだね～♪ハスハス♪
Ｐ,おわぁ！一ノ瀬さん、いついらしたんですか？
志希,ちょっと前だよ。でも電話中だったから匂い嗅ぎながら待ってた～♪
Ｐ,脅かさないでください。あと匂いも嗅がないで
志希,さてここでハッピーなお薬の紹介で～す♪
Ｐ,話、聞いてます？
志希,夜に活発に活動する動物を元に作ったんだけどね
Ｐ,聞いてませんね
志希,これを飲むと少しだけ意識を失うけど、その後は身体能力、頭脳の処理速度、仕事の効率アップの優れモノ～♪
Ｐ,飲みません
志希,待ってよ～、まだ何も言ってないよ～♪能力を強化してやりたいこと、やらなくてはならないことをこなす薬なんだよ～♪
Ｐ,意識を失うような者は飲めません
志希,意識を失うって言っても他の副作用はないはずだし。時間で効果も切れるから安全、安全～♪
Ｐ,飲みません
志希,……
Ｐ,……
志希,ねえ、さっきの電話、ハードレッスンやる話だよね
Ｐ,そうですよ
志希,夕方、遅くまでレッスンするから大変だね
Ｐ,僕も事務所に残って遅くなったら送りますし、三村さんは努力家なので大丈夫ですよ
志希,……うん。そうだね。……薬は机の上おいとく。気が向いたら飲んで？
Ｐ,お疲れ様です。うーん。これは危険だ。……あれ。
かな子,……誰にも会いませんように、……誰にも気付かれませんように
女性,？
かな子,……大丈夫、……大丈夫。あっ？！いやっ！だめ～～～っ！！！。早く、早く、止まってぇ。……止まった？。！。誰もいない。よかった～。え？！。雨！？。そんな！？お天気予報ではそんなこといってない！。急ぐしかない。や、やっとついた。あれ？電気が消えている？。おかしいな？プロデューサーさんいないのかな？。そうだ！誰もいないなら事務室の備品のタオルを借りよう
Ｐ,！？
かな子,え？！。プ、プロデューサーさんいたんですか！？
Ｐ,……なんだが暗い方が集中できてね。……それより三村さん。その恰好はどうしたの？
かな子,え？！。きゃっ！！！、見ないでください～～！！！
Ｐ,……わかった。胸は見ない
かな子,？。いったいなにを見て？。
Ｐ,……三村さん。……どうして下着を付けてないの？
かな子,ぐすっ、……替えの下着を忘れて……風がっ……ぐすっ、雨も……
Ｐ,……レッスン場からここまで下着なしできたの？
かな子,ぐすっ、……はい
Ｐ,……誰にもバレなかった？
かな子,ぐすっ、……雨が降る前にＯＬさんにだけ、会いましたけどバレなかったと思います
Ｐ,……そうか、良かった
かな子,……
Ｐ,……
かな子,ぐすっ、……でも
Ｐ,？
かな子,見られたのがプロデューサーさんだけで……良かったのかも……です
Ｐ,！？！？！。……もう我慢できない
かな子,え？。きゃっ！
Ｐ,かな子！
かな子,いま初めて名前で呼ばれた！
Ｐ,かな子、君はアイドルなんだ。世の男どもはみんな君に夢中だ。もちろん僕も
かな子,えっ？
Ｐ,そんな君がこんな格好で歩いていたら、男どもは正気じゃいられない。君を無理やり押し倒して、行為に及ぼうとする奴らがいても不思議じゃない。僕だってそうだ
かな子,えっ？えっ？
Ｐ,かな子、僕は君が好きなんだ！！！
かな子,えっ～～～？！？！？
Ｐ,もちろん君がアイドルだから好きなんじゃない。美味しいものをニコニコ食べる素敵な笑顔。僕の用意したお菓子を、気を使って全部食べてくれる優しさ。一生懸命にレッスンに励む頑張り屋さんのところ。君の全部が好きなんだ！！！
かな子,ちょっ、ちょっと待ってください
Ｐ,まだまだあるよ。かな子は気にしているけど、女の子特有の柔らかさがある体系も好きだ！
かな子,まって──
Ｐ,それになんだか今の僕はすごく鼻が利くんだけど、君の体から感じる雨の匂いのその奥
かな子,？
Ｐ,君の汗の匂いさえも僕は大好きだ！！！
かな子,。……
Ｐ,……
かな子,……あのプロデューサーさんは私のことが好き……なんですよね？
Ｐ,そうだよ。僕は君が大好きで愛してる。君の全部がほしいんだ
かな子,……はい……わかりました。あのもうひとつだけ。プロデューサーさんはアイドルに対しては、キチンとしていたと思います。それがどうして急にこんな話を？
Ｐ,……君の恰好を見て、君の話を聞いて。もしも他の男に何かされて君が傷ついたらって考えたら、たまらなく怖くなった。怖くて怖くてたまらない。それは僕の心の独占欲とか、嫉妬心からくるものだと気付いた。だから僕はもう我慢しない。全力で君を手に入れる
かな子,
Ｐ,……それで君の答えを聞きたい
かな子,……えっと、そのえっと……その……私も好きです……
Ｐ,嬉しいよ、かな子
かな子,はれ？なんだろう？これ？。んっ？！。しっ舌？！はいっれきた！。ぷはぁ
Ｐ,……ふう。おっと
かな子,……
Ｐ,……。……凄く興奮する。……もう我慢できない
かな子,……いいですよプロデューサーさん。……私の……あげます。……だから……その……優しくしてください
Ｐ,かな子！
かな子,きゃっ！
Ｐ,うーん。ん？
かな子,おはようございます。プロデューサーさん
Ｐ,申し訳ございません！
かな子,プロデューサーさん！？
Ｐ,本当にすみません！
かな子,プロデューサーさん、顔を挙げてください。大丈夫です
Ｐ,何が大丈夫なんだ？
かな子,私が大丈夫と言ったら大丈夫なんです
Ｐ,だから何が？
かな子,……たくさん求めてくれて、嬉しかったから大丈夫なんです
Ｐ,
モバＰ,かな子がノーブラノーパンで雨に濡れて僕は大丈夫じゃない
志希,おっはよ～♪かな子ちゃん、プロデューサー♪
Ｐ,一ノ瀬さん？！
かな子,志希ちゃん？！
志希,お～、その様子だとあたしの予想通りみたいだね～♪
Ｐ,一ノ瀬さん。僕になにを──
志希,ストップ！まずはかな子ちゃんに話を聞くよ。その間に着替えておいてね～♪
Ｐ,……
かな子,えっと──で──で──だったよ
志希,ふーん。なるほど暗闇で作業していたと、夜行性の生物を元にした薬だからかな
かな子,──は──だよ
志希,匂いに敏感？身体能力強化は嗅覚も含まれているからね
かな子,──の──だった
志希,なるほど。大体わかった。ありがとう♪
かな子,私もありがとうです
Ｐ,一ノ瀬さん。私が話をする番です
志希,いいよ～♪
かな子,あのプロデューサー。志希ちゃんを怒らないで挙げてください。私たちのためにやったことみたいですから
Ｐ,私たちのため？。わかった。怒らないよ。まずあの薬はなに？
志希,それは言ったよ。少し意識を失ったあと仕事の効率がアップするって
Ｐ,しかし──
志希,現に暗闇の中で、すごい勢いで仕事をしてたんでしょ
Ｐ,……わかった。次だ。一ノ瀬さん。君は予想通りといったけど君は僕が彼女を襲う事を予想していたのか？
志希,そうだよ～♪
Ｐ,っ、君は──
かな子,プロデューサーさん
Ｐ,わかってるよ。怒らない。……どうしてそんなことを？
志希,二人が相思相愛あいらぶゆーなのが、わかっていたからきっかけ作りかな？
Ｐ,！
かな子,えへへ
Ｐ,くそかわいいな、なんだこの子。なんでそんなことがわかる？
志希,あたしが匂いに敏感なのは知ってるよね。そして君も一時的に敏感になった。だから分かるはず、恋してる人、特有の匂いがあったことが
Ｐ,！
志希,発情している匂いっていうのかな？。プロデューサーがかな子ちゃんにだけ、かな子ちゃんはプロデューサーにだけそれを出してた。後はプロデューサーが、いつも飲むドリンクに薬を混ぜて。ハードレッスンで遅くなるかな子ちゃんに会わせるだけ。強化された嗅覚で恋してる人の匂いを嗅げば、きっと進展があると思って♪。けど実際には強化された思考能力を想像力に使ってしまい。愛するかな子ちゃんが傷つけられる所を、４Ｋテレビ以上に鮮明に想像し。想像の中のかな子ちゃんの苦しみや恐怖を感じ取ると同時に。愛する人が奪われるという不安が一気に大きくなったんだね♪。それが独占欲に繋がり今回の結果になった
かな子,プロデューサーさんが必死だったのはそういうことだったんだですね
Ｐ,……理屈はわかったよ。だけどもし、かな子と僕が相思相愛でなかったら、僕は彼女を深く傷つけることになっていた。そのことについては？
志希,それについても大丈夫。もしかな子ちゃんがプロデューサーを本気で拒絶した場合は、襲う事はなかったと思うよ
Ｐ,……根拠は？
志希,キミが良いヤツだってこと♪
Ｐ,は？
志希,いや～ん♪怖い顔しないで♪。あの薬の効果を簡潔にいうと、能力を強化してやりたいこと、やらなくてはならないことをこなす効果だよ。プロデューサーは薬の効果を誤解してるけど、あの薬は飲んでも理性はなくならないよ。むしろ思考能力が向上して理性が強くなるかも。だから良いヤツであるプロデューサーは、彼女を傷つけてまで襲う事はないと思う♪。理性がしたくないと思っていることはさせないから。つまり～薬が効いてるときのプロデューサーは、強化された能力のすべてを使って。あらゆるものすべてを捨てても、かな子ちゃんを口説き落とさねばならないと理性的に本気で思ってたんだ♪
Ｐ,ええっ？！？
かな子,ふふっプロデューサーさん
志希,まあ、もう強化された想像力は使えないから、愛する人が奪われる強大な不安を感じることはできないから。同じようには考えられないかもしれないね。でもプロデューサーは本心から、かな子ちゃんを選んだんだよ。薬のせいで好きになったわけじゃない。良かったね♪
かな子,はい。嬉しいです
Ｐ,まあ僕がかな子を好きなのは、確かに薬のせいじゃない。でもまだ言うことあるんじゃないか？
志希,……はい。薬を騙し討ちで飲ませたのは謝ります。ごめんなさい
かな子,……
Ｐ,……
かな子,私は許します。私はプロデューサーさんが好き。プロデューサーさんも本心から私が好き。それがわかっただけで十分です
Ｐ,かな子が許すなら僕も
志希,そっか♪そっか♪。じゃあシリアスおーしまい♪。ずっと二人に言いたかったことがあるんだ～♪
かな子,？
Ｐ,？
志希,事務所中が、二人が交わった匂いでくっさい♪。二人とも雄臭いし雌臭い♪。あたしじゃなくとも気付くと思うよ♪。ついでにそろそろ、ちひろさんくるよ～♪
かな子,
Ｐ,
モバＰ,かな子がノーブラノーパンで雨に濡れて僕は大丈夫じゃない
