卯月,あー、何だかわかりますね！
美穂,そ、そうですよねっ、変な英語で意味もよくわからないし……
響子,そうなのよ！落書きとか汚いから、ああいうの見ると綺麗にお掃除したくなりますよね！
P,おーい、響子ちょっといいか？
響子,何ですか？
P,この前話してたユニットの件なんだがな
響子,ああ！確か学園祭でライブをやるんでしたっけ？
P,やっぱりピンクチェックスクールでスケジュールが取れなくて、響子ともう一人でやってもらうことになったんだ
響子,あっそうなんですね。私は大丈夫ですよ！
P,それは良かった
響子,それで、もう一人って？
P,あぁ、最近事務所に入った子でな…
響子,？
P,まあ、いいか。ほら入って入って
？？？,あーちょっと待って欲しいっす、せめて顔ぐらい洗わせて……
吉岡沙紀,へへへ…、どうもはじめましてっす
響子,もうっ！事務所はみんなで使うんだから綺麗にしなきゃダメですよっ！
沙紀,ははは、面目ないっす
響子,ペンキなんて服についたら落ちないんですから
沙紀,コレ汚れていい服っすよ？
響子,そういう問題じゃありませんっ！。ええっと…、顔についたペンキってどうやって落とすのかしら？
沙紀,擦れば消えるっすよ？
響子,アイドルなんだから顔は大事にしないと！
沙紀,アイドルっすねぇ…。てか初顔合わせでひん剥かれるとは思ってなかったっすよ
響子,ひっひん剥くって//
沙紀,あれ？なんで響子ちゃんが恥ずかしがってるっすか？
響子,もうっ！。はあ…
いわゆる,可愛い
響子,……はいっ。大体汚れは落ちたからそこのジャージに着替えちゃってください
沙紀,おおー！すごいっすね響子ちゃんは
響子,これに懲りたらもう汚れた服で事務所を歩かないでくださいよ！
沙紀,ははは！それは保証できないっすね
響子,――っ！？
沙紀,おっと、そんな怖い顔で睨まないで欲しいっすよ
響子,わかりましたか？
沙紀,へへへ。じゃあ響子ちゃんの可愛い顔に免じてもうしないっすよ
響子,かわっ//
沙紀,そうっすよ
響子,ひゃいっ！？
沙紀,あー、ほっぺにペンキついてたっす。洗ってる時についちゃったみたいっすね
響子,へっ？
沙紀,びっくりさせて申し訳ないっす！。壁ドンっすか？
響子,あんまり気軽にそんなことしちゃだめだからね？
沙紀,へへへ…、面目ないっす
取り急ぎさっき沙紀が響子に対してやったことは、世間では,壁ドン
沙紀,それにしても響子ちゃんは世話好きっすね
響子,そうかしら？
