森久保乃々,以下、森久保とする。
モバP(以下、Pとする。),誤解だから！誤解だから！
P,やめて！。ご、誤解なんだよ！
森久保,そうなんですか……？
P,うん
森久保,じゃああの本、プロデューサーさんのじゃないんですか…？
P,いや、それはまぁ、俺のなんだけど……。ち、違うんだ！。……うん。……あの、森久保？。な、なんで距離とってるの？
森久保,あうぅ…。怖いんです…。か弱い森久保は犯されてしまうんです…。
P,やめて！
森久保,超マニアックな方法で犯すつもり、ですよね…。
P,しないよそんなの！
森久保,夜、レッスンルームの片隅で夜のレッスンも頑張らないといけないぞ森久保ｫ！とか言われながら犯されるんですね…あうぅ…。
P,抜粋するのやめて！さっきの本から抜粋するのやめて！
森久保,なにかP×乃々モノ特有のマニアックな言葉責めとかするつもりなんですよね…。
P,しないよ！やめて！
森久保,アンダーザデスクのみんなも使う机の下でこんなことになってるなんてえっちだな森久保ｫ！とか言いながら犯すんですね…。ヒドイです…。
P,抜粋やめて！音読やめて！
森久保,プロデューサーさんがマニアックな言葉責めを身につけてるんですけど…むぅーりー…。とにかく、そういうマニアックなプレイしようとしてるんですよね……？
P,違うから！そういうんじゃないから！
森久保,さ、さらにマニアックな……？
P,違うよ！ていうかさっき森久保が言ったみたいのはP×乃々ものでは全然マニアックの範疇じゃないよ！
森久保,……え？
P,……あ
森久保,……あ、あれくらいは、基本なんですか…？
P,なんでもない！さっきのなんでもない！
森久保,正直さっきのでもかなりエグいところ抜粋したつもりだったんですけど……
P,聞いて！さっきのは間違いだから！
森久保,もうあれくらいじゃ、満足できないんですね……？
P,やめて！
森久保,プロデューサーさんがどんどん遠くに……
P,遠くに行ってるのは森久保じゃないか……物理的に距離とってるじゃない……
森久保,だ、だって犯されますしおすし……
P,しないよ！。やめて！重い感じにしないで！
森久保,ちゃんと下着とかも、万が一見えても大丈夫なように刺激の少ないものにしてたのに……
P,聞きたくないよ！思春期の女の子の口からそんな気遣いしてること聞きたくなかったよ！
森久保,で、でもそういう飾らない下着の方が、むしろマニアックな興奮ポイントに……？
P,やめて！嗜好を探るのやめて！
森久保,だ、だってさっき言ったくらいはもう基本なんですよね…？
P,間違いでした！さっきの無しで！
