フランツ,ハンナ……
ハンナ,フランツ……
ジャン,あの馬鹿夫婦またやってるぞ……
コニー,うわっすっげぇ舌絡んでる
アルミン,…………ほんとすごいよね
ライナー,教官だけじゃなくてこっちにももう少し気を使って欲しいもんだな
ジャン,無駄だ無駄。あれは完全に二人っきりの世界に入ってやがる
アルミン,自由時間とはいえ宿舎であれだけイチャついててよく教官にバレないよね
コニー,うわーすっげぇ。すっげぇ
ライナー,おい、いい加減離れようぜ。縁のない俺たちには目の毒だ
コニー,すごかったな……
ジャン,どう生きようが人の勝手だとは思うけど流石にあれはな
ライナー,ハハハ、あいつらも悪いやつらじゃないんだが
アルミン,なんていうか、ちょっと過激だよね……
エレン,…………そうか？
アルミン,いやぁどう考えてもあれはやりすぎの部類だと思うよ
エレン,…………いや、普通あんなもんじゃないか？
ジャン,なにが普通、だよ。経験もないのに分かった風にいいやがって
エレン,オレだってキスぐらいしたことあるぞ
ジャン,…………は？
ライナー,おいおいキスぐらい、だって？ぐらいって言ったか今
コニー,マジかよエレン！？
アルミン,ちょっと待ってエレン僕も初耳なんだけど……
ジャン,お前がか？はッ！くだらない見栄を張るのはよせよ
コニー,え、嘘なのか！？なんだよ
エレン,いや、別に嘘じゃねぇよ
ジャン,おいおい！さらに嘘の上塗りしていくつもりかよ！？さすがに格好悪いぜ。フランツをひがんでんじゃねぇよ！
エレン,あ？嘘じゃないって言ってるだろ！！
ライナー,おいおい揉めるな揉めるな。せっかくだから俺達も人生の先輩であるエレンさんにご教授して貰おうぜ
エレン,お、おう
ライナー,まず、誰としたかっていうのが聞きたいな
アルミン,……もしかして僕達の知ってる人？
エレン,ああ
コニー,マジかよ！？誰なんだ！？
アルミン,だよね。訓練兵なんて本当に出会いも何もないもんね……
ジャン,どうせ嘘なんだから気にしたところで無駄だ
エレン,いや……あのさ
ライナー,ん？
エレン,逆に聞くが、誰かわからないのか？
コニー,？
ジャン,……どういうことだ
エレン,いや、だってよ。オレがそういうこと出来るのなんてミカサしかいねぇだろ
ジャン,
ライナー,あーやっぱりか……
コニー,うおおおおあのミカサとかよ！！すげぇエレン！！
アルミン,ちょ、ちょっと待ってエレン！それって子供の頃の話とかじゃないよね？
ジャン,そ、そそそそうだぜ！子供同士のキスなんて誰だってノーカンだノーカン
ライナー,確かに。子供の時のキスってのは普通カウントに入れないな
ジャン,そうだ！キスってのはお互いに愛し合ってる者同士がだな――
エレン,…………いや。なんか、そう構えられるとオレまで言うの恥ずかしくなってきたけど。昨日もしたけど……
ジャン,
ライナー,
アルミン,
コニー,マジかよ！！
ライナー,凄いな……軽い気持ちで話を振ってみたが……
アルミン,待って！本当にちょっと待って！ふ、二人ともいつの間にそんなことになってるのさっ！！
エレン,いや、正確にいつって言われてもな。もうずっと前……シガンシナ区にいた時からそうだったから……
アルミン,そ、それならそれで二人が付き合っているなら言ってくれればいいのに。僕が二人きりになるのを邪魔しているみたいじゃないか
エレン,いや別に付き合ってはないんだ
アルミン,……え？
コニー,は？
ライナー,んん？
ジャン,…………ハハハ、わかったぜ。ほっぺたにキスとかどうせそういう親愛の情的な……
エレン,いやちゃんと口と口だけどよ……
ジャン,
ライナー,……お、おう
コニー,さっきのあの馬鹿夫婦みたいなのか？
エレン,いや、あれよりもうちょっと激しい……
アルミン,あれより激しいの！？
コニー,ど、どんなキスなんだよ……いったい……
ライナー,すげぇな……それでなんで付き合ってないんだ？
アルミン,そんな濃厚な口づけは普通の恋人同士でも滅多にしないと思うよ……うん……
ジャン,
エレン,なんて言えばいいのか
ライナー,おう、こっちももう十分驚いてるからゆっくりでいいぞ
エレン,…………いや、もしかしたらはっきりさせるのが怖いのかな。お互いに家族って肩書きと距離感に甘えてんのかもしれねぇ
ライナー,甘えてる？
エレン,ああ、たぶんお互いの気持ちなんてもんはわかりきってるんだ。ミカサはああだし、な
アルミン,……エレン、知ってたんだ
エレン,え？あいつほど分かりやすいやつもいねぇだろ。オレはそこまで鈍感でもないし
アルミン,いや、それはどうだろう
ジャン,
コニー,わかんねぇな。そんなことやってるのに恋人じゃないって？さっさと恋人になればいいじゃねーか
エレン,たぶんミカサもオレも決定的な一歩を踏んで関係が変わっちまうのが怖いんだと思う
アルミン,エレン……
エレン,あいつもあれで案外照れ屋だからかな。誰かに恋人かって聞かれたら顔を真っ赤にさせて家族だ、って言い張ると思う
ライナー,……その、すげぇな。経験がない俺たちにはすげぇとしか言い用がねぇ
コニー,ああ。確かにすげぇ
アルミン,その。それで、昨日もしたって、二人は隠れてキスをしてるの？
エレン,あいつキス好きだからな。さすがにフランツたちみたいに堂々とは出来ないから二人でこっそりとな
ライナー,その、聞いていいかわからんが、どんな風に？
エレン,どんな風って――
