・独自設定を多く含みます。中には,？
カズ,スネーク、戦車道を知っているか？
スネーク,なんだそれは？
カズ,日本の武道の一つでな。乙女が嗜むものなんだそうだ
スネーク,武道...?戦車でか
カズ,そうだ
スネーク,...戦争はスポーツじゃない。お前もよく知ってるだろ、カズ
カズ,そう言うな。戦車といっても人は死なないように設計されているし、これは戦争じゃない。健全な婦女子を育成し、良妻賢母を育成するための乙女の嗜みだ。日本じゃ1920年代から続いてる伝統ある武芸だ
スネーク,戦車乗りの女が良妻賢母になるだって？
カズ,それに関しては俺もよくわからないんだが...
スネーク,それで、その戦車道がどうしたんだ
カズ,ああ、実は相談があってな。俺達はスカルフェイスを打ち倒し、核廃絶をも成し遂げた。その事実を無駄にすべきではない。その為にはもっと力が必要だ。これから俺達は、次の世代に伝えていかなければならない。あの時代の、記憶と体験...。...罪。子供たちが後世に渡り、俺達の遺志を継いでくれてこそ。俺達は本当に勝利したと言えるのだ。どうだ、ダイアモンドドッグズで培われた技能・思想を戦車道に活かさないか？
スネーク,...
カズ,誰一人死なない、乙女の嗜みの武芸とはいえ形式的には戦車を用いる戦闘競技だ。戦術、戦車の操縦技術、射撃技術、指揮能力...。戦車兵と変わらない訓練が必要だ。授業を通して俺達の理念を伝えられる。俺達なら戦車から教官まで全てマザーベースで用意できる。既に話は来てるんだが、どうだ？
スネーク,日本の学校からか？
カズ,そうだ。アンツィオ高校といって、イタリアの文化を日本に伝えようという理念でイタリア人が創始したイタリア風の高校だ。今はもう戦車道はマイナーな武道だが、戦車道を教えている学校は多い。強豪は、イギリスをモデルにした聖グロリアーナ女学院、ドイツをモデルにした黒森峰女学院、アメリカをモデルにしたサンダース大付属、それからフィンランド軍をモデルにした継続高校...。だが俺達に訓練してほしいと依頼があったアンツィオ高校はどうにも戦績が振るわんのだそうだ。というのも、アンツィオは経済事情が芳しくなく、あまり良い戦車を揃えられなかったり、生徒の練度も低く指揮官も足りていない現状があるらしい
スネーク,イタリアをモデルにしてるというだけある。それにしても、日本の高校が俺達に訓練を頼んでくるとはな
カズ,それだけダイアモンドドッグズの名前が知られているということだ。で、ここが肝なんだが。アンツィオは資金難がいよいよ深刻になり、戦車道どころか日々の運営すらギリギリらしい。そこで、依頼といっても単に訓練だけでなく、出資を願い出てきた。だが、教育機関がPFに出資を受けるというのはあまり印象が良くない。だから、ペーパーカンパニーを設立しようと思う。社名は"OuterHeaven"だ
スネーク,..."天国の外"か
カズ,"勝利か、さもなくば死か""俺達にはそのどちらも許されない"。9年前...いや、もう10年になるか。俺達は仲間を、俺達が帰る家を、総てを喪った。総てを取り返した今でさえ、夜になれば喪くした腕が、脚が痛む。死んでいった仲間たちの痛みは消えない。あんたもそう思うだろう。その戦士達が唯一安寧を得られる場所という意味を込めた
スネーク,...むう
オセロット,ボス、その話だが俺からも相談がある。そのアンツィオ高校はどうやら料理を作らせたら随一らしい。今のマザーベースの食事は、良く言っても米軍のレーションより僅かに旨い程度だ。食事は兵の士気にかかわる。MSFの時とは違って、レトルトパウチ等の技術はあるがボンカレーやドリトス、ペプシやなんかのレシピは失われている。聞いてみると、どうやら糧食の開発に協力してくれるようなことを言っていた。なんなら出前までしてれるそうだ。タダでというわけにもいかんだろうが。アンツィオに出資するのであれば、彼らの協力を基に糧食班を設置したい。一度検討してくれないか
スネーク,...うーむ
スネーク(アバター状態の顔),...で、これからどうするんだカズ。俺は戦車乗りの養成どころか日本語もできないぞ
カズ,そこは大丈夫だ。日本語ができるスタッフを通訳として支援班から何名か引き抜いてきたし、教官としてフルトン回収した元戦車兵を連れてきた。これからこちら側で用意した戦車数輛と起動装甲車を積んだ船で向かうから、その間に準備をしよう。あんたには士気を高めてもらうのと、体育の授業でCQCを指導してもらう任務がある
オセロット,ボス、アンツィオ高校到着まで2週間はかかる。あんたはその間、多少なりとも日本の高校に関する知識を身につけておいてくれ
スネーク,...
捕鯨船,平和丸
スネーク,...。...学校が、街が船の上とは、時代は変わったな。それに戦車道とかいう...。戦車に碌な思い出はないが
オセロット(※スーツ姿),さあ、用意しろ！戦車の類はそのままで良いが、銃器類は持ち込んでないな？臨検で引っかかったらアウトだからな
兵士A(スーツ姿),戦車が良くて銃が駄目なんて、不思議なもんですね
カズ(スーツ・グラサン姿、帽子無),戦車を犯罪に用いるという発想が恐らく無いんだろう。街中じゃ発砲できん設計だしな
兵士B(スーツ姿),しっかし、女が戦車で、それもスポーツで戦うなんてなぁ...おっかねえ
カズ,日本も様変わりしたな
スネーク(スーツ姿),そういえばお前は日本生まれだったな
カズ,この辺に来たことはないがな
スネーク,で、どうするんだ本当に
カズ,まずは学校を見学して、アンツィオの戦車道における課題を洗い出す必要があるだろう
スネーク,まず戦車道にそこまで詳しくないんだが...
カズ,基本的には随伴兵の居ない戦車同士の闘いだ。フラッグ車だけを倒すフラッグ戦と、全車両を撃破する殲滅戦に分かれる。使用できる車両は第二次大戦の終結までに設計が完了し試作されていたもの、またそれらに搭載される予定だった部材を使用した車両のみだ。サンダース大なんかはシャーマンを主に運用してる。ここはそれに比べ貧弱だそうだが
スネーク,...
オセロット,不安なのはわかるが、乗り掛かった船だ。頼むぞ、ボス。俺達もサポートする
スネーク,...ああ
学園長,ようこそいらっしゃいました
カズ,どうも。アウター・ヘヴン社のミラーといいます。こっちは...
スネーク,ジョンだ
オセロット,アダムです
カズ,早速ですが、戦車を見せていただけますか
学園長,はい。案内お願いね
教員,承知しました
スネーク,...これは(博物館レベルの骨董品ばかりだな)
カズ,聞いてはいたが、貧弱な車輛ばかりだな...火力の高い車輛も要修理、燃料の備蓄も少ないときてる
オセロット,これでよく１回戦を突破できたもんだ。指揮官が有能だったんだな。ところで、指揮官はどこに？生徒さんでしょう、話を伺いたいのですが
教員,はい、お呼びします
アンチョビ,こんにちは、アンチョビです
スネーク,君が隊長か？(こんな普通の女の子が戦車兵の隊長なのか)
アンチョビ,えっ、えっと
カズ,ああ、君が隊長か？と
アンチョビ,ハイ、そうです(うわぁぁなんか凄いのが来たぁ～どうしよう...)
オセロット,もう引退しているんだったな。大学は決まっているのか？
アンチョビ,はい、戦車道で推薦の話が来たので
