＜戦車道のルール,抜粋
戦車道試合規則,日本戦車道連盟
杏,ふーん。これってさあ、カルロベローチェあたりのちっこい戦車を走行不能にして、盾にしてつっこんじゃいけないの？
みほ,４－０６の部分に抵触するんじゃないでしょうか？
杏,走行不能車輌は操作せず、他の戦車で押すか運ぶかして、審判が何か言う前に決着させれば良いんでしょ？
みほ,う、う～ん？
杏,あと、人に向けて発砲しちゃいけないらしいから、街にあるペッパーくんとか飛び出すように配置しとけば相手はビビらないかな
みほ,ええ？
ダージリン,という話を聞いたの
オレンジペコ,は、はあ
ダージリン,こんな格言を知ってる？イギリス人は恋愛と戦争では手段を選ばない
オレンジペコ,実行なさるんですか！？
ダージリン,もちろん
オレンジペコ,…………
ダージリン,ではクルセイダーを盾にしましょう
アッサム,聞いていた話と違うのですが
オレンジペコ,クルセイダーじゃ重すぎますよ……
ダージリン,まあ頑張って押しましょう
ローズヒップ,はあ……。おっそいですわねー
オレンジペコ,こんなことしてたら囲まれてしまいますよ？
アッサム,ものの見事に囲まれました
ダージリン,では次の作戦に移行しましょう
アッサム,……ホントにやるんですか？
ダージリン,ええ
オレンジペコ,では市街地から持ってきたペッパーくんを配置しますね
ダージリン,これで敵も撃ってはこないでしょう
ペッパー,コウチャハイカガデスカ？
オレンジペコ,わぁ！？撃ってきましたよ！
ダージリン,おかしいわね
アッサム,心なしか怒っているようにみえます
ダージリン,負けるなんておかしいわ
オレンジペコ,むしろ勝てると思っていたのが驚きです
杏,外部の人から携帯とかで情報を得ると失格になるんだって？
みほ,はい。ただ携帯の持込自体は禁止されていません。一応、走行不能になっていない車輌の選手同士なら通話可能らしいですよ
杏,ふーん。これってさあ、私が観客席に待機してて相手の隊長に電話かけたりしちゃダメなのかな？勝ち確っぽくない？
みほ,ええ……？
杏,でも普通に電話かけた方が失格かな～
ダージリン,という話を聞いたの
オレンジペコ,またですか……
ダージリン,こんな格言を知ってる？イギリス人は恋愛と戦争では手段を選ばない
オレンジペコ,いやってほど聞きました
ダージリン,とにかく、今回はこの作戦でいくわよ
オレンジペコ,すでに発案者が欠陥を見つけてますが……
ダージリン,観客席
アッサム,車内
ダージリン,観客席
アッサム,車内。車内
オレンジペコ,車内
アッサム,隊長が不在で勝てるはずないでしょう……
オレンジペコ,あっ……
ダージリン,あらあら。負けてしまったのね
アッサム,…………
オレンジペコ,…………
杏,この時間切れの場合は延長戦でタイマンってのかっこいいな～
みほ,そうですね。数発で決着するので見てる方もドキドキします
杏,いいね～！やりたいなあ
みほ,でも試合時間は基本的にタップリ用意されていますから
杏,う～ん。煙幕張りながらひたすら逃げ回ってたらダメかな？
みほ,すこし難しいですね。無気力試合と判断されてしまうかもしれませんし
杏,そっかあ
ダージリン,という話を聞いたの
オレンジペコ,そうですか
ダージリン,こんな格言は知ってる？AllIsFairinLoveandWar
オレンジペコ,言い方が違うだけで、この前も聞きました！
ダージリン,そうだったかしら？なんにしても、延長戦を体験してみましょう
アッサム,確かにマウスなど強力な車輌を避けて勝つには１つの手ですが……
オレンジペコ,数時間逃げるなんて無理ですよ……
ダージリン,そこは考えがあるわ
アッサム,橋落とし……ですか
オレンジペコ,これなら十分に時間が稼げそうですね！
ダージリン,でしょう？それと無気力試合と判断されないようにローズヒップに突撃＆脱出を繰り返してもらってるわ
オレンジペコ,これも地味に相手の足を止めることができそうです
アッサム,今回は比較的まともな戦略なので成功しそうですね
ダージリン,今回は……？
アッサム,いえ、なんでもないです
審判,そこまで！制限時間に達したので延長戦に入ります。代表車以外は退避してください
ダージリン,では、行きましょう！
オレンジペコ,装填時間を早められるように頑張ります
アッサム,砲手のプレッシャーは凄いですね
ダージリン,大丈夫よ。落ち着きなさいアッサム
アッサム,はい……
オレンジペコ,それで、どうやってティーガーをタイマンで倒すんですか？
アッサム,正攻法ならまず勝てませんからね
ダージリン,作戦なんてないわよ？
オレンジペコ,えっ……
ダージリン,だってタイマンがやりたかっただけだもの。時間切れにする作戦を考えるだけで手一杯よ
オレンジペコ,ということは……
アッサム,データ上では勝ち目がありませんね
オレンジペコ,ええ……？
ダージリン,ふう。楽しかったわね。あとは勝てれば完璧だったのだけれど……なかなか上手くはいかないものね
アッサム,…………
オレンジペコ,…………
杏,なんだかんだあって、オレンジペコさんとアッサムさんが我が校に来てくれた！
オレンジペコ,よろしくお願いします、みほさん
アッサム,お世話になるわ
みほ,そ、そうですか。こちらこそよろしくお願いします
沙織,頼もしい仲間が増えたねっ！
華,ええ。これなら戦車道大会でも戦えるかもしれません
優花里,かつての敵が味方になるっていうのは燃えますねえ！
麻子,しかし、こんな時期に転校とは……
アッサム,それは……
オレンジペコ,まあ、いろいろありまして……
杏,…………。いや～、まさかこんなに上手くいくとはなー。次はカチューシャあたりをからかってみるか
