モバP,以下、Ｐ
雪美,…P…、…どうしたの…？
P,ええっとな、新作映画のオーディションで雪美に合いそうな役があったんだが、中々演技の難易度が高そうなんだよ
雪美,…どういう……役……？
P,ヒロイン役なんだが、多重人格の女の子で日常の出来事がトリガーになって、色んな人格に切り替わるんだ。普段は物静かで、落ち着いた雰囲気のキャラクターらしい。監督から指定されている条件も小学生～中学生くらいの綺麗な長い髪の女の子ってことだから、別人格の演技さえ上手くできれば雪美にハマると思うんだよなぁ
雪美,…Pは……、…私に……映画………出て欲しい……？
P,出来るなら、出演させたいと思ってるよ。この監督、かなり優秀な人で話題作もいっぱい作ってるからなぁ。出演したらファンもたくさん増えるはずだ
雪美,…そう……。…うん……、…Pの気持ち……伝わる……。…私も……、…Pと同じ気持ち…。…出たいと……思う……
P,分かった。じゃあ、来週のオーディションに参加しよう。ただ、分かっていると思うけど、今の雪美だとヒロインを演じるには表現力が足りない
雪美,…うん……。…特訓……、…必要………
P,だな。で、オーディション対策として特別レッスンを考えてみたんだ
雪美,ふふっ……。…秘密の……個人レッスン……ね…？
P,お、おう。確かにトレーナーさんの空きがないから俺が一緒にレッスンするけど、誤解を招きそうな発言はやめような！
雪美,…ふふっ……。…なんのこと……かな…？
P,雪美はお茶目さんだなぁ！。さて、気を取り直してレッスンの話だ。いきなり適当なお題を出されても演じるのは難しいだろうから、事務所のアイドルのモノマネをしてもらおうと思う。普段からよく知っているアイドル連中なら、特徴や口調なんかも捉え易いだろう？ウチのプロダクションは個性豊かな人間が盛り沢山だから、真似するだけでも演技の上達に繋がると思うんだ。どうだ、雪美。やれそうか？
雪美,……うん…。…ものまねだったら…多分……できる……。…まかせて……
P,よし、決まりだな。ちょうど空いてる会議室があるから、そこで練習しよう！
雪美,…うん……。…いっぱい…演技する……
雪美空前絶後のぉ…！！三点リーダーアイドルっ…！！ペロを愛しっ！！ペロに愛された女の子！！前川みく、一ノ瀬志希、高峰のあ、すべての猫アイドルの生みの親ァ！！！そう、私こそはぁ！！！佐城ぉぉっ！！！ﾎﾞﾌｯ,ペロを頭の上に乗せる音葉
雪美,
P,おおー、よしよし。雪美はよく頑張った。えらいえらい
雪美,うう……。…すごく……、…疲れた……。…雪美はもう…、…働かないよ……
P,ははっ。杏っぽい雪美もギャップがあっていいな。たまには、こんな感じもありかもな
雪美,……P…、……養いたく……なった……？…一緒に暮らしたら……私とペロ……、…一緒に遊べて……楽しい……よ…
P,魅力的な提案だなー。杏と違って、雪美は家事とかも頼めばやってくれそうだしな
雪美,…一家に一人と一匹……。…雪美とペロ……だよ…。…ごろにゃー……
P,かわいいかわいい。それにしても、雪美にこんなに引き出しがあるとは思わなかったよ。将来、女優を目指すのもいいかもな
雪美,……。…Pは……、…演じてる私の方が………好き…？
P,…ん？まあ、色んな雪美を見れたのは、楽しかったな
雪美,……そう…
P,おおっと、いきなり俺の胸に顔を押しつけてきてどうした？雪美さん、ヤバイよー。早苗さんに見つかったら俺、シメられちゃうよー
雪美,……知らない……
P,……。……大丈夫だよ。俺は雪美のこと、ちゃんと見てるから
雪美,……
P,どんなキャラクターを演じても、本当の雪美を忘れたりしないさ
雪美,…！。……ふふっ…。…Pと私……、…やっぱり心…繋がってる……ね……。…ん……。…それなら……、…安心……。…うん……。…私……、…オーディション……がんばる……
P,おう。雪美ならきっと受かるよ。応援してる
雪美,……ねぇ…、…P……。…オーディション……受ける前に……、…勇気……分けて欲しい……
P,勇気？
雪美,…うん……。…ちょっとだけ…だから……
P,んん！？なんか雪美の顔が、目の前に迫って来てるんだが！
雪美,……奏のものまね……だから……、…ダイジョーブだよ……。…Pのキスで……、…私を…満たして…欲しいの………。…胸から零れ落ちほどでも……いいから……。……Pの…愛情の海で……揺蕩いたい……
P,ゆ、雪美！それ、まじでヤバいって！事案、事案なっちゃうから！リアルに冷たい牢獄に捕らわれるやつだから！第一、奏は基本寸止めだぞ！思わせぶりだけど本当にはしてないからな、たぶん！
雪美,……ものまね…、…誇張した方が……それっぽく見える……。…だから……レッスン的に……キスするのが正解………だよ…。……Ｐ…、…人生……あきらめが肝心……。……受け入れて……
Ｐ,雪美、ちょ、ま、マジでダメだって！あっ、あっ、あっ、アーーｯ！！
