新田弟,以下弟表記
弟,楽しい学校生活を送りたいなあ。そのためには、まずは面白そうな友達を作らないとな
担任,みんな、入学式お疲れ様。では早速、クラスのみんなの自己紹介から始めよう
弟,自己紹介か……何言うか考えておかないと
アーニャ,ええと……はじめまして。ミーニャザヴートアナスタシア……私は、アナスタシアといいます。アーニャと、呼んでください
弟,………！。銀色の髪、白い素肌。そしてなによりその美しく整った顔立ち
アーニャ,よろしく、お願いしますね？
弟,
クラスメイトA,ああ、隣の席の人が鼻血出して倒れた！名前知らないけど！
クラスメイトB,現実でこんな反応するヤツ初めて見た！
弟,拝啓、お父様、お母様。本日、僕はめでたく恋をしました。一目惚れです。その日から、俺の恋の挑戦は始まった。途中で彼女がアイドルであることを知ったが、諦めることはしなかった。仲良くなろうとするくらいならセーフだろうと、自分に言い聞かせた
アーニャ,ドーブラエウートラ……おはようございます
弟,お、おおはようごじゃいます
アーニャ,………？
弟,どんな困難が立ち塞がろうと
男子生徒A,アーニャさん、この前のライブ見に行ったよ
女子生徒A,かっこよかったー！
アーニャ,フフ……ありがとうございます
男子生徒A,お前もそう思うよな！
弟,は、ははははいそうですね
アーニャ,？
弟,立ち塞がろうと！。あ、あの……アーニャさん
アーニャ,シトー？なんですか
弟,えっと、今度よかったら、俺と……や、やっぱなんでもないです
アーニャ,？
弟,立ち塞がろうと……。今日発売のこの雑誌に……あった！。アーニャさんのグラビア……今回は冬がテーマか。ロシア人とのハーフなあの人にはぴったりだな。白い肌と白い雪のコラボレーション……相変わらずお美しい！。教室で制服姿は拝んでいるけど、やっぱりオシャレな服着るとまた違った魅力があるよなぁ。………。もっとお近づきになりたい……もう年が明けたというのに、まったく彼女と仲良くなれる兆しがない。いまだに二人きりで話したことないし……ガチガチに緊張して、面白いことも言えないし。ダメだな、俺……なにか、なにかきっかけがほしい
美波,ご飯だよー
弟,はーい。姉ちゃんがあの人とアイドルユニットを組んでいるという、他の連中にはないアドバンテージがあるんだけどなあ
美波,あ、そうだ。ママ、アーニャちゃんがお料理の練習したいって言ってるんだけど。ウチ、使ってもいいかな？
母,ええ、いいわよ。そういえば、あなたから話はたくさん聞いたけど、その子がウチに来たことはなかったわね
美波,私が寮のお部屋にお邪魔したことはあるんだけどね
弟,………！
父,どうしたんだ。箸が止まっているぞ
弟,ね、ねねね姉ちゃん。それで、アーニャさんいつ来るの？
美波,今度の土曜日。二人ともオフだから
弟,お、俺、家にいていいの？
美波,別にいいけど……というより、クラスメイトなんだから挨拶くらいするのが普通じゃない？
弟,そ、そうだね。アハハ
美波,………？
弟,キタ、キタ、キタ！！自宅来訪だ！
美波,あんまりアーニャちゃんと仲良くないのかな……喧嘩とか、してなければいいんだけど
