アイドル達から見た俺の印象は……,気のいいオジサン
出来ればまだ,お兄さん
亜美,あっ、兄ちゃん。ここにいたの
P,おう、亜美か。亜美こそどうしたんだ？
亜美,どうもこうもないわ。アナタに会いに来た……。それだけよ
P,そっかそっか
亜美,華麗に受け流したね
P,何か用か？
亜美,用がなくっちゃ話しかけちゃいけないの～？
P,何を言う。俺は元々クールキャラを全面に押し出しているってのに
亜美,あはは～。そのギャグ超面白いね～！
P,ギャグのつもりはさらさら無かったんだけども……。……で、亜美はホントにどうしたんだ？あっち行かなくていいのか？亜美、楽しいの好きだろ
亜美,おやぁ？兄ちゃんなんだか寂しそうじゃない？
P,この年になると男は少なからず憂いを帯びてくるものなのですよ
亜美,そんな可哀想な兄ちゃんを、亜美が優しく慰めてあげるよ！ホラ、胸に飛び込んでくるんだー！。ちょっ、兄ちゃんマジな跳躍体勢！流石にちょっと怖いよ！
P,まあ冗談ですよっと。さってと……。そろそろ仕事に戻るかなー
亜美,あ……まだお仕事終わってなかったんだね
P,いや今日のノルマは終わったんさ。後はまあ時間もあるし。ちょいちょいと
亜美,なるほど。実は結構ヒマってことですな！
P,まあ……うん……ヒマですね。やること特に無いです今
亜美,じゃあさ！じゃあさ！ヒマだったんならさ！亜美と一緒に一狩り行こうぜ！
P,おっ。いいねえ。やってやろうじゃん
亜美,ぐっふっふっふ～。仕事場にゲーム持ち込むなんて、兄ちゃんも意外とワルよのぅ……
P,いえいえ、亜美殿には敵いませぬ……
P＆亜美,ぐっふふふふ…………
P,よし。んじゃこのコーヒー飲み終わったらそっち向かうから、先に行っててくれ
亜美,了解ー！奥の部屋で待ってるよ～！
美希,ハニー！今度のオフ、ミキと一緒に映画行こーよ！
後輩P,おいおい……。美希はオフでも、俺は仕事があるんだよ
美希,むぅー……。なら律子に任せればいいの
律子,何言ってんの
春香,プロデューサーさん！私、そういえばクッキー焼いてきたんでした！食べませんか？
後輩P,おっ、春香のクッキーは美味いからなぁ。楽しみだよ
8ヶ月かけて,そこの人
亜美,兄ちゃん遅いよー。何やってたの？
P,あー、ちょっとな。ごめんごめん
亜美,早く行こうよー！亜美はもう準備万端だよん
P,ちょい待ってくれって。えと……亜美はまた大剣か
亜美,身の丈よりも大きな剣を振るって巨大なモンスターに挑む美人女戦士……かっくいー！
P,亜美さんのキャラクターアフロのマッチョじゃないですか
亜美,心は乙女なのだ！
P,気ぃ持ち悪ぃ！
亜美,兄ちゃん兄ちゃん！そっち行ったよ！
P,任しとけっ
亜美,あー、兄ちゃん。ラストはカッコいい必殺技で締めないと駄目っしょ
P,そんなシステムこのゲームにないやん
亜美,兄ちゃんが叫ぶんだ！
P,リアルでやるのか。痛々しいな
亜美,ほい。技名カモン！
P,…………サ、サンダーブレイド
亜美,小学生並みのネーミングセンスだね
P,童心を忘れない純粋な心の持ち主ということですね
亜美,あっ、逆鱗が出た！やったよ兄ちゃん！
P,えっ、スルーしちゃんだ
亜美,これで新しい装備が作れるよ～
P,そこだ亜美！頼んだ！
亜美,任せといてよ！どりゃー！。……や、やった……！
P,おう。お疲れさん
亜美,やっと倒せたよーっ！ありがとう兄ちゃん！
P,ちょっ、抱きつくなって！
亜美,真美と協力しても駄目だったんだよー！やっぱ兄ちゃん流石だねっ！
P,分かったから分かったから。とりあえず離してくれよ
亜美,おっと、ごめんよ兄ちゃん。むふふー。兄ちゃん顔赤いよー？亜美のセクシーボデーに悩殺されちゃった？
P,何言ってんだ中学生
亜美,あう……。もう。ツレないなあ兄ちゃんは
P,もしツレるような事があれば大問題だよ。社会から抹殺されちゃうよ俺
亜美,恋に年の差なんてカンケーないっしょ！ほれほれー
P,チョーシに乗らない中学生
亜美,あうぅ……
P,おkおk
亜美,軽すぎっしょ！乗ってよ兄ちゃん！
P,ｿｰﾘｰｱﾝﾄﾞｿｰﾘｰ
亜美,それじゃあちょっと行ってくるねー。亜美がいなくて寂しさのあまり号泣しちゃ駄目だよ
P,大丈夫さ。双海亜美は俺の心の中で生き続けるから。永遠に
亜美,なんか亜美が星になったみたいだね。おっ待たせー！いやぁ。この充電器のヤツ、恥ずかしがって中々姿を見せなくって……。どしたの？兄ちゃん
P,え？何が
亜美,涙、出てるよ
P,え、嘘！？
亜美,兄ちゃんホントにどうしたの？大丈夫？亜美、何かしちゃった？
P,な、なんでも無いよ。ホントに
亜美,なんでも無くないよ。兄ちゃんの顔見れば亜美だってすぐに分かるよ。……兄ちゃん。なんかあったの？。兄……ちゃん？
P,あれ？ホントにどうしたんだろ……俺。ホントに……。亜美は……。俺と一緒にいて楽しいか？
亜美,どしてそんなこと言うのさ
P,俺は……寂しい
亜美,そんなこと……。そんなこと……。無いよ！無い！絶対に無いよ！！どーして！……どーしてそんな……そんな……悲しい事言うのさ！！
P,そっか……。そっか。ありがとな、亜美。でも……さ。やっぱ皆に好かれるアイツを見てると……。敵わねえっつかね。なんか……切なくなったワケよ
亜美,ああ～。みーんなあの兄ちゃんの事大好きだからね～。……特別な意味で
P,あ、やっぱ亜美でも分かるか？分かるよなぁやっぱり……
亜美,うん。よく真美から相談も受けてるしね
P,…………亜美は……？どうなんだ？
亜美,亜美は……。まだよく分かんないや
P,あっ、やっぱり？
亜美,やっぱりって……。兄ちゃん結構失礼だね
P,え？ああ、ごめんごめん
亜美,実はね……。あずさお姉ちゃんに聞いてみたんだー。”人を好きになるってどういうコトなの？”ってさ
P,ふぅん。そんな事があったのか？
亜美,うん。なんだか真美に置いてかれちゃったような気がしてさ
P,あずささんは何て？
亜美,”そうねえ……。その人とずっと一緒にいたいなぁって思うこと……かしら？”だってー
P,へぇ。なるほど……
亜美,でも、でもさ
P,どうした？
亜美,それなら亜美は、皆とず～っと一緒にいたいよ。……ひょっとして亜美、恋多き女ってヤツ？
P,……ははは。そっかそっか
亜美,兄ちゃんは？
P,はっ？
亜美,兄ちゃんはどう思う？そのー……
P,ああ、人を好きになるってことか。一緒にいると、心の底から明るくなれる……って感じかな？幸せになれるっつか、なんつーか
亜美,なるほどねぃ……はっ！またもや亜美が恋多き女に！。うえーん兄ちゃーん！亜美はとんだ尻軽女だったよ～
P,コラ、どこで覚えたそんな言葉！
亜美,やっぱり亜美にはまだ分かんないや
P,ま、その内亜美にも来るよ。そのー……初恋ってヤツ
亜美,ほうほう。それは楽しみですなぁ……。あ、そだー、ちなみに兄ちゃんの初恋っていつ？いつ？
P,高二
亜美,遅！
P,ほっとけ！大変だったんだぞ。一時は自分がゲイなんじゃないかと本気で悩んだ時期も……
亜美,でさでさー。どんな人だったのー？
P,えー……言わなきゃ駄目か？
亜美,ダメー！
P,亜美みたいな人だったよ
