モバP,智絵里は最近本当に頑張ってるなあ！。これはご褒美としてなにかしてやりたいが……。智絵里は遠慮しがちだからなあ。多少強引になるかもしれんが、甘やかそっと！。最終目標は向こうから甘えてくることだな。おーい！智絵里ーっ！
智絵里,っ！は、はいっ。なにか用ですか？
P,うん。ちょっとこのソファーに座って
智絵里,……？
P,よし。よーしよしよしよし！！
智絵里,ひゃあっ！
P,智絵里は偉いなー！頑張り屋さんだなー！
智絵里,ちょ、ちょっと……Pさん！
P,ん？
智絵里,わたし、これから撮影ですよ？なのに髪がボサボサになっちゃいました……
P,いけね……。今直すからな……
智絵里,んっ……どうしたんですか？急にあんな……
P,いや智絵里が頑張ってるからさ。なんかしてやれないかと思ってな
智絵里,そんなこと……でも……
P,うん？
智絵里,こうやって優しく撫でてもらうと、なんだか気持ちいいです……ふふっ
P,あー可愛い
智絵里,そ、そんな……可愛いなんて……
P,いや、智絵里は可愛いよ
智絵里,うう……
P,智絵里可愛い！
智絵里,
P,智絵里は可愛いなぁ！！。うおっ！まさかちっひ
幸子,ボクも相変わらずカワイイですよ！プロデューサーさん！
P,幸子かよ……
幸子,なんだとはなんです！
P,まったく……今日は幸子も撮影だぞ
智絵里,あっ……
幸子,わかってます！ボクのカワイさを全面に撮ってもらいましょう！
P,お前は……この！こちょこちょ！
幸子,あはっ！あはは！やめてください！プロデューサーさん！あはは……
P,このこの！
幸子,あはは！
智絵里,……
幸子,はあ……ひー……
P,どうだ……参ったか……はあ……
幸子,プロデューサーさん……やりすぎです……
P,ハハハ……
幸子,そういえば智絵里さんもう行っちゃいましたよ……
P,え？
幸子,さっき無言で事務所出ていきましたよ？
P,言えよ！！
幸子,す、すみません……プロデューサーさんがボクに夢中なあまり……
P,あぁ！智絵里に悪いことしたな……
幸子,まあ、こんなこともありますよ。気になさらないでください
P,うるせ！この
幸子,ちょ、あはは！
P,昨日は智絵里を甘やかすつもりが幸子いじりで終わってしまった……。しかし今日は違う！ここに美味しいケーキを用意したぞ。これでお詫びをかねて、智絵里を甘やかそう。ナイスタイミング
くるみ,お、おはようございましゅ……
P,くるみか……
くるみ,ふぇ……ご、ごめんなしゃい……ふぇぇん
P,あー！くるみが来てくれてよかったなあ！嬉しいなー！
くるみ,ほ、ほんと……？
P,もちろん
くるみ,ぐすっ……えへへっ
P,可愛い
くるみ,えへ……ん！そのケーキ、くるみが食べてもいいの？
P,え！！いや！コレは……
くるみ,う……ぐすっ……くるみはバカだし、そんなご褒美貰えないよね……
P,いや、そんなことないぞ！くるみはよく頑張ってるからな。コレ実はくるみのご褒美なんだー！
智絵里,おはようございます……
くるみ,ほんと？くるみ頑張ってる？
P,おう！
くるみ,ご褒美？
P,そうそう！ほら、あーん
くるみ,あーん！……美味しい！これ凄く美味しいよ、ぷろでゅーしゃー！
P,そりゃ有名店に一時間並んでゲットしたからな……
くるみ,くるみのためにそこまで？ぷろでゅーしゃ大好き！
P,ありがとうな……あたってるけど、こりゃ素晴らしい……
くるみ,もう一回あーんして！
P,いやもうちょっとだけ……
くるみ,くすぐったーい……あはははっ
智絵里,……いってきますね
P,ふぅ……満足。それにしても、智絵里遅いな……今日は朝一で撮影があるはずなんだが……
くるみ,ちえりしゃん？さっき事務所出ていったよ？
P,な！え！？マジか……
くるみ,なんかぷろでゅーしゃー楽しそうだったから言わなかったけど……
P,そ、そうか……あ、ありがとう？な。くるみ
くるみ,えへ……
P,昨日は結局くるみに構って終了したな……。駄目な訳じゃないんだが、俺は智絵里を甘やかしたいんだよ！。と、いうことで今日は智絵里に一日付いて動こう
ちひろ,駄目ですよ
P,why？
ちひろ,貴方この二日間、自分のパソコン業務してないでしょう。めちゃくちゃ溜まってますよ
P,。……
ちひろ,ふんふーん
P,ｱﾄﾁｮｯﾄ……
ちひろ,はいコレ追加で
P,
ちひろ,ちょっとコンビニ行ってきますね。なにかほしいものあります？
P,ﾁｴﾘ
ちひろ,はい栄養ドリンクですねーそれじゃ
P,。ｱｰﾅﾀｰｶﾞｰｸﾚﾀﾎﾎｰｴﾐｰ。ｳﾚｰｼｸﾃｰ
智絵里,おはようございます……。Pさん！今日は一人ですか……？
P,ﾀｲｰｾﾂﾃﾞｰ。ｺﾚｻｴｵﾜﾚﾊﾞ
智絵里,……。……お忙しいみたいなので、また今度、お話ししましょうね……
P,ﾁｴﾘﾆ……って、智絵里！？。あれ……？
ちひろ,ただいま戻りましたー
P,終わりましたよ！全部！
ちひろ,おや、早いですね。はいスタドリ
P,はいどうも！。んごごご。ぷはっ貴方のせいで、せっかくのチャンスを逃しましたよ！おそらくですけど！
ちひろ,あら、人聞きの悪い……。最近、智絵里ちゃんと話しましたか？
P,……色々重なって、あんまりです
ちひろ,そうですか……なんだか心配ですね
P,ええ……だから明日こそは……。いけねー！家の鍵忘れちゃったよ！。確か机に……ん？。鍵がない……。あれ？俺ここに置いたよな？まあスペアも事務机に置いてあったハズだし……。はいあったー！じゃあ、お疲れ！事務所！また明日！。おはようございまーす！。今日は事務もなし！付き添いで行かなきゃいけない仕事もなし！。こりゃ智絵里日和だな……。ハハハ。キタコレ
智絵里,おはようございます……
P,え！マジで！やったーっ！
智絵里,え？きゃっ……
P,会いたかったぞー！智絵里ーっ！
智絵里,ぴ、Pさん……そんなにですか？
P,うん。最近あんまり構ってあげられなくてごめんなー
智絵里,か、構ってって……わたしはペットじゃないです……
P,ごめんごめん
智絵里,でも……
P,？
智絵里,わたしも、ちょっとだけ……寂しかったです……
P,ふほっ……
智絵里,今までの分も、お話ししたいです……
P,ああ！しよう！４時間くらいしよう！
智絵里,ふふっ……お仕事、遅れちゃいますよ……？
P,構うもんかー！ハハハ！
智絵里,えへへっ……
P,あっという間に一日が終わったな……
智絵里,はい……でも、とっても楽しかったです
P,俺もだよ。久々に智絵里とこんなに一緒にいた気がする……
智絵里,これからも、もっともっと一緒にいれますね？
P,？おう……
智絵里,わたし、もう寂しくないです……
P,そうか？そりゃよかった！寮まで送るよ
智絵里,ふふっ……。大丈夫ですよ
P,？
智絵里,あとで、きっとまた会えますから……ふふふっ
