そのいち,ままゆの場合
まゆ,プロデューサさんったら…こんなにデスクの上を散らかして…。仕方がないからまゆが片付けて…あら？
輝子,ども…引っ越してきました…ﾌﾋ
まゆ,輝子ちゃん、こんにちは。にしても、なんでプロデューサーさんの机の下に？
輝子,ｺｺは暗くてｼﾞﾒｼﾞﾒしてて落ち着く…ﾌﾌﾌ。ま…まゆも入ってみる…？ﾌﾋ…
まゆ,じゃ…じゃあちょっとだけ…
輝子,いらっしゃいませー…ﾅﾝﾁｬｯﾃ…ﾌﾌﾌ
まゆ,これは…。たしか落ち着く…プロデューサさんの机だからかしら…。ちょっとプロデューサーさんの匂いもする気がする…
輝子,ど…どうかな…？ﾌﾋ
まゆ,落ち着く…わね
輝子,それは…よ…よかった…ﾌﾋ
そのに,岡崎先輩の場合
輝子,ﾎﾞｯﾁﾉｺｰ♪ﾂｸｴﾉｼﾀﾉﾎｼｼｮｳｺｰ♪
泰葉,あれ？どこから聞こえて…？
輝子,こ…ここにいるぞー…ﾅﾝﾁｬｯﾃ…
泰葉,ひゃぁ！？な…なんだ輝子ちゃんか…
輝子,お…岡崎さんのそんな声、初めて聞いた…ﾌﾋ
泰葉,ちょ…ちょっとビックリしただけで…。そんなことよりっ…輝子ちゃんそんなところでいったいなにを…？
輝子,く…暗い場所でﾎﾞｯﾁだと落ち着くのですよー…ﾌﾌ
泰葉,そ…そっかぁ…。ちょっと楽しそうかも…
輝子,ﾎﾞｯﾁﾉｺの隣空いてますよー…ﾌﾋ
泰葉,じゃあ…ちょっとだけ…失礼ますー…？
輝子,い…いらっしゃい…ﾌﾋ
泰葉,ふぅ…。そういえばこんなことするなんて…。昔の私じゃ考えられなかったなぁ…。ふふっ…
輝子,お…岡崎さん…楽しい…？
泰葉,うん、ちょっと楽しい…。私ちっちゃいころからお仕事ばっかりだったから…。なんだかかくれんぼして遊んでるみたいで…。えへへっ…
輝子,おっ…岡崎さん…
泰葉,ん？どうしたの…？
輝子,こ…こんどプロデューサーとか誘って…あ…遊びに…いこ？
泰葉,…ありがと輝子ちゃん
みく,なんでにゃ！！
そのさん,前川みくの場合
みく,まったく…前は酷い目にあったにゃ…。かわいらしく土管から尻尾だけだしてたはずなのに…。ん？なんか聞こえるにゃ…？。えっ？えっ？なんかこわいにゃ！？。おおおっ…お化けにゃ！？。はいにゃぁ！！！
そのよん,荒木比奈の場合
比奈,昨日も徹夜だったっス…。事務所のソファーでも借りるっスかね…。おはようございまース
P,ぐぅ…
比奈,ありゃ、先客っスか…。もうこうなったらプロデューサーのデスクでも…
？？？,ﾌﾋ…
比奈,んっ…？下に誰か？
輝子,お…おはよう…比奈さん
比奈,あぁ、輝子ちゃん、おはようっス
輝子,比奈さん眠い…の？
比奈,そうなんスよ…昨日徹夜で…
輝子,…！。よっ…よかったら…ひ…膝貸す…？
比奈,えっ…いいんスか？
輝子,う…うん。あと一人くらいなら入れる…座布団も敷いてるし…狭いけど…ﾌﾋ
比奈,んー…じゃあお言葉に甘えて…
輝子,おひとり様はいりまーす…ﾌﾋ
比奈,じゃあ…
輝子,膝枕なんて初めてした…ﾌﾋ。ど…どう…かな？
比奈,け…結構なお手前で？。膝枕なんて初めてっス…
そのご,諸星きらりの場合
きらり,にょわー…
輝子,ﾌ…ﾌﾋ？
きらり,輝子ちゃんかわいいにぃ…
輝子,お父さん、お母さん、私は今初めて命の危機を味わつています…
きらり,輝子ちゃんもきらりんハウスではぴはぴすぅ…？。ちょっとの間だけだにぃ…痛くしないにぃ…
輝子,ﾌｯ…ﾌﾋ!?
そのろく,遊佐こずえの場合
こずえ,しょーこー…どこー？。ぷろでゅーさーがさがしてきてってぇー…。しょーこー…。…？どこー…？。しょーこー…
輝子,こ…ここだよー…ﾌﾋ
こずえ,しょーこいたー…。しょーこかくれんぼしてたのー？
輝子,ち…違う…けど？
こずえ,こずえもするー…かくれんぼー
輝子,ﾌ…ﾌﾋ？
そのなな,安部菜々の場合
菜々,ﾐﾐﾐﾝ♪ﾐﾐﾐﾝ♪ｳｰｻﾐﾝ♪
輝子,…
菜々,ｳｻｳｻｳｰｻ♪ｳｰｻﾐﾝ♪
輝子,…
菜々,ん…？なにやらあやしい気配が？
輝子,…
菜々,んー…
輝子,…！
菜々,やっぱり気のせいかぁ…。最近、腰が痛くて仕方ないなぁ…湿布変えなきゃ…。幸い事務所には誰もいないし…。あれ？湿布の変えが無い…
輝子,…！！。…！
菜々,ん？こんなところに湿布なんか有ったっけ？。まぁ使っちゃえ
輝子,プロデューサーが菜々さんが無理してないかたまに見ててって言ってた…気が付かれないようにって…ﾌﾋ
そのはち,森久保の場合
輝子,お隣さーん
乃々,なんですか…もりくぼは漫画に埋もれて動けないんですけど…
輝子,ご…ごはんでも一緒にどうかなって…掘り出そうか？
乃々,お願いします…
輝子,た…たいへんだった
乃々,なんか(少女)漫画好きだって言ったら荒木さんと大西さんが大量に詰めていったんですけど…いぢめですか？
輝子,わ…悪気はないと思うよ…？
乃々,悪気がないならいいんですけど…
輝子,とりあえずごはん食べよ…さっき収穫した…ﾌﾋ
乃々,なんかあきらかに危険な色なんですけど…あきらかに食べるな危険なんですけど…
輝子,あ…愛があれば大丈夫？
乃々,疑問形の時点でもりくぼは逃げますげどっ…！
