塩見周子,櫂ちゃんってさ
西島櫂,うん
周子,大坂出身だよね
櫂,そうだよ？
周子,でも櫂ちゃんが関西弁喋ってるとこ見たことないからさ
櫂,あぁ、それは――
モバP,櫂は副音声を使ってるからな
周子,Pさんふっつーに仮眠室から出てくるよね
櫂,もはや自宅のように仮眠室に寝泊まりしてるもんね
P,ここは家賃が安くて助かる
櫂,えっ
周子,いや明らかに嘘でしょ。Pさんの冗談はおいといて
P,ひどい
周子,ひどくないって。で、副音声ってなんなん？
P,方言を標準語に修正するシステム。うちのプロダクションでも結構使われてるぞ
周子,なにそれこわっ
櫂,うん、あたしも副音声使ってるから関西弁じゃないんだ
P,ではここで櫂に副音声を切ってもらおう
櫂,えっ
周子,そんなんもできんの？
P,できる。というかいざという時に自分で切れないようじゃシステムとして未熟
櫂,プロデューサー……ホントにやらなきゃ駄目？
浅野風香,ただいま戻りましたっ！
P,おかえり風香、ナイスタイミングだ。珍しいものが見れるぞ
風香,珍しいものですか？
P,ああそうだ。関西弁の櫂が見れる
風香,あっそれは珍しいですね！
P,そうだろうそうだろう
櫂,はぁ……
周子,早めにやってパパッと終わらせた方がええんちゃう？
櫂,そうだね……じゃあ！
風香,……
周子,……
櫂,そんな見られても見た目は変わらんからね？
風香,か、櫂さんが関西弁に！
櫂,そんな驚かんといてよー
周子,ねえPさん、他に副音声使ってる子って誰がいるの？
P,クラリスとかもそうだ。バリバリ関西弁だぞ
櫂,関西弁ばっかやん
P,ああ待て、他の地域からもちゃんと使用者は出てる。沖縄からはなんとあの冴島清美が参戦だ
風香,おぉー
P,凄いぞ、副音声なしだとはいさーい！とか言う
周子,え、超☆風紀委員さー！とか言うの？
P,と思ったらテレビで我那覇響が喋ってただけだった
櫂,副音声ちゃうやん。副音声どこいったんよ
P,冴島は多分副音声使ってないぞ。あれは超☆特訓の結果だと思う。あいつは物凄く努力家だから
周子,その話今する必要ないよね？
P,まったくだ。誰だ関係ない奴の話を持ち出したのは
櫂,Pさんやん！
P,そろそろ副音声とかいう嘘をでっちあげ続けるのにも飽きてきた
風香,嘘だったんですか！？
P,嘘だったんです。そもそもそんな技術はまだ存在していない、はず
周子,……まあ、途中で薄々気付いてはいたけどさ
櫂,いやー、まさかいきなり関西弁を喋らされるとは思わなかったよ
周子,か、櫂ちゃんが標準語に！
P,それはいつもの事である
櫂,小さい頃に住んでただけだからたまに出る、ってくらいなんだよね。あたしの関西弁
P,しかし櫂が乗ってくれて助かった
櫂,まあ、あのくらいはね！
P,さすが櫂はスイマーやってるだけある。スイマーは話の流れも乗りこなす
周子,流れを乗りこなす、って言い方だとサーファーっぽくない？
風香,確かにそうですね
P,さすが杉坂はサーファーやってるだけある。サーファーは話の流れも乗りこなす
櫂,別人じゃん！
周子,Pさんの担当アイドルですらないし
P,これが男子三日会わざれば刮目して見よというやつだ
風香,それそういう意味じゃないですよ？
P,さて本題に入ろう。風香、うちのお菓子は何だ
風香,は、はい！うちは昨日クッキーが出ました！
P,待て風香、うちとは言ったがお前の家のお菓子事情を知りたかったわけじゃない。でもいいなクッキー、久しぶりに食べたい
風香,じゃあ今度持ってきましょうか？
P,ぜひお願いしたい
櫂,で、結局何の話なのさ？
P,そうだ、お菓子の話だ。先月のお菓子係としおみーの頑張りによってうちの事務所のお菓子はしおみーの実家の和菓子になりました
風香,それって凄く高級なんじゃ……
P,うん、凄く高い。だからみんなも先月のお菓子係としおみーにお礼を言おう
風香,ありがとうございます周子さん！
周子,そんな改まらんでもええよー
櫂,先月のお菓子係って誰だっけ？
P,それも私だ
風香,Pさんもありがとうございます！
