早坂美玲,えっと……レッスンやった、撮影もやった……で、その後のレッスンも……
美玲,よしッ！今日のお仕事は終わりだな！。ん……でもこのまま戻ってもヒマなだけだしな……。まいっか、どうせここまで来ちゃったし。誰かいればいいんだけど……ん？。あ、プロデューサーたちが話してるのか。なに話してんだろ。ただい……。ま……ってなんだ今の
Ｐ,おう、お疲れ美玲
森久保乃々,お、お、お疲れさまです……！
星輝子,あ、おかえり……フフ
美玲,あ、うん……あの、さっきなんかスゴい音してなかったか？
Ｐ,そうか？多分シュレッダーかなんかの音じゃないか？
美玲,シュレッダーでもあんな音出ないだろ……
千川ちひろ,いやぁ、うちのシュレッダー古いですからねぇ
Ｐ,ですねぇ
美玲,そんなモンなのか、ここのシュレッダーって……
ちひろ,お仕事お疲れさま美玲ちゃん。何か飲む？冷たい麦茶があるけど
美玲,うんっ、お願いするぞちひろさん
ちひろ,それじゃあ、今から持ってきますね
美玲,あ、そうだ！プロデューサー！
Ｐ,ん、なんだ？
美玲,なんかウチが来る前に話してなかったか？輝子とか乃々とかと
Ｐ,ああ、あー……。……いや、何も話してないぞ？
美玲,ウソだ、ちゃんと話してる声は聞こえてたぞ！。それとも……ウソつかなきゃいけない話でもしてたのか？
Ｐ,あー……まあ確かに話してはいたけどな
美玲,だろっ、なんの話してたんだ？
Ｐ,……今後のスケジュール？
美玲,むっ……なんかそれもウソっぽいぞ
Ｐ,いや嘘じゃないって。本当、本当
美玲,だってなんか顔がスッゴいウソついてる感じだもん
Ｐ,どんな顔してんだ俺
ちひろ,いつも通りの顔ですよ？はい、美玲ちゃんの麦茶
美玲,あ、ありがとーちひろさん
ちひろ,麦茶、あとプロデューサーさんの分も
Ｐ,おお、ありがとうございます。なんでか喉が渇いてきて……
美玲,ぷはーっ。あ、ちひろさん、炭酸系の飲み物ある？
ちひろ,ええ、たしか何本か……
美玲,そっか、じゃあ取ってこよ
Ｐ,ちひろさん、美玲が冷蔵庫に！
ちひろ,しまった……！。あーごめんなさい美玲ちゃん！今、ジュースとかは切らしてて……！
美玲,えっ？あるんじゃないの？
ちひろ,えーっと……昨日切れたばかりで、今はこの麦茶しかなくて……
美玲,……なんか今日はヘンだぞ！プロデューサーもちひろさんも！
Ｐ,いやぁ、気のせいじゃないか？気にしすぎなだけだと思うぞ？
ちひろ,で、ですね！
美玲,うーッ……！絶対ウチになんか隠してる気がするんだけど……。二人にも聞いてくるッ！乃々ー、輝子ー！
Ｐ,…………
ちひろ,…………
Ｐ,ごまかすの下手ですね自分たち
ちひろ,ですねぇ……
美玲,輝子っ！
輝子,フヒ……どうした？
美玲,あのさ、さっきウチが入ってくる前プロデューサーとなに話してた？
輝子,Ｐと……えっと……
美玲,…………？
輝子,へ、部屋の温度管理とか……？
美玲,ぜんぜん違うじゃんかプロデューサー！
輝子,でも嘘は言ってない……はずだ、フフ……
美玲,うーっ！輝子もモヤモヤするヘンな言い方するなよな！
輝子,じゃあ、あとは……お隣さんに任せた……
乃々,ええっ
美玲,じゃあ乃々ッ！
乃々,はっ、はいぃ……
美玲,なんかみんなウチに隠してないか？そうだろ？
乃々,いや、あの、えっとその……。あー…………。い、言えることが思いつかないんですけど……
美玲,なんでなんも言えないんだあああーっ！！
乃々,あうあうぅー……あたま揺らさないでぇぇ……
美玲,ちゃんと答えるまで逃がしてやんないからなッ！乃々っ！
乃々,えぇぇー……む、むーりぃー……。もりくぼはこれ以上のプレッシャーの受けたら、ちり一つ残らず消えちゃうと思うんですけど……
輝子,そろそろ……やる？
乃々,お、お願いします……うぅ
輝子,フヒ……了解……
美玲,やる？やるってなんだよッ！乃々も起きろっ！
乃々,お、起きてますぅ……
輝子,スタンバイ……
Ｐ,よし、やるか
輝子,そっちのカーテン頼んだ……よいしょ……
乃々,あ、私もですか……えいっ
Ｐ,電気消すぞー！
美玲,えっ！？
Ｐ,しまった、ケーキが見えない！冷蔵庫どこいった！？
ちひろ,こっちにあります！段取り悪いですよプロデューサーさん！
美玲,ななななんだ！？何やる気だみんなッ！？
Ｐ,ハッピーバースデートゥーユー♪
美玲,！？
輝子,ハッピーバースデートゥーユー……
ちひろ,ハッピーバースデーディア、美玲ちゃーん……
乃々,は、ハッピーバースデートゥーユー……！
Ｐ,ほら、ロウソク、ふーって
美玲,え？ふ、ふぅーっ！。……ええっ？。えええええッ！？何なんだこれ！？
Ｐ,さっき言ったようにお前の誕生日パーティだぞ
輝子,おめでとう美玲……フフ
乃々,お、おめでとうございます……
Ｐ,まさか自分の誕生日を忘れてたわけじゃ……
