速水奏,……ふぅ
ルキトレ,わぁ……
モバP,以下P
奏,歌、ダンス、ビジュアルの演技、一通り見てもらったけど……どうだった？ご感想は？
P,どれも筋がいい
奏,あら、ありがとう。全部見よう見まねでやっただけだけど、私、割と器用な方なのかしら
ルキトレ,ですね、簡単な振り付けならすぐ覚えてしまいそうです
奏,ありがとう。教え方がいいからじゃない？
ルキトレ,そう言ってもらえると、えへへ……
P,こうなると、いろいろ試したくなってくるな
ルキトレ,ですね。奏さん、こんなのはできますか？。えいっ
奏,バレエのターンかしら
ルキトレ,はい、アイドルのダンスに多用されるわけじゃないですが、ダンスの一つの基礎なので
奏,ええと……。……ちょっと軸がぶれるわ
ルキトレ,首を残してターンするのがコツなんですが……
奏,どう？
ルキトレ,おぉー、すごいです。覚えるの早いです
P,いろいろできるな。正直助かるよ
奏,助かる？
P,歌に踊り、場合によっては演技、トークはラジオでもバラエティでも必要だし
奏,多才な方がいいってことね。才があるかは分からないけど
ルキトレ,でもこの器用さは十分に才能ですよ
P,だな。一通りこなしてくれると、どんな仕事を持ってきてもいいのはこっちとしても助かる、ってこと
奏,どんな仕事も、ね
P,じゃあルキトレさん。あとは宣材写真なんで、今日はここまでで大丈夫です
ルキトレ,そうですか？わかりました。奏さん、最初の間はわたしが基礎を担当しますので、よろしくお願いしますね
奏,わかったわ。よろしくね
ルキトレ,では、わたしはこれで。お姉ちゃんの手伝いに入ります
P,分かりました。お付き合いありがとうございました
ルキトレ,失礼しまーす！
P,さて、それじゃあ宣材撮りにいこう
奏,ええ。ねえPさん、レッスンルームって空いていたら使ってもいいの？
P,ん？ああ、ちひろさんに話をしてくれれば大丈夫
奏,あの事務員さんね。了解
P,自主練でもするのか？
奏,そうね。やるからには、ってやつよ
P,努力家だな
奏,そんな大層なことじゃないの
P,そうか？まあ、速水はレッスン受ければなんでもこなせそうだけど
奏,そう、なんでもできる……。それは、裏を返せば……なんにもできないということ。ううん。できないんじゃなくて、なにを目指せばいいか、わからなかったの。ずっとそうだった……
P,ふん？
奏,何にでもなれる存在って、つまり何者でもないってことでしょ。私ってカタチを、なんとなく保っているだけ
P,言わんとすることは分かる、気がするけど
奏,ふふっ、それで十分。最初から何もかもを知られているなんて、気味が悪いじゃない？
P,それは確かに
奏,とにかく、言えることがあるとしたら、あなたの導きで新しい世界を見つけたってことかな
P,……それはどうも？
奏,ここなら、心の空白を埋められそうな気がする
P,ふーん？……思ったより、変なところあるんだな
カメラマン,視線はカメラのレンズの上、ココらへんね。視線外して～顔ちょっとそらして、物憂げに……そう、良い表情よぉ。顔戻して、カメラに真正面ちょうだい。肩ふーって落として、微笑んで。あん、固い～。もっとこう……ちょっとPちゃん、声なんか写らないんだから、面白いこと言ってあげなさいよ
P,えっ、俺がやるんすか！？
奏,ふふっ
カメラマン,はいいただき。お疲れさま。今日のところはこれで大丈夫よ、メイク落として休憩してて
奏,はい
P,どうですか
カメラマン,うん、とにかく顔がいいわね～。本当に女子高生なの？
P,そこは今でも思います
カメラマン,眼が魅力的。アンニュイさならお手の物、はじけるような笑顔は中々見せてくれそうにないけど、そこがまたタマラナイ系でしょ
P,ですよね。お……いい表情撮れてますね
カメラマン,目線外しててもいいけど、こっちを見ると射抜かれそうなくらいの眼ね。この笑顔はかなりいいと思うわぁ
P,これ、さっきのですか。毎度俺を弄るの勘弁してほしいなあ
カメラマン,アイドルの笑顔のためなら安いもんでしょ。さて、次の撮影はいってるから、こんなところね
P,はい、お疲れさまでした
カメラマン,ローデータはデザイナーさんに渡す？
P,いえ、あの人ら時間かけすぎるんで、こっちでウェブ用に軽めの補正にします
カメラマン,そうね。素材がいいから、それでも十分に使えるでしょ
P,カメラマンの腕もいいですしね
カメラマン,やだもぉ、本当のこと言ってくれて嬉しいわぁ、わははは
P,ははは、は、は。いたた……あの人力強いから叩くと痛んだ
奏,……カメラマンさん、男性よね。変わった方ね
P,最初は面食らうアイドルもいるけど、腕は確かだよ
奏,すごいわよね、緊張のほぐれた瞬間にシャッターきられたもの
P,おかげでいい写真が撮ってもらえる
奏,さっきのトレーナーさんといい、カメラマンさんといい、なんていうか……朗らかな方が多いのね
P,んー……まあ、いろいろ正直な人が多いかもな
奏,芸能界って、どろどろしているものって相場が決まっているけど
P,しているさ。皆その中で正直に生きて、エネルギッシュに振る舞うからそう見えるんだろう
奏,Pさんも？
P,そうかも
奏,どうしてそんな世界で生きるの？
P,憧れと、その世界に挑戦したいという意思と……あとはお金かなぁ
奏,正直ね
P,だろ。正直なだけで生き残れる世界じゃないけど、速水は大丈夫だろう。優等生なだけじゃなく、目端も十分に利きそうだ
奏,それって評価してくれているのかしら？
P,割とね。正直さも、嘘のつき方も、覚えていくといい
奏,嘘のつき方……ね。いざとなったら、守ってもらえるんでしょ
P,そりゃ、事務所はアイドルの味方にならなきゃな
奏,事務所じゃなくて。Pさんは、どうなのかしら？
P,もちろん、速水の意に反することはさせないつもりだよ
奏,そう。それじゃあ一つお願いしようかな
P,ん？
奏,名前で呼んでくれる？プロデューサーさん
P,あ、あー。それで構わないなら
奏,ええ
P,……
奏,なあに？
P,さっきの宣材写真、もっといい笑顔できたんじゃないのか
奏,ふふ……さあ、どうかしら
P,……
ルキトレ,はい、じゃあ今日はここまで
