黒沢葉月,２５
テロップ,黒沢葉月２５
葉月,一人のままでいるのは、本当に気楽でいい。……できればこのまま、ずっとここにいたい。もう、こんな時間か……。仕方ないけど、家に帰るしかないな……
葉月の母,葉月と同じ年の子たちは、みんな働いているというのに！この子は……！
葉月の父,お前は、おとなしくてしっかりした子だと思ってたんだけどな……！どうしてこうなったんだ！
葉月,また、私に対する説教か。もう親なんて、顔を見るのも嫌だ……。父親も、母親も……。一人ぼっちのままになることができたら、どんなに気楽だろう……。私は一人になりたい。いつも通り、ネットカフェに行くか……
外国人たち,ハローー！！
葉月,ハ、ハローー……
外国人A,スミマセン。チョットイイデスカ？
葉月,は、はい……
外国人B,アノ……。実ハ、アンケートニ答エテイタダキタイノデスガ……
葉月,アンケートですか……
喪黒,お待ちください！！
葉月,あ、あなたは……
喪黒,お嬢さん、いいですか！？この人たちは、ある新興宗教の布教活動をしているのですよ！！
葉月,ええっ！？そうなんですか！？
外国人A,イエース。私タチハ神様ヲ信ジテ……
喪黒,お嬢さん、早くここを立ち去りましょう！。こっちです、こっち！！
BAR,魔の巣
喪黒,いやぁ、さっきはとんだハプニングでしたねぇ。黒沢さん
葉月,え、ええ……。よりによって、あの二人組が新興宗教の関係者だったなんて……。私もうかつでした
喪黒,生き馬の目を抜く都会ですから……。お人よしの人や弱い人は、カモにされやすいんですよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
葉月,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
葉月,そんなお仕事、初めて聞きましたよ……
喪黒,私のやっていることは、ボランティアみたいなものです
葉月,そうなんですか……。じゃあ、私の行き詰まった人生を何とかしてくださいよ！
喪黒,どうやら、黒沢さんの心にもスキマがおありのようですねぇ
葉月,はい……。実は私、大学卒業以来ずーっとニート生活をしているんです
喪黒,おそらく……。あなたは大学4年のころ、就職活動に失敗したのでしょう
葉月,そうです。そのため、今の私は実家で暮らしているんですけど……
喪黒,おそらく、あなたのご両親は過干渉な育て方をしてきたのでしょう
葉月,はい。それに、私がニートになったのも理由がありますから……
喪黒,黒沢さんがニートになったのは、就活の失敗のせいだけではないでしょう
葉月,おっしゃる通りです。私は学校時代は浮いていましたし、いじめに遭ったこともありました
喪黒,ほう……。あなたは生まれつき、孤独癖があるようですねぇ
葉月,はい。今の私が心から願っているのは、一人ぼっちのままになることなんです。究極の孤独こそが、私の憧れです
喪黒,ねぇ、黒沢さん……。人間とは、他人や社会との関わりによって生きている生き物なのですよ
葉月,そ、それは……
喪黒,今のあなたに必要なのは……。孤独になるよりも、むしろ自立した個人になることです！
葉月,自立した個人……
