加蓮,は……あ……あ……あ……っ！
凛,お……ん……ん……ふぁ……あっ！
奈緒,ほあぁ……っ、あ゛、あ゛……っ
巴,…………
桃華,…………
巴,……のう、おぬしは知っておったか？
桃華,ええ、はじめから
巴,……チッ
桃華,お待ちなさい、どちらへ行くつもり？
巴,決まっとる、Pに落とし前付けさせるんじゃ。おめこの汁啜って生きとるようなバカは、ただじゃあおけん
桃華,あらあら、穏やかではありませんね
巴,だーっとれ、アレはうちが見込んだ男じゃったが……買い被っていたんじゃろうか
桃華,ウフフ。あなたの目に狂いはなくってよ、巴ちゃま。でも……主従を、雌雄を勘違いしていらっしゃるのは、頂けないですわ。厭なことにならなければ、よいのですけど
Ｐ,突然だったなー。でもどうして地元に来るのに、巴の実家に泊まらなかったんだろう。こんな山奥に旅館なんて……ご実家が懇意にしてるという話だったが、それにしても豪勢だ。酒もちょっと入れすぎたかな――強いぞ、これ。おお……
巴,――待たせたな、Ｐ
Ｐ,着替え、持って来て居たのか
巴,ああ。畳じゃと、和装の方が落ち着くけえの
Ｐ,…………？。なるほどな……？
巴,…………
Ｐ,…………。前の華やかな柄のも良かったけど、白一色っていうのも……ん？
巴,どうかしたかの？
Ｐ,いや……しかし初詣の時も思ったが、あの時の巴もかわいかったよなー。今はもっとかわいいけれどさ
巴,……
Ｐ,ははっ、どうしたー？いつもならこのあたりで真っ赤になって、うるさいとか黙っとれとか言うのになー
巴,……ッ。はー、はー、は……っ
Ｐ,いてて……何もはたかなくても
巴,――黙れ
Ｐ,と、とも
巴,もう一度だけ言う、黙れ
Ｐ,…………
巴,かわいい、か。初めて言うてくれたのは、うちと初詣に行った時じゃったな。うちは……恥ずかしくはあったが、それだけじゃなかった。その時は、何がなんだか分からなかったが――。あんたとおる内に、その感情が何かわかった。うちがいつもうとうていた、愛だの恋だのの情や。うちは、あんたと盃を交わそうと思った――そして、契った。あの時は、わけも分からないままになかされ続けたが――でも、あたたかかった
Ｐ,…………
