神谷奈緒,暇だなー
北条加蓮,ねー
奈緒,……
加蓮,……
奈緒,まさか撮影が延期になるとはなー
加蓮,せっかくのテレビだったのにね
奈緒,まあ短いコーナーだけど
加蓮,あ、延期の理由、聞いた？
奈緒,え、知ってるのか？
加蓮,あれは、5年前の夏のことだった……
奈緒,やっぱいいや
加蓮,ひどくない？
奈緒,知らないなら無理に振らなくていいんだよ
加蓮,せっかく話題を提供してあげたのに
奈緒,実際、どうしたんだろ
加蓮,スタッフさんが体調不良で倒れて入院とか？それはないか、私じゃないんだし
奈緒,ツッコミにくいからやめろよそういうの
加蓮,きっとベットの上でこう思ってるよ。"ああ、いきなり日本が沈没しないかな"って
奈緒,いつもそんなこと考えて入院してたのか。次からお見舞いの回数増やすわ
加蓮,あー、いきなり病院にテロリストが攻めてこないかなーとかさ
奈緒,身体の不調じゃなくて頭の病気で入院してるのか？
加蓮,ちょっとー、さすがに傷つくよ？
奈緒,そもそもテロリストを殲滅できるなら入院してないだろ。人質になって終わりだよ
加蓮,違う違う、私が倒すんじゃなくって、助けてもらうの
奈緒,あ、そっち
加蓮,奈緒に
奈緒,荷が重い
加蓮,颯爽と病室に現れた奈緒は、私に武器を向けるテロリストにこう言うの。"コロスコロスコロスコロスコロスコロス"
奈緒,完全にバーサーカーじゃねぇか
加蓮,それを見た私はたまらずこう言うの。"うわぁ……"
奈緒,ドン引きじゃねぇか。せめて妄想の中でくらいカッコいい口上を披露させてくれってば
加蓮,テロリストはそんなの待ってくれないよ。そんなことしてると人質の命が天に向上しちゃうよ？
奈緒,ちっとも上手くない
加蓮,"やあやあ我こそは""ﾊﾟｧﾝ!!!!!""ぐわぁぁぁ……"でバットエンドだからね
奈緒,何で名乗り口上が戦国時代スタイルなんだよ。アタシの感性はそこまで時代錯誤じゃないからな
加蓮,心理テストしない？
奈緒,話題の切り替わり方エグすぎるだろ
加蓮,あなたの目の前にテロリストが現れました
奈緒,話題切り替わってなかった
加蓮,どうする？
奈緒,まさかのドラクエスタイル
加蓮,どうするの？
奈緒,戦うわけないだろ。逃げる一択だよ
加蓮,にげるを選んだあなたは、どうかと思います
奈緒,感想かよ。心理テストだよなこれ？生きていく姿勢を批判するなよ。命あってだろ
加蓮,まあまあ、落ち着いて。挑んでいれば、パパスが助けに来てくれるかもよ？
奈緒,何で救済措置までドラクエスタイルなんだよ。むしろこの状況で剣担いだ半裸のおっさん出てきたらテロリストより危ねえだろ
加蓮,第2問
奈緒,放り投げるなよ
加蓮,今、何問目？
奈緒,わかった、バカなんだな？
加蓮,逆にさ、奈緒は何か心理テスト、知らないの？
奈緒,あー、そういえば、この前読んだ雑誌に1つ載ってたけど
加蓮,御託はいい。かかってこい
奈緒,誰だよ
加蓮,後悔することになるよ
奈緒,心理テストってそんなケンカ腰になる遊びだっけ？。えっと、"大変です、あなたの隣の家が火事になってしまいました"
加蓮,タバコの不始末？ストーブの付けっぱなし？
奈緒,そこはどうでもいいよ
加蓮,あ！部屋の中で花火をしたとか？
奈緒,加蓮の隣の家にはチンパンジーが住んでるのか？。"たまらず家を飛び出したあなたは、家の外で誰かと遭遇しました。それは誰？"
加蓮,いい問題だね
奈緒,このタイミングで言うセリフじゃない
加蓮,オーディエンス使っていい？
奈緒,自分の深層心理が見知らぬ奴らの多数決で決まるのに耐えられるならな
加蓮,ファイナルアンサー？
奈緒,早くそっちのアンサーを出してくれよ
加蓮,火事という極限状況、不安で心はいっぱい。そんな中で会った人物……。うん、間違いなくこれは、"その人物は、あなたがいざという時に信頼している人物です"って感じでしょ。というわけで、奈緒かな♪
